Supplier,Description,Date,Total
The Dorchester Review,"Printed Matter, Books, Newspapers and Subscriptions",2021/06/15,29.00
Foreign Affairs,"Printed Matter, Books, Newspapers and Subscriptions",2021/07/27,68.47
Royal Bank,Banking Fees and Cheque Orders,2021/08/05,15.95
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/08/31,21.60
Grand & Toy,Cleaning Products,2021/08/31,28.61
Royal Bank,Banking Fees and Cheque Orders,2021/09/03,15.95
Bell,Constituency Office Internet,2021/09/10,125.00
Purolator,"Postage, Parcel Post and Courier Services",2021/09/10,8.26
Purolator,"Postage, Parcel Post and Courier Services",2021/09/17,8.29
Snap Shot Solutions,Advertising,2021/09/21,60.00
Zoom,Computer Software and Licences,2021/09/22,200.00
Purolator,"Postage, Parcel Post and Courier Services",2021/09/24,8.29
Wightman,Constituency Office Internet,2021/09/25,264.95
Puslinch Pioneer,Advertising,2021/09/30,107.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/09/30,868.24
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/09/30,12.72
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/09/30,865.38
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/09/30,12.72
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,2.94
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,59.65
Purolator,"Postage, Parcel Post and Courier Services",2021/10/01,8.29
Purolator,"Postage, Parcel Post and Courier Services",2021/10/01,8.29
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/10/01,258.54
Royal Bank,Banking Fees and Cheque Orders,2021/10/05,15.95
Canada Post – Postes Canada,Courier Services,2021/10/07,16.14
The Global and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2021/10/07,27.96
Purolator,"Postage, Parcel Post and Courier Services",2021/10/08,8.29
Bell,Constituency Office Internet,2021/10/10,125.00
The Grand River Booster Magazine,Advertising,2021/10/13,70.00
Purolator,"Postage, Parcel Post and Courier Services",2021/10/15,8.26
Red Suitecase Photography - Jessica Grieve,Photography and Video Services,2021/10/17,250.00
Banff Forum,Other Training and Conferences,2021/10/21,1392.23
Dixon Home Hardward,"Office Supplies, Stationery and Accessories",2021/10/21,56.99
HYPERTEC SYSTEMS INC.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2021/10/21,13.50
Snap Shot Solutions,Advertising,2021/10/21,60.00
Purolator,"Postage, Parcel Post and Courier Services",2021/10/22,8.26
Foreign Policy,"Printed Matter, Books, Newspapers and Subscriptions",2021/10/23,253.94
Wightman,Constituency Office Internet,2021/10/25,264.95
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/10/26,12.72
The Economist,"Printed Matter, Books, Newspapers and Subscriptions",2021/10/26,255.00
Apple,"Office Supplies, Stationery and Accessories",2021/10/27,592.00
Walmart,"Office Supplies, Stationery and Accessories",2021/10/27,19.78
Apple,"Office Supplies, Stationery and Accessories",2021/10/29,78.00
Purolator,"Postage, Parcel Post and Courier Services",2021/10/29,16.52
Puslinch Pioneer,Advertising,2021/10/29,107.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/10/31,21.88
Grand & Toy,Bulk Paper Purchases,2021/10/31,51.70
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/10/31,286.80
CARRETAL LIMITED,Office Rental and Related Fees,2021/11/01,789.12
Denim Enterprises,Office Rental and Related Fees,2021/11/01,2033.68
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/11/01,266.29
Global and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2021/11/04,27.96
House of Commons / Chambre des communes,"Postage, Parcel Post and Courier Services",2021/11/04,1.29
"WELLINGTON ADVERTISER, THE",Advertising,2021/11/04,504.80
Sameday Health,"Office Supplies, Stationery and Accessories",2021/11/09,223.67
Bell,Constituency Office Internet,2021/11/10,130.00
LifeLab |LP,"Office Supplies, Stationery and Accessories",2021/11/10,169.50
Purolator,"Postage, Parcel Post and Courier Services",2021/11/12,8.37
Star Metroland Media,Advertising,2021/11/14,464.00
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2021/11/15,267.00
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2021/11/16,22.48
Rogers Wireless – Rogers sans-fil,Voice Communication Equipment,2021/11/16,505.00
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2021/11/17,59.98
Purolator,"Postage, Parcel Post and Courier Services",2021/11/19,8.37
Apple Canada Inc.,Repair of Telecommunication Equipment,2021/11/23,122.00
The Wellington Advertiser,Advertising,2021/11/25,220.00
"WELLINGTON ADVERTISER, THE",Advertising,2021/11/25,220.00
Wightman,Constituency Office Internet,2021/11/25,264.95
Purolator,"Postage, Parcel Post and Courier Services",2021/11/26,38.61
Grand & Toy,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2021/11/30,18.66
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/11/30,178.08
Grand & Toy,Digital Communication Equipment,2021/11/30,0.30
Grand & Toy,Digital Communication Equipment,2021/11/30,15.43
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/11/30,21.43
Metroland Media,Advertising,2021/11/30,75.00
Puslinch Pioneer,Advertising,2021/11/30,107.00
Snap Shot Solutions,Advertising,2021/11/30,60.00
CARRETAL LIMITED,Office Rental and Related Fees,2021/12/01,789.12
Denim Enterprises,Office Rental and Related Fees,2021/12/01,2033.68
Global and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2021/12/02,27.96
Metroland Media,Advertising,2021/12/05,149.00
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/12/10,12.72
Canada Post – Postes Canada,Courier Services,2021/12/17,8.25
Canada Post – Postes Canada,Courier Services,2021/12/17,9.12
CARRETAL LIMITED,Office Rental and Related Fees,2022/01/01,789.12
Denim Enterprises,Office Rental and Related Fees,2022/01/01,2133.68
