Supplier,Description,Date,Total
Beatties,Photocopier Rental and Related Costs,2021/06/25,65.78
Mailchimp,Professional Communication Services,2021/08/09,101.85
Zoom Video Communications Inc.,Computer Software and Licences,2021/08/27,20.00
FastSpring,Computer Software and Licences,2021/08/28,43.99
Mailchimp,Professional Communication Services,2021/09/09,101.85
Zoom Video Communications Inc.,Computer Software and Licences,2021/09/27,20.00
FastSpring,Computer Software and Licences,2021/09/28,43.99
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/10/01,187.58
Cogeco,Public Utilities,2021/10/06,199.95
Canada Post – Postes Canada,Courier Services,2021/10/07,8.14
Canada Post – Postes Canada,Courier Services,2021/10/07,18.76
MailChimp,Professional Communication Services,2021/10/09,100.25
Canada Post – Postes Canada,Courier Services,2021/10/12,5.88
Canada Post – Postes Canada,Courier Services,2021/10/12,8.17
Canada Post,"Postage, Parcel Post and Courier Services",2021/10/25,34.54
Canada Post – Postes Canada,Courier Services,2021/10/25,6.33
Canada Post – Postes Canada,Courier Services,2021/10/25,8.68
Beatties,Office Rental and Related Fees,2021/10/27,26.23
Zoom Video Communications Inc.,Computer Software and Licences,2021/10/27,20.00
FastSpring,Computer Software and Licences,2021/10/28,43.99
Neighbur Inc,Advertising,2021/11/01,203.33
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2021/11/01,1900.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/11/01,188.33
SNAPD OAKVILLE,Advertising,2021/11/01,337.50
VGR INVESTMENTS LTD.,Office Rental and Related Fees,2021/11/01,2750.00
cogeco,Constituency Office Internet,2021/11/06,199.95
"Mailchimp ",Professional Communication Services,2021/11/09,99.49
Star Metroland Media,Advertising,2021/11/14,324.50
Star Metroland Media,Advertising,2021/11/14,324.50
staples,"Office Supplies, Stationery and Accessories",2021/11/16,462.99
Canada Post – Postes Canada,Courier Services,2021/11/18,8.28
Canada Post – Postes Canada,Courier Services,2021/11/18,8.17
Certas Home and Auto Insurance Company,Constituency Office Insurance,2021/11/21,75.60
Cherrywood Interiors Inc.,Office Renovations,2021/11/22,5915.00
HYPERTEC SYSTEMS INC.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2021/11/23,126.00
Zoom Video Communication Inc.,Computer Software and Licences,2021/11/27,20.00
Canadian Springs,Equipment Rental (non-hospitality related),2021/11/28,10.49
FastSpring,Computer Software and Licences,2021/11/28,43.99
VGR INVESTMENTS LTD.,Office Rental and Related Fees,2021/12/01,2750.00
Cogeco,Constituency Office Internet,2021/12/06,199.95
MailChimp,Professional Communication Services,2021/12/13,101.09
Canada Post – Postes Canada,Courier Services,2021/12/17,8.28
Canada Post – Postes Canada,Courier Services,2021/12/17,23.19
Canada Post – Postes Canada,Courier Services,2021/12/17,19.98
Canada Post – Postes Canada,Courier Services,2021/12/17,14.29
VGR INVESTMENTS LTD.,Office Rental and Related Fees,2022/01/01,2750.00
