Supplier,Description,Date,Total
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2021/10/04,221.05
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2021/10/04,22.48
Apple Canada Inc.,Repair of Telecommunication Equipment,2021/10/07,122.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/01,121.62
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/11/01,2.00
UNIVERSAL PROPERTY MANAGEMENT LTD.,Office Rental and Related Fees,2021/11/01,2552.00
STAPLES Canada,"Office Supplies, Stationery and Accessories",2021/11/13,159.99
UNIVERSAL PROPERTY MANAGEMENT LTD.,Office Rental and Related Fees,2021/12/01,2552.00
Apple Canada Inc.,Repair of Telecommunication Equipment,2021/12/28,122.00
Stevens Group Management,Office Rental and Related Fees,2022/01/01,3100.00
