Supplier,Description,Date,Total
Parvasi Weekly Inc.,Advertising,2021/06/28,350.00
Rogers,Constituency Office Cable,2021/09/27,96.94
Rogers,Constituency Office Internet,2021/09/27,168.35
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,83.65
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,0.04
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/10/01,101.25
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/10/01,29.75
Rogers Wireless – Rogers sans-fil,Voice and data overage fees for mobile devices,2021/10/01,1.35
Security Experts Inc.,Protection and Alarm Monitoring (Member's Office Budget),2021/10/05,212.00
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2021/10/13,93.82
Rogers,Constituency Office Internet,2021/10/27,207.99
Rogers,Constituency Office Cable,2021/10/27,96.94
2536336 Ontario Inc.,Office Rental and Related Fees,2021/11/01,2655.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/11/01,106.50
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/11/01,29.75
"PORTAGE LA PRAIRIE MUTUAL INSURANCE COMPANY, THE",Constituency Office Insurance,2021/11/12,2800.44
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2021/11/12,131.45
Rogers,Constituency Office Internet,2021/11/27,207.99
Rogers,Constituency Office Cable,2021/11/27,96.94
2536336 Ontario Inc.,Office Rental and Related Fees,2021/12/01,2655.00
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2021/12/10,271.94
2536336 Ontario Inc.,Office Rental and Related Fees,2022/01/01,2655.00
