Supplier,Description,Date,Total
ZOOM VIDEO COMMUNICATION INC.,Computer Software and Licences,2021/05/20,20.00
ZOOM VIDEO COMMUNICATIONS INC.,Computer Software and Licences,2021/06/20,20.00
JUST PRINT CANADA,External Printing Costs,2021/06/28,31.59
JUST PRINT CANADA INC,External Printing Costs,2021/06/28,31.59
Choice Communication (Canada) Ltd.,Advertising,2021/07/08,316.54
ZOOM VIDEO COMMUNICATIONS INC.,Computer Software and Licences,2021/07/20,20.00
DELL,"Office Supplies, Stationery and Accessories",2021/08/11,71.99
Sign & Print,External Printing Costs,2021/08/11,475.00
ZOOM VIDEO COMMUNICATION INC.,Computer Software and Licences,2021/08/20,20.00
Grand & Toy,Cleaning Products,2021/08/31,167.60
Grand & Toy,Other Consumable Supplies From Stores,2021/08/31,27.04
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/08/31,553.53
Grand & Toy,Digital Communication Equipment,2021/08/31,65.34
BLUE MOP JANITORIAL SERVICES,Janitorial Services and Maintenance,2021/09/01,350.00
ZOOM VIDEO COMMUNICATIONS INC.,Computer Software and Licences,2021/09/20,20.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/09/30,13.29
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,2.25
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,266.46
Rogers,Constituency Office Internet,2021/10/05,207.99
Canada Post – Postes Canada,Courier Services,2021/10/07,10.02
Canada Post – Postes Canada,Courier Services,2021/10/07,6.30
Print2Go,External Printing Costs,2021/10/08,83.60
Canada Post – Postes Canada,Courier Services,2021/10/12,6.30
Canada Post – Postes Canada,Courier Services,2021/10/12,8.40
BLUE MOP JANITORIAL SERVICES,Janitorial Services and Maintenance,2021/10/15,350.00
7-Eleven,"Office Supplies, Stationery and Accessories",2021/10/20,22.98
ZOOM VIDEO COMMUNICATIONS INC.,Computer Software and Licences,2021/10/20,20.00
Canada Post – Postes Canada,Courier Services,2021/10/25,6.33
Canada Post – Postes Canada,Courier Services,2021/10/25,8.68
Grand & Toy,Digital Communication Equipment,2021/10/31,31.87
Grand & Toy,Cleaning Products,2021/10/31,205.44
Grand & Toy,"Other Furniture, Fixtures and Furnishings",2021/10/31,24.29
Grand & Toy,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2021/10/31,14.99
111 SHEPPARD WEST INC.,Office Rental and Related Fees,2021/11/01,3185.84
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/01,244.00
Rogers,Constituency Office Internet,2021/11/05,207.99
CULLIGAN WATER,Spring Water,2021/11/08,39.46
GREEN GARDEN FLORIST,Gifts given as a matter of protocol,2021/11/11,35.40
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/17,244.00
HENRY'S,"Office Supplies, Stationery and Accessories",2021/11/17,29.99
Canada Post – Postes Canada,Courier Services,2021/11/18,8.28
BLUE MOP JANITORIAL SERVICES,Janitorial Services and Maintenance,2021/11/23,610.00
"Jewish Standard, The",Advertising,2021/11/23,95.00
Grand & Toy,Office Equipment,2021/11/30,189.48
Grand & Toy,Interconnecting Panel Systems and Supported Components,2021/11/30,951.51
Grand & Toy,"Other Furniture, Fixtures and Furnishings",2021/11/30,38.21
Grand & Toy,Cleaning Products,2021/11/30,24.45
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/11/30,215.18
Grand & Toy,Digital Communication Equipment,2021/11/30,53.08
111 SHEPPARD WEST INC.,Office Rental and Related Fees,2021/12/01,3185.84
Rogers,Constituency Office Internet,2021/12/05,207.99
Canada Post – Postes Canada,Courier Services,2021/12/17,10.55
Canada Post – Postes Canada,Courier Services,2021/12/17,16.72
111 SHEPPARD WEST INC.,Office Rental and Related Fees,2022/01/01,3185.84
