Supplier,Description,Date,Total
Apple Canada Inc.,Repair of Telecommunication Equipment,2021/09/30,122.00
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2021/10/14,221.05
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2021/10/14,22.48
Apple Canada Inc.,Repair of Telecommunication Equipment,2021/10/18,122.00
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2021/10/20,221.05
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2021/10/20,22.48
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2021/10/26,221.05
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2021/10/26,22.48
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/10/26,12.72
Apple Canada Inc.,Repair of Telecommunication Equipment,2021/10/27,122.00
500 VENTURES LIMITED,Office Rental and Related Fees,2021/11/01,1300.00
Apple Canada Inc.,Repair of Telecommunication Equipment,2021/11/01,122.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/01,254.76
Momentuum BPO Inc.,Computer Software and Licences,2021/11/01,904.11
RYCO HOLDGINS LTD.,Office Rental and Related Fees,2021/11/01,1500.00
EASTLINK,Constituency Office Internet,2021/11/03,238.95
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/17,96.47
STERLING MARKING PRODUCTS INC,"Office Supplies, Stationery and Accessories",2021/11/17,107.63
METRO GUIDE PUBLISHING,Advertising,2021/11/24,380.00
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2021/11/26,22.48
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2021/11/26,221.05
Staples,Voice Communication Equipment,2021/11/30,41.29
500 VENTURES LIMITED,Office Rental and Related Fees,2021/12/01,1300.00
Parrsboro Radio Society,Advertising,2021/12/01,200.00
RYCO HOLDGINS LTD.,Office Rental and Related Fees,2021/12/01,1500.00
Apple Canada Inc.,Repair of Telecommunication Equipment,2021/12/03,122.00
EASTLINK,Constituency Office Internet,2021/12/03,139.95
EASTLINK,Constituency Office Internet,2021/12/03,238.95
Six Rivers Hope Centre Ministries,Advertising,2021/12/03,200.00
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/12/10,12.72
Canada Post – Postes Canada,Courier Services,2021/12/17,123.92
500 VENTURES LIMITED,Office Rental and Related Fees,2022/01/01,1300.00
