Supplier,Description,Date,Total
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2021/09/24,22.48
Rogers Wireless – Rogers sans-fil,Voice Communication Equipment,2021/09/24,505.00
Apple Canada Inc.,Repair of Telecommunication Equipment,2021/09/30,122.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/10/01,65.50
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2021/10/18,22.48
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2021/10/18,221.05
Apple Canada Inc.,Repair of Telecommunication Equipment,2021/10/20,122.00
Walmart,"Office Supplies, Stationery and Accessories",2021/10/22,97.28
Walmart,Appliances,2021/10/22,79.98
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2021/10/25,221.05
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2021/10/25,22.48
Canada Post,"Postage, Parcel Post and Courier Services",2021/10/26,18.40
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/10/26,3.18
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2021/10/29,221.05
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2021/10/29,22.48
My Broadcasting Corp.,Advertising,2021/10/31,210.00
My Broadcasting Corp.,Advertising,2021/10/31,105.00
Apple Canada Inc.,Repair of Telecommunication Equipment,2021/11/01,122.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/11/01,2.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/01,181.60
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/11/01,65.50
RPM HOLDINGS INC.,Office Rental and Related Fees,2021/11/01,2600.00
Apple Canada Inc.,Repair of Telecommunication Equipment,2021/11/04,122.00
LAKEFIELD HERALD LTD.,Advertising,2021/11/05,78.25
Michaels,"Office Supplies, Stationery and Accessories",2021/11/10,24.00
"Canadian Mental Health Association Haliburton, Kawartha, Pine Ridge",Professional Development and Training for Members' Employees,2021/11/12,250.00
Star Metroland Media,Advertising,2021/11/14,521.00
Apple Canada Inc.,Repair of Telecommunication Equipment,2021/11/16,122.00
Cogeco Connexion inc.,Constituency Office Cable,2021/11/16,175.90
Cogeco Connexion inc.,Constituency Office Internet,2021/11/16,199.25
"Art School of Peterborough, The",Office Renovations,2021/11/22,1250.00
Cruikshank Cleaning Contractors,Janitorial Services and Maintenance,2021/11/24,166.85
Amazon,"Video Communication, Broadcasting Equipment and Televisions",2021/11/29,55.34
Walmart,"Video Communication, Broadcasting Equipment and Televisions",2021/11/29,376.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/11/30,83.39
"Dummer News, The",Advertising,2021/12/01,65.00
RPM HOLDINGS INC.,Office Rental and Related Fees,2021/12/01,2600.00
LAKEFIELD HERALD LTD.,Advertising,2021/12/03,86.70
LLF Lawyers,Legal Services for Office Leases,2021/12/03,427.65
testerdigital,Web Site Hosting/Domain Name,2021/12/07,720.00
Corus Sales Inc.,Advertising,2021/12/08,187.50
Corus Sales Inc.,Advertising,2021/12/08,275.00
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/12/10,3.18
Canada Post – Postes Canada,Courier Services,2021/12/17,10.40
RPM HOLDINGS INC.,Office Rental and Related Fees,2022/01/01,2600.00
