Supplier,Description,Date,Total
EASTLINK,Constituency Office Internet,2020/09/10,199.95
SALTWIRE NETWORK INC.,Advertising,2021/05/31,350.00
SALTWIRE NETWORK INC.,Advertising,2021/05/31,350.00
ADT Security Services Canada Inc. – Services de sécurité ADT Canada Inc.,Protection and Alarm Monitoring (Member's Office Budget),2021/06/02,515.88
ADT Security Services Canada Inc. – Services de sécurité ADT Canada Inc.,Protection and Alarm Monitoring (Member's Office Budget),2021/06/02,515.88
SALTWIRE NETWORK INC.,Advertising,2021/06/28,206.00
SALTWIRE NETWORK INC.,Advertising,2021/06/28,275.00
SALTWIRE NETWORK INC.,Advertising,2021/06/28,350.00
SALTWIRE NETWORK INC.,Advertising,2021/07/05,275.00
Amazing Race Grads 2021,Advertising,2021/07/09,200.00
EASTLINK,Constituency Office Internet,2021/07/10,199.95
EASTLINK,Constituency Office Internet,2021/08/10,199.95
SALTWIRE NETWORK INC.,Advertising,2021/08/30,350.00
Grand & Toy,Cleaning Products,2021/08/31,55.27
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/08/31,19.05
Grand & Toy,Bulk Paper Purchases,2021/08/31,85.02
EASTLINK,Constituency Office Internet,2021/09/10,213.95
Morgan Webb Photography,Photography and Video Services,2021/09/30,325.00
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/09/30,9.54
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/09/30,9.54
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/09/30,651.18
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/09/30,649.03
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,358.38
Hill Times Publishing,"Printed Matter, Books, Newspapers and Subscriptions",2021/10/01,399.00
Canada Post – Postes Canada,Courier Services,2021/10/07,14.90
Canada Post – Postes Canada,Courier Services,2021/10/07,15.10
EASTLINK,Constituency Office Internet,2021/10/10,221.27
Canada Post – Postes Canada,Courier Services,2021/10/12,14.97
Canada Post – Postes Canada,Courier Services,2021/10/25,15.16
Canada Post – Postes Canada,Courier Services,2021/10/25,17.29
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/10/26,9.54
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/11/01,43.20
Bell Mobility – Bell Mobilité,Voice and data roaming fees for mobile devices,2021/11/01,25.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/01,273.72
Bridgeview Square Limited,Office Rental and Related Fees,2021/11/01,1700.00
MACOUGALL REAL ESTATE LIMITED,Office Rental and Related Fees,2021/11/01,1250.00
EASTLINK,Constituency Office Internet,2021/11/10,215.01
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/17,273.72
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/11/17,90.20
Canada Post – Postes Canada,Courier Services,2021/11/18,19.49
Canada Post – Postes Canada,Courier Services,2021/11/18,19.75
Bridgeview Square Limited,Office Rental and Related Fees,2021/12/01,1700.00
MACOUGALL REAL ESTATE LIMITED,Office Rental and Related Fees,2021/12/01,1250.00
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/12/10,9.54
Canada Post – Postes Canada,Courier Services,2021/12/17,21.52
Canada Post – Postes Canada,Courier Services,2021/12/17,134.46
Bridgeview Square Limited,Office Rental and Related Fees,2022/01/01,1700.00
MACOUGALL REAL ESTATE LIMITED,Office Rental and Related Fees,2022/01/01,1250.00
