Supplier,Description,Date,Total
Shaw Business,Constituency Office Internet,2021/03/26,217.95
Dollarama,"Office Supplies, Stationery and Accessories",2021/04/09,6.75
Walmart,Computer Equipment,2021/04/09,49.94
Shaw Business,Constituency Office Internet,2021/04/26,217.95
Fort Saskatchewan Chamber of Commerce,Office Rental and Related Fees,2021/05/04,180.00
Shaw Business,Constituency Office Internet,2021/05/26,222.53
The Epoch Times,Advertising,2021/06/21,41.67
Shaw Business,Constituency Office Internet,2021/06/26,217.95
Fort Saskatchewan Chamber of Commerce,Public Meeting Room Rentals,2021/07/06,135.00
Claysmore Pure Ltd,Spring Water,2021/07/07,30.00
Canada Post,"Postage, Parcel Post and Courier Services",2021/07/27,13.70
Dollarama,Cleaning Products,2021/07/28,3.50
"Fort Saskatchewan Chamber of Commerce ",Public Meeting Room Rentals,2021/08/03,90.00
The Globe and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2021/09/30,214.80
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,4.87
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,14.59
Canada Post – Postes Canada,Courier Services,2021/10/07,22.19
Shoppers Drug Mart,"Office Supplies, Stationery and Accessories",2021/10/08,4.99
Shoppers Drug Mart,"Office Supplies, Stationery and Accessories",2021/10/20,4.69
Shoppers Drug Mart,"Office Supplies, Stationery and Accessories",2021/10/20,4.99
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2021/10/22,221.05
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2021/10/22,86.23
Apple Canada Inc.,Repair of Telecommunication Equipment,2021/11/01,122.00
Bell Mobility – Bell Mobilité,Long Distance,2021/11/01,0.96
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/11/01,49.10
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/01,229.90
Bell Mobility – Bell Mobilité,Voice and data roaming fees for mobile devices,2021/11/01,35.00
PRIMARIS MANAGEMENT INC.,Office Rental and Related Fees,2021/11/01,3104.03
Go Daddy Domains Canada,Web Site Hosting/Domain Name,2021/11/16,20.00
"U-Haul ",Equipment Rental (non-hospitality related),2021/11/16,70.83
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/17,209.90
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/11/17,62.49
Canada Post – Postes Canada,Courier Services,2021/11/18,16.38
"Quist, Leonard E.",Web Site Hosting/Domain Name,2021/11/22,425.00
HYPERTEC SYSTEMS INC.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2021/11/30,138.75
PRIMARIS MANAGEMENT INC.,Office Rental and Related Fees,2021/12/01,3104.03
Canada Post – Postes Canada,Postage and Parcel Post,2021/12/16,485.27
Canada Post – Postes Canada,Courier Services,2021/12/17,12.59
PRIMARIS MANAGEMENT INC.,Office Rental and Related Fees,2022/01/01,3104.03
