Supplier,Description,Date,Total
Port de Havre-Saint-Pierre,Janitorial Services and Maintenance,2020/06/22,250.00
"Port de Havre-Saint-Pierre ",Office Renovations,2020/06/22,-250.00
Cathy Dufour,Janitorial Services and Maintenance,2021/02/24,469.60
Cathy Dufour,Office Renovations,2021/02/24,-469.60
Cathy Dufour,Office Renovations,2021/03/28,-469.60
"Cathy Dufour ",Janitorial Services and Maintenance,2021/03/28,469.60
Go Media Pub,Advertising,2021/06/22,396.00
RTC,Advertising,2021/06/24,515.00
O 99.1,Advertising,2021/06/30,950.00
Plaisir FM,Advertising,2021/06/30,250.00
"Publicité - Baie-Comeau, D'aventure et de culture ",Advertising,2021/07/15,500.00
Azur Evolution,Promotional Items,2021/08/04,1975.00
Journal Haute-Côte-Nord,Advertising,2021/08/11,245.20
Journal Le Manic,Advertising,2021/08/11,354.00
Journal Le Nord-Côtier,Advertising,2021/08/11,470.00
tva,Advertising,2021/08/28,6060.01
"Services GoDomo, Les (9317-0397 Québec inc)",Monthly Phone Service,2021/09/01,340.68
Distribution Manicouagan,Spring Water,2021/09/21,36.00
TZ Baie-Comeau,Advertising,2021/09/22,500.00
Fleuriste Rouyn,Gifts given as a matter of protocol,2021/09/23,125.00
Essor- Intact assurances,Constituency Office Insurance,2021/09/27,129.51
Caisse populaire Desjardins,Banking Fees and Cheque Orders,2021/09/30,16.45
Cathy Dufour,Janitorial Services and Maintenance,2021/09/30,199.50
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,155.53
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,0.56
"Services GoDomo, Les (9317-0397 Québec inc)",Monthly Phone Service,2021/10/01,340.68
Canada Computers,"Office Supplies, Stationery and Accessories",2021/10/05,7.99
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2021/10/06,1582.10
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2021/10/06,172.46
Journal Haute-Côte-Nord,Advertising,2021/10/06,960.00
Journal Le Manic -,Advertising,2021/10/06,960.00
Journal le Nord-Côtier,Advertising,2021/10/06,960.00
Apple Canada Inc.,Repair of Telecommunication Equipment,2021/10/07,366.00
Canada Post – Postes Canada,Courier Services,2021/10/07,14.90
Canada Post – Postes Canada,Courier Services,2021/10/07,17.22
Canada Post – Postes Canada,Courier Services,2021/10/12,10.36
Canada Post – Postes Canada,Courier Services,2021/10/12,14.97
Distribution Manicouagan,Spring Water,2021/10/13,46.00
Brassard Bureau,"Office Supplies, Stationery and Accessories",2021/10/14,39.13
Postes-Canada,"Postage, Parcel Post and Courier Services",2021/10/14,19.81
Cogeco Connexion inc.,Constituency Office Internet,2021/10/16,149.95
