Supplier,Description,Date,Total
FONDATION SIR-WILFRID-LAURIER,Advertising,2021/04/01,150.00
BANQUE NATIONALE DU CANADA,Banking Fees and Cheque Orders,2021/04/12,3.95
BANQUE NATIONALE DU CANADA,Banking Fees and Cheque Orders,2021/05/12,3.95
BANQUE NATIONALE DU CANADA,Banking Fees and Cheque Orders,2021/06/11,3.95
A VOZ DE PORTUGAL,Advertising,2021/06/30,40.00
"SUBURBAN, THE",Advertising,2021/06/30,105.00
BANQUE NATIONALE DU CANADA,Banking Fees and Cheque Orders,2021/07/12,3.95
Laval en Famille Magazine,Advertising,2021/08/01,655.00
Laval en Famille Magazine,Advertising,2021/08/01,795.02
Il Cittadino Canadese,Advertising,2021/08/11,90.00
BANQUE NATIONALE DU CANADA,Banking Fees and Cheque Orders,2021/08/12,3.95
Métro Média,Advertising,2021/08/14,250.00
GOLFMARK COMMUNICATIONS INC,Advertising,2021/08/15,50.00
2M.Media,Advertising,2021/08/21,450.58
ZOOM,Computer Software and Licences,2021/08/31,20.00
Complexe 3131,Storage and Warehousing,2021/09/01,100.00
FSA Securite,Protection and Alarm Monitoring (Member's Office Budget),2021/09/06,240.00
Vidéotron s.e.n.c,Constituency Office Cable,2021/09/10,51.77
Vidéotron s.e.n.c,Constituency Office Internet,2021/09/10,123.95
BANQUE NATIONALE DU CANADA,Banking Fees and Cheque Orders,2021/09/12,3.95
LA VOCE,"Printed Matter, Books, Newspapers and Subscriptions",2021/09/30,40.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/09/30,216.35
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/09/30,217.06
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/09/30,3.18
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/09/30,3.18
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,41.34
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,0.09
ZOOM,Computer Software and Licences,2021/09/30,20.00
2M.Media,Advertising,2021/10/01,1000.00
Complexe 3131,Storage and Warehousing,2021/10/01,100.00
Néomédia inc.,Advertising,2021/10/02,300.00
Néomédia inc.,Professional Communication Services,2021/10/02,150.00
"Revue Nez Rouge, La",Advertising,2021/10/04,135.00
ULINE,Cleaning Products,2021/10/04,128.00
ULINE,"Postage, Parcel Post and Courier Services",2021/10/04,18.90
MAYRAND ENTREPOT,Spring Water,2021/10/05,19.95
Canada Post – Postes Canada,Courier Services,2021/10/07,6.30
Canada Post – Postes Canada,Courier Services,2021/10/07,5.88
2M.Media,Advertising,2021/10/08,530.00
Métro Média,Advertising,2021/10/09,250.00
Canada Post – Postes Canada,Courier Services,2021/10/12,5.88
Canada Post – Postes Canada,Courier Services,2021/10/12,8.68
Stèle Médias Communications et Relations Publiques Inc.,Professional Communication Services,2021/10/13,68.00
Stèle Médias Communications et Relations Publiques Inc.,Advertising,2021/10/13,198.00
Vidéotron s.e.n.c,Constituency Office Cable,2021/10/15,51.77
Vidéotron s.e.n.c,Constituency Office Internet,2021/10/15,123.95
CANADIAN TIRE,"Office Supplies, Stationery and Accessories",2021/10/18,53.97
2M.Media,Advertising,2021/10/22,275.00
SERVICES D'AFFAIRES SUD ASIATIQUES SAWID,Advertising,2021/10/22,33.75
Métro Média,Advertising,2021/10/23,250.00
Canada Post – Postes Canada,Courier Services,2021/10/25,5.91
Canada Post – Postes Canada,Courier Services,2021/10/25,8.17
CANADIAN TIRE,"Office Supplies, Stationery and Accessories",2021/10/25,73.95
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/10/26,3.18
ZOOM,Computer Software and Licences,2021/10/31,20.00
Bell Mobility – Bell Mobilité,Long Distance,2021/11/01,2.75
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/01,153.38
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/11/01,26.00
Complexe 3131,Storage and Warehousing,2021/11/01,100.00
Complexe 3131,Office Rental and Related Fees,2021/11/01,3934.92
Néomédia inc.,Advertising,2021/11/02,300.00
Néomédia inc.,Professional Communication Services,2021/11/02,150.00
FACEBOOK,Advertising,2021/11/03,100.00
Juventus Club Canada,Advertising,2021/11/04,150.00
2M.Media,Advertising,2021/11/05,1000.00
SEMAINIER PAROISSIAL,Professional Communication Services,2021/11/05,75.00
SEMAINIER PAROISSIAL,Advertising,2021/11/05,225.00
RADIO HUMSAFAR,Advertising,2021/11/08,45.00
SEMAINIER PAROISSIAL,Professional Communication Services,2021/11/09,21.25
SEMAINIER PAROISSIAL,Advertising,2021/11/09,63.75
Stèle Médias Communications et Relations Publiques Inc.,Advertising,2021/11/10,198.00
Stèle Médias Communications et Relations Publiques Inc.,Professional Communication Services,2021/11/10,68.00
LINEN CHEST,"Office Supplies, Stationery and Accessories",2021/11/11,33.54
COSTCO,Cleaning Products,2021/11/12,22.48
Vidéotron s.e.n.c,Constituency Office Internet,2021/11/12,123.95
Vidéotron s.e.n.c,Constituency Office Cable,2021/11/12,54.89
2M.Media,Advertising,2021/11/13,460.75
MAYRAND ENTREPÔT D'ALIMENTATION,Spring Water,2021/11/13,41.97
Métro Média,Advertising,2021/11/13,250.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/17,153.38
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/11/17,8.00
ELENA KHOMOUTOVA,Photography and Video Services,2021/11/17,360.00
Canada Post – Postes Canada,Courier Services,2021/11/18,5.98
Canada Post – Postes Canada,Courier Services,2021/11/18,6.33
FACEBOOK,Advertising,2021/11/20,100.00
FACEBOOK,Advertising,2021/11/22,42.12
2M.Media,Advertising,2021/11/26,275.00
"SUBURBAN, THE",Advertising,2021/11/30,100.00
ZOOM,Computer Software and Licences,2021/11/30,20.00
Complexe 3131,Office Rental and Related Fees,2021/12/01,3934.92
Complexe 3131,Storage and Warehousing,2021/12/01,100.00
QUINCAILLERIE RONA,Office Decor,2021/12/01,14.99
2M.Media,Advertising,2021/12/02,1000.00
Néomédia inc.,Advertising,2021/12/02,300.00
Néomédia inc.,Professional Communication Services,2021/12/02,150.00
DOLLARAMA,"Office Supplies, Stationery and Accessories",2021/12/03,3.75
SEMAINIER PAROISSIAL,Advertising,2021/12/08,63.75
SEMAINIER PAROISSIAL,Professional Communication Services,2021/12/08,21.25
Stèle Médias Communications et Relations Publiques Inc.,Professional Communication Services,2021/12/08,68.00
Stèle Médias Communications et Relations Publiques Inc.,Advertising,2021/12/08,198.00
2M.Media,Advertising,2021/12/10,530.00
"COSTCO ",Cleaning Products,2021/12/10,28.48
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/12/10,3.18
Vidéotron s.e.n.c,Constituency Office Internet,2021/12/10,123.95
Vidéotron s.e.n.c,Constituency Office Cable,2021/12/10,51.77
ARES,"Office Supplies, Stationery and Accessories",2021/12/14,53.97
Il Cittadino Canadese,Advertising,2021/12/14,60.00
Canada Post – Postes Canada,Postage and Parcel Post,2021/12/16,243.44
Canada Post – Postes Canada,Courier Services,2021/12/17,8.07
CANADIAN TIRE,"Office Supplies, Stationery and Accessories",2021/12/17,81.92
House of Commons / Chambre des communes,Householders – Paper Recovery,2021/12/23,17.48
Complexe 3131,Office Rental and Related Fees,2022/01/01,3934.92
