Supplier,Description,Date,Total
Shaw cablesystems G.P./Shaw Direct,Employees’ Primary Residence Internet (COVID-19),2021/07/02,74.90
PRICE'S  ALARMS  SYSTEMS LTD,Employees’ Primary Residence Internet (COVID-19),2021/07/05,133.75
shaw,Employees’ Primary Residence Internet (COVID-19),2021/07/06,41.46
Videotron,Employees’ Primary Residence Internet (COVID-19),2021/07/30,86.88
Black Press Group Ltd.,Advertising,2021/08/15,1337.84
BC HYDRO,Public Utilities,2021/08/30,58.76
GFL Environmental Inc.,Janitorial Services and Maintenance,2021/08/31,112.35
Island Radio,Advertising,2021/08/31,187.00
Island Radio,Advertising,2021/08/31,170.00
Island Radio,Advertising,2021/08/31,180.00
Oceanside Janitorial Services,Janitorial Services and Maintenance,2021/09/19,120.00
Shaw cablesystems G.P./Shaw Direct,Public Utilities,2021/09/28,166.83
BC HYDRO,Public Utilities,2021/09/29,78.32
GFL Environmental Inc.,Janitorial Services and Maintenance,2021/09/30,112.35
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/09/30,432.69
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/09/30,6.36
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/09/30,434.12
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/09/30,6.36
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,13.53
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,0.04
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/10/01,317.79
shaw,Employees’ Primary Residence Internet (COVID-19),2021/10/02,74.90
telus,Employees’ Primary Residence Internet (COVID-19),2021/10/05,133.75
Shaw cablesystems G.P./Shaw Direct,Employees’ Primary Residence Internet (COVID-19),2021/10/06,96.30
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2021/10/17,163.37
teksavvy,Employees’ Primary Residence Internet (COVID-19),2021/10/25,71.95
Oceanside Janitorial Services,Janitorial Services and Maintenance,2021/10/26,180.00
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/10/26,6.36
BC HYDRO,Public Utilities,2021/10/29,126.53
GFL Environmental Inc.,Janitorial Services and Maintenance,2021/10/31,112.35
Alberni Valley Chamber of Commerce,Office Rental and Related Fees,2021/11/01,630.00
Bayview Strata & Rental Services,Office Rental and Related Fees,2021/11/01,2000.00
"Kyba, Paul",Subject Matter Expert,2021/11/01,2476.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/11/01,321.79
Videotron,Employees’ Primary Residence Internet (COVID-19),2021/11/05,69.09
Apple Canada Inc.,Repair of Telecommunication Equipment,2021/11/12,83.30
Canada Post – Postes Canada,"Postage, Parcel Post and Courier Services",2021/11/12,146.67
Black Press Group Ltd.,Advertising,2021/11/14,1352.75
Canada Post – Postes Canada,Courier Services,2021/11/18,19.62
Oceanside Janitorial Services,Janitorial Services and Maintenance,2021/11/27,120.00
BC HYDRO,Public Utilities,2021/11/30,218.54
Grand & Toy,Cleaning Products,2021/11/30,4.79
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/11/30,29.00
"Kyba, Paul",Subject Matter Expert,2021/11/30,2391.90
Alberni Valley Chamber of Commerce,Office Rental and Related Fees,2021/12/01,630.00
Bayview Strata & Rental Services,Office Rental and Related Fees,2021/12/01,2000.00
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/12/10,6.36
Canada Post – Postes Canada,Courier Services,2021/12/17,55.93
Alberni Valley Chamber of Commerce,Office Rental and Related Fees,2022/01/01,630.00
Bayview Strata & Rental Services,Office Rental and Related Fees,2022/01/01,2000.00
