Supplier,Description,Date,Total
Facebook,Advertising,2021/07/01,30.00
"Facebook ",Advertising,2021/07/01,307.46
"Facebook ",Advertising,2021/07/01,30.00
Shaw Business,Constituency Office Internet,2021/07/21,159.38
RBC,Banking Fees and Cheque Orders,2021/08/06,12.50
Facebook,Advertising,2021/08/08,100.00
Facebook,Advertising,2021/08/09,100.00
"Globe & Mail ","Printed Matter, Books, Newspapers and Subscriptions",2021/08/11,29.36
RBC,Banking Fees and Cheque Orders,2021/08/13,15.95
Shaw Business,Constituency Office Internet,2021/08/21,159.38
"Nation Builder ",Web Site Hosting/Domain Name,2021/08/25,7.49
Grand & Toy,Digital Communication Equipment,2021/08/31,14.13
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/08/31,323.39
Grand & Toy,Digital Communication Equipment,2021/08/31,13.59
Grand & Toy,Bulk Paper Purchases,2021/08/31,110.64
"BC Hydro ",Public Utilities,2021/09/08,81.88
"Globe & Mail ","Printed Matter, Books, Newspapers and Subscriptions",2021/09/08,29.36
RBC,Banking Fees and Cheque Orders,2021/09/14,15.95
"Shaw Business ",Constituency Office Internet,2021/09/21,159.38
Nation Builder,Web Site Hosting/Domain Name,2021/09/25,28.06
"Skwachays Lodge ",Gifts given as a matter of protocol,2021/09/29,133.75
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,250.69
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,1.33
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/10/01,221.25
"Cedar Root Gallery ",Gifts given as a matter of protocol,2021/10/04,106.85
"London Drugs ","Office Supplies, Stationery and Accessories",2021/10/04,81.60
"Globe & Mail ","Printed Matter, Books, Newspapers and Subscriptions",2021/10/06,29.36
RBC,Banking Fees and Cheque Orders,2021/10/14,15.95
"Ming Pao daily news ",Advertising,2021/10/15,160.00
"Judith Diesta ",Janitorial Services and Maintenance,2021/10/20,200.00
"Judith Diesta ",Janitorial Services and Maintenance,2021/10/20,200.00
Shoppers Drug Mart,"Printed Matter, Books, Newspapers and Subscriptions",2021/10/20,1.00
Sy Farm Market,"Printed Matter, Books, Newspapers and Subscriptions",2021/10/20,1.00
"Shaw Business ",Constituency Office Internet,2021/10/21,159.38
Canada Post – Postes Canada,Courier Services,2021/10/25,20.52
"Nation builder ",Professional Communication Services,2021/10/25,189.41
Indo-Canadian Awaaz Punjabi Newspaper,Advertising,2021/10/29,180.00
"The Indo-Canadian Voice ",Advertising,2021/10/30,180.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/10/31,51.09
Punjab Guardian Inc.,Advertising,2021/10/31,200.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/01,24.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/11/01,0.30
"Darpan Magazine ",Advertising,2021/11/01,110.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/11/01,254.50
"Soo, Jenny",Office Rental and Related Fees,2021/11/01,2373.00
"London Drugs ","Office Supplies, Stationery and Accessories",2021/11/02,25.59
"Globe & Mail ","Printed Matter, Books, Newspapers and Subscriptions",2021/11/03,29.36
"BC Hydro ",Public Utilities,2021/11/08,94.06
RBC,Banking Fees and Cheque Orders,2021/11/12,15.95
Toronto Star Newspapers Limited,"Printed Matter, Books, Newspapers and Subscriptions",2021/11/16,5.99
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/17,24.00
Perfect Pen & Stationary,"Office Supplies, Stationery and Accessories",2021/11/20,1025.85
"Shaw Business ",Constituency Office Internet,2021/11/21,164.38
Shoppers Drug Mart,"Safety Supplies (fire extinguishers, first aid kits)",2021/11/22,15.98
Sy Farm Market,"Printed Matter, Books, Newspapers and Subscriptions",2021/11/24,1.50
Nation builder,Professional Communication Services,2021/11/25,193.65
"7-Eleven ","Printed Matter, Books, Newspapers and Subscriptions",2021/11/26,0.95
"Judith Diesta ",Janitorial Services and Maintenance,2021/11/26,200.00
"Apple Rideau Centre ",Computer Equipment,2021/11/30,77.00
"Apple Rideau Centre ",Computer Equipment,2021/11/30,23.00
"London Drugs ","Office Supplies, Stationery and Accessories",2021/11/30,31.99
"Ming Pao Daily News ",Advertising,2021/11/30,1000.00
Richcraft Construction LTD.,"Repair of Heating, Air Conditioning and Refrigeration Equipment",2021/11/30,165.00
Sy farm market,"Printed Matter, Books, Newspapers and Subscriptions",2021/11/30,2.00
Globe & Mail,"Printed Matter, Books, Newspapers and Subscriptions",2021/12/01,29.36
"Sharpe, Kai",Office Assistant,2021/12/01,2302.30
"Soo, Jenny",Office Rental and Related Fees,2021/12/01,2373.00
London Drugs,"Safety Supplies (fire extinguishers, first aid kits)",2021/12/03,67.96
Saach Di Awaaz newspaper,Advertising,2021/12/03,300.00
"Soo, Jenny",Office Rental and Related Fees,2022/01/01,2423.00
