Supplier,Description,Date,Total
Ottawa Community Sport Media Team,Advertising,2021/07/31,88.49
TD Bank,Banking Fees and Cheque Orders,2021/08/31,101.70
"Mailchimp ",Professional Communication Services,2021/09/01,42.63
Bell Canada,Constituency Office Internet,2021/09/04,179.90
Zoom Video Communications Inc,Computer Software and Licences,2021/09/06,20.00
Paroisse Sainte-Marie,Advertising,2021/09/22,100.00
Studio G.R. Martin,Photography and Video Services,2021/09/27,647.00
SHERWIN PUBLISHING Inc.,Advertising,2021/09/29,425.00
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/09/30,3.18
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/09/30,216.34
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/09/30,217.06
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/09/30,3.18
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,29.23
Mailchimp,Professional Communication Services,2021/10/01,42.99
Bell Canada,Constituency Office Internet,2021/10/04,93.00
Zoom Communications Inc,Computer Software and Licences,2021/10/06,20.00
Canada Post – Postes Canada,Courier Services,2021/10/07,6.04
Canada Post – Postes Canada,Courier Services,2021/10/07,6.59
SHERWIN PUBLISHING Inc.,Advertising,2021/10/11,100.00
Canada Post – Postes Canada,Courier Services,2021/10/12,8.27
Canada Post – Postes Canada,Courier Services,2021/10/12,6.04
"Heart of Orleans BIA, The",Advertising,2021/10/13,350.00
Power of a Wish Magazine,Advertising,2021/10/13,375.00
Studio G.R. Martin,Photography and Video Services,2021/10/19,398.00
Costco Wholesale,"Office Supplies, Stationery and Accessories",2021/10/21,12.99
Canada Post – Postes Canada,Courier Services,2021/10/25,7.91
Canada Post – Postes Canada,Courier Services,2021/10/25,6.62
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/10/26,3.18
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/01,252.46
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/11/01,20.60
CITY OF OTTAWA,Office Rental and Related Fees,2021/11/01,2149.00
"Mailchimp ",Computer Software and Licences,2021/11/01,41.79
Metro,Spring Water,2021/11/01,13.98
CITY OF OTTAWA,Office Rental and Related Fees,2021/11/03,2465.07
Bell Canada,Constituency Office Internet,2021/11/04,94.95
SHERWIN PUBLISHING Inc.,Advertising,2021/11/05,239.50
Coopérative Nationale de l'information Indépendante,Advertising,2021/11/06,99.54
Zoom Video Communications Inc,Computer Software and Licences,2021/11/06,20.00
SHERWIN PUBLISHING Inc.,Advertising,2021/11/08,444.00
Costco Wholesale,Voice Communication Equipment,2021/11/10,248.99
Paroisse Notre-Dame-des-Champs,Advertising,2021/11/10,200.00
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2021/11/12,169.00
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2021/11/12,1729.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/11/17,26.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/17,252.46
Canada Post – Postes Canada,Courier Services,2021/11/18,7.35
Canada Post – Postes Canada,Courier Services,2021/11/18,7.87
Apple Canada Inc.,Repair of Telecommunication Equipment,2021/11/23,145.00
SHERWIN PUBLISHING Inc.,Advertising,2021/11/25,100.00
Grand & Toy,Bulk Paper Purchases,2021/11/30,99.32
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/11/30,242.11
CITY OF OTTAWA,Office Rental and Related Fees,2021/12/01,2149.00
Mailchimp,Professional Communication Services,2021/12/01,43.24
Postes canada,"Postage, Parcel Post and Courier Services",2021/12/02,17.31
Bell Canada,Constituency Office Internet,2021/12/04,94.95
Eastern Ottawa Recreation Group,Advertising,2021/12/06,500.00
SHERWIN PUBLISHING Inc.,Advertising,2021/12/06,100.00
Zoom Video Communications Inc,Computer Software and Licences,2021/12/06,20.00
Pro Max Pub,Advertising,2021/12/09,495.00
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/12/10,3.18
FedEx,"Postage, Parcel Post and Courier Services",2021/12/13,18.61
SHERWIN PUBLISHING Inc.,Advertising,2021/12/13,375.00
TD Bank,Banking Fees and Cheque Orders,2021/12/13,50.85
Ciné Starz Orleans Inc,Public Meeting Room Rentals,2021/12/14,1000.00
Metro,Spring Water,2021/12/14,13.98
SHERWIN PUBLISHING Inc.,Advertising,2021/12/16,200.00
Canada Post – Postes Canada,Courier Services,2021/12/17,9.34
CITY OF OTTAWA,Office Rental and Related Fees,2022/01/01,2149.00
