Supplier,Description,Date,Total
Videotron,Constituency Office Cable,2021/01/22,62.88
Viedotron,Constituency Office Internet,2021/01/29,113.95
Videotron,Constituency Office Cable,2021/02/19,62.88
Videotron,Constituency Office Internet,2021/02/26,113.95
Banque Scotia,Banking Fees and Cheque Orders,2021/03/26,3.95
Videotron,Constituency Office Internet,2021/04/01,113.95
Videotron,Constituency Office Cable,2021/04/01,62.88
Videotron,Constituency Office Cable,2021/04/23,62.88
Videotron,Constituency Office Internet,2021/04/23,113.95
Banque Scotia,Banking Fees and Cheque Orders,2021/04/26,3.95
Videotron,Constituency Office Cable,2021/05/21,62.88
Banque Scotia,Banking Fees and Cheque Orders,2021/05/26,3.95
"Vidéotron ",Constituency Office Internet,2021/06/25,113.95
Banque Scotia,Banking Fees and Cheque Orders,2021/06/26,3.95
Les Immeubles Wilfred Poulin Ltee,Office Rental and Related Fees,2021/07/12,25.00
TVPM - Televisao Portuguesa de Montreal,Advertising,2021/07/15,500.00
Banque Scotia,Banking Fees and Cheque Orders,2021/07/26,3.95
Banque Scotia,Banking Fees and Cheque Orders,2021/08/26,3.95
"Vidéotron ",Constituency Office Internet,2021/08/27,115.92
Videotron,Constituency Office Cable,2021/09/17,62.88
Videotron,Constituency Office Cable,2021/09/22,62.88
"Vidéotron ",Constituency Office Internet,2021/09/24,117.88
Banque Scotia,Banking Fees and Cheque Orders,2021/09/25,3.95
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,8.03
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,44.90
"CAPITALE ASSURANCES GENERALES INC., LA",Constituency Office Insurance,2021/10/04,827.00
Centre de Soutien entr`Aidants,Advertising,2021/10/07,300.00
Videotron,Constituency Office Internet,2021/10/07,117.37
Services d'Affaires Sud Asiatiques Sawid,Advertising,2021/10/22,33.75
Videotron,Constituency Office Cable,2021/10/22,62.88
Banque Scotia,Banking Fees and Cheque Orders,2021/10/26,3.95
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/01,242.30
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/11/01,23.05
"IMMEUBLES WILFRID POULIN  LTEE, LES",Office Rental and Related Fees,2021/11/01,3233.37
Societe Chorale de Saint-Lambert,Advertising,2021/11/01,325.00
RADIO HUMSAFAR,Advertising,2021/11/08,45.00
"Industries de Sécurité Beltronic Inc., Les",Protection and Alarm Monitoring (Member's Office Budget),2021/11/15,220.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/17,242.30
Bell Mobility – Bell Mobilité,Long Distance,2021/11/17,0.05
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/11/17,10.80
Vidéotron s.e.n.c,Constituency Office Cable,2021/11/19,62.88
SPORT MEDIA Inc.,Advertising,2021/11/22,1645.00
"SUBURBAN, THE",Advertising,2021/11/30,100.00
"IMMEUBLES WILFRID POULIN  LTEE, LES",Office Rental and Related Fees,2021/12/01,3233.37
Canada Post – Postes Canada,Postage and Parcel Post,2021/12/16,265.60
"IMMEUBLES WILFRID POULIN  LTEE, LES",Office Rental and Related Fees,2022/01/01,3233.37
