Supplier,Description,Date,Total
Bell,Members’ Primary Residence Internet,2021/04/15,117.95
Bell,Members’ Primary Residence Internet,2021/05/15,117.95
Bell,Members’ Primary Residence Internet,2021/06/15,117.95
Kapwing,Computer Software and Licences,2021/06/18,246.05
Bell,Members’ Primary Residence Internet,2021/07/15,117.95
Bell,Members’ Primary Residence Internet,2021/08/15,117.95
Bell,Members’ Primary Residence Internet,2021/09/15,117.95
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,0.34
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,4.30
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/10/01,83.79
Canada Post – Postes Canada,Courier Services,2021/10/07,6.84
Canada Post – Postes Canada,Courier Services,2021/10/07,6.30
Canada Post – Postes Canada,Courier Services,2021/10/12,5.88
Canada Post – Postes Canada,Courier Services,2021/10/12,8.17
Bell,Members’ Primary Residence Internet,2021/10/15,117.95
Canada Post – Postes Canada,Courier Services,2021/10/25,8.68
Canada Post – Postes Canada,Courier Services,2021/10/25,5.91
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/10/31,296.97
1154 Kingston Group Inc.,Office Rental and Related Fees,2021/11/01,2388.30
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/01,24.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/11/01,89.79
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/17,24.00
Canada Post – Postes Canada,Courier Services,2021/11/18,8.17
Canada Post – Postes Canada,Courier Services,2021/11/18,8.79
Grand & Toy,Office furniture and fixtures,2021/11/30,195.43
Grand & Toy,Cleaning Products,2021/11/30,52.59
1154 Kingston Group Inc.,Office Rental and Related Fees,2021/12/01,2388.30
Canada Post – Postes Canada,Courier Services,2021/12/17,10.16
Canada Post – Postes Canada,Courier Services,2021/12/17,8.28
1154 Kingston Group Inc.,Office Rental and Related Fees,2022/01/01,2388.30
