Supplier,Description,Date,Total
POST CITY MAGAZINES,Advertising,2021/07/26,2103.00
" Choice Communication",Advertising,2021/08/17,37.06
Choice Communications,Advertising,2021/08/17,48.65
Canada Post,"Postage, Parcel Post and Courier Services",2021/09/21,26.04
impark,Office Rental and Related Fees,2021/09/23,409.46
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2021/09/28,82.47
Rogers Wireless – Rogers sans-fil,Voice Communication Equipment,2021/09/28,250.00
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/09/30,6.36
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/09/30,432.69
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/09/30,6.36
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/09/30,434.12
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,88.17
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,8.72
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/10/01,177.04
Staples,"Office Supplies, Stationery and Accessories",2021/10/01,46.03
Apple Canada Inc.,Repair of Telecommunication Equipment,2021/10/04,122.00
Canada Post – Postes Canada,Courier Services,2021/10/12,6.04
Impark,Office Rental and Related Fees,2021/10/12,362.35
Shoppers Drug Mart,"Office Supplies, Stationery and Accessories",2021/10/13,13.60
"Butterfly Beads ","Office Supplies, Stationery and Accessories",2021/10/19,30.00
Rogers,Constituency Office Internet,2021/10/20,207.99
Canada Post – Postes Canada,Courier Services,2021/10/25,6.87
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/10/26,6.36
Blackstone Learning Solutions,Professional Development and Training for Members' Employees,2021/10/27,847.00
Grand & Toy,Cleaning Products,2021/10/31,6.98
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/10/31,191.85
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/11/01,2.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/01,32.00
PROMED 1670 BAYVIEW INC.,Office Rental and Related Fees,2021/11/01,4004.34
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/11/01,177.00
CADE ASSOCIATES INSURANCE BROKERS,Constituency Office Insurance,2021/11/10,1200.96
Impark,Office Rental and Related Fees,2021/11/11,362.35
Canada Post – Postes Canada,"Postage, Parcel Post and Courier Services",2021/11/12,270.94
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/11/17,2.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/17,32.00
Rogers,Constituency Office Internet,2021/11/20,207.99
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/11/30,32.35
Second Avenue,Advertising,2021/11/30,695.00
PROMED 1670 BAYVIEW INC.,Office Rental and Related Fees,2021/12/01,4004.34
Canada Post,"Postage, Parcel Post and Courier Services",2021/12/07,80.71
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/12/10,6.36
The Source,"Office Supplies, Stationery and Accessories",2021/12/14,15.24
PROMED 1670 BAYVIEW INC.,Office Rental and Related Fees,2022/01/01,4156.72
