Supplier,Description,Date,Total
SASI,Spring Water,2021/06/30,40.00
SASI,Spring Water,2021/08/23,22.00
SASI,Spring Water,2021/08/23,22.00
T.Bay Post Inc.,Advertising,2021/08/31,500.00
ATIKOKAN PRINTING (1994) LTD.,Advertising,2021/09/29,5.38
"FRIENDS OF CHIPPEWA, THE",Advertising,2021/09/30,150.00
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/09/30,9.54
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/09/30,651.18
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/09/30,9.54
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/09/30,649.02
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,114.24
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,3.82
SASI,Spring Water,2021/10/01,40.00
SASI,Spring Water,2021/10/01,40.00
Tbaytel,Constituency Office Internet,2021/10/01,124.94
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/10/26,9.54
T.Bay Post Inc.,Advertising,2021/10/31,500.00
The Chronicle Journal,Advertising,2021/10/31,200.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/01,158.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/11/01,12.20
"John Samuel, Haroon",Office Rental and Related Fees,2021/11/01,575.00
NORTH SUPERIOR PUBLISHING INC.,Advertising,2021/11/01,300.00
Tbaytel,Constituency Office Internet,2021/11/01,128.47
TECMAP Holdings Inc.,Office Rental and Related Fees,2021/11/01,2400.00
T.Bay Post Inc.,Advertising,2021/11/04,190.00
ATIKOKAN PRINTING (1994) LTD.,Advertising,2021/11/10,230.00
Fort Frances Times Limited,Advertising,2021/11/10,237.60
ATIKOKAN PRINTING (1994) LTD.,Advertising,2021/11/17,120.00
Bell Mobility – Bell Mobilité,Long Distance,2021/11/17,1.32
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/17,158.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/11/17,2.00
Canada Post – Postes Canada,Courier Services,2021/11/18,19.09
ATIKOKAN PRINTING (1994) LTD.,Advertising,2021/11/24,120.00
NORTH SUPERIOR PUBLISHING INC.,Advertising,2021/11/29,300.00
ATIKOKAN PRINTING (1994) LTD.,Advertising,2021/11/30,5.59
T.Bay Post Inc.,Advertising,2021/11/30,500.00
Thunder Bay Chronicle Limited Partnership,Advertising,2021/11/30,200.00
APEX Investigation & Security Inc.,Protection and Alarm Monitoring (Member's Office Budget),2021/12/01,419.40
Fort Frances Times Limited,"Printed Matter, Books, Newspapers and Subscriptions",2021/12/01,71.43
"John Samuel, Haroon",Office Rental and Related Fees,2021/12/01,575.00
Tbaytel,Constituency Office Internet,2021/12/01,128.56
TECMAP Holdings Inc.,Office Rental and Related Fees,2021/12/01,2400.00
T.Bay Post Inc.,Advertising,2021/12/02,190.00
T.Bay Post Inc.,Advertising,2021/12/09,190.00
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/12/10,9.54
Apple Canada Inc.,Repair of Telecommunication Equipment,2021/12/15,122.00
Canada Post – Postes Canada,Courier Services,2021/12/17,103.27
"John Samuel, Haroon",Office Rental and Related Fees,2022/01/01,575.00
TECMAP Holdings Inc.,Office Rental and Related Fees,2022/01/01,2400.00
