Supplier,Description,Date,Total
"Bow Valley Crag & Canyon ","Printed Matter, Books, Newspapers and Subscriptions",2021/05/06,-54.46
Shaw Cablesystems G.P.,Members’ Primary Residence Internet,2021/07/12,104.00
Canada Post,"Postage, Parcel Post and Courier Services",2021/08/26,9.20
Bank of Montreal,Banking Fees and Cheque Orders,2021/08/31,4.00
Janice Maxwell,Janitorial Services and Maintenance,2021/09/26,180.00
Bank of Montreal,Banking Fees and Cheque Orders,2021/09/29,4.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,1.17
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,0.34
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/10/01,106.04
Shaw Cablesystems G.P.,Members’ Primary Residence Internet,2021/10/12,110.00
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2021/10/15,64.99
Shaw Cablesystems G.P.,Constituency Office Internet,2021/10/19,196.15
Walmart,"Office Supplies, Stationery and Accessories",2021/10/19,58.63
Janice Maxwell,Janitorial Services and Maintenance,2021/10/31,225.00
4297378 MANITOBA LTD,Office Rental and Related Fees,2021/11/01,3280.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/11/01,127.29
Jas Electrical Contractors Inc.,"Safety Supplies (fire extinguishers, first aid kits)",2021/11/04,198.00
Rockyview Insurance Services,Constituency Office Insurance,2021/11/10,860.00
Shaw Cablesystems G.P.,Members’ Primary Residence Internet,2021/11/12,110.00
Canada Post – Postes Canada,Courier Services,2021/11/18,25.05
Shaw Cablesystems G.P.,Constituency Office Internet,2021/11/19,155.95
Shaw Cablesystems G.P.,Constituency Office Cable,2021/11/19,43.00
Janice Maxwell,Janitorial Services and Maintenance,2021/11/28,180.00
Grand & Toy,Cleaning Products,2021/11/30,28.39
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/11/30,32.98
4297378 MANITOBA LTD,Office Rental and Related Fees,2021/12/01,3680.00
4297378 MANITOBA LTD,Office Rental and Related Fees,2022/01/01,3680.00
