Supplier,Description,Date,Total
Apple Canada Inc.,Repair of Telecommunication Equipment,2021/09/30,122.00
Dollorama,Cleaning Products,2021/10/07,8.00
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/10/26,3.18
Dollorama,"Office Supplies, Stationery and Accessories",2021/10/29,18.00
Maxi,Gifts given as a matter of protocol,2021/10/29,58.97
Micro Compo Inc.,Signage,2021/10/29,120.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/11/01,2.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/01,62.46
Immeubles Hobeychi,Office Rental and Related Fees,2021/11/01,3000.00
Vidéotron s.e.n.c,Constituency Office Internet,2021/11/03,238.66
Vidéotron s.e.n.c,Constituency Office Cable,2021/11/03,42.89
Meubles RD,Office Furniture and Fixtures,2021/11/04,672.79
L'AUT'JOURNAL,Advertising,2021/11/09,170.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/17,91.19
Immeubles Hobeychi,Office Rental and Related Fees,2021/12/01,3000.00
Vidéotron s.e.n.c,Constituency Office Cable,2021/12/03,42.89
Vidéotron s.e.n.c,Constituency Office Internet,2021/12/03,175.95
Apple Canada Inc.,Repair of Telecommunication Equipment,2021/12/09,122.00
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/12/10,3.18
Immeubles Hobeychi,Office Rental and Related Fees,2022/01/01,3000.00
