Supplier,Description,Date,Total
Affinity Credit Union,Banking Fees and Cheque Orders,2021/04/30,1.00
Affinity Credit Union,Banking Fees and Cheque Orders,2021/05/31,2.00
Cathedral Area Community Associatio,Advertising,2021/05/31,150.00
Affinity Credit Union,Banking Fees and Cheque Orders,2021/06/30,2.00
Albert Park Community Association,Advertising,2021/07/01,500.00
Affinity Credit Union,Banking Fees and Cheque Orders,2021/07/31,35.00
Cathedral Area Community Associatio,Advertising,2021/07/31,150.00
HARVARD BROADCASTING,Advertising,2021/07/31,165.00
HARVARD BROADCASTING,Advertising,2021/07/31,246.40
Albert Park Community Association,Advertising,2021/08/14,500.00
HARVARD BROADCASTING,Advertising,2021/08/31,246.40
Mailchimp,Professional Communication Services,2021/09/06,105.98
Affinity Credit Union,Banking Fees and Cheque Orders,2021/09/30,1.00
Grand & Toy,Bulk Paper Purchases,2021/09/30,54.80
HARVARD BROADCASTING,Advertising,2021/09/30,123.20
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,24.88
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,17.03
ACCESS COMMUNICATIONS,Constituency Office Cable,2021/10/01,63.02
ACCESS COMMUNICATIONS,Constituency Office Internet,2021/10/01,148.35
Postcard Portables Regina,Advertising,2021/10/01,855.00
Project Pi Consulting Inc.,Web Site Hosting/Domain Name,2021/10/01,567.10
"Sign Guys Portables, The",Advertising,2021/10/01,3240.00
Classic Signs,Advertising,2021/10/02,2160.00
On Course Marketing,Advertising,2021/10/04,1500.00
Mailchimp,Professional Communication Services,2021/10/06,106.56
"Stripe Shop, The","Office Supplies, Stationery and Accessories",2021/10/06,132.50
Canada Post – Postes Canada,Courier Services,2021/10/07,60.16
Oriana Shiplack,Photography and Video Services,2021/10/11,444.00
North Regina Little League,Advertising,2021/10/18,500.00
Costco,Gifts given as a matter of protocol,2021/10/19,508.48
Nimbus Water,Spring Water,2021/10/21,6.45
Cleanfully Yours Inc.,Janitorial Services and Maintenance,2021/10/28,125.00
Crown Shred & Recycling Inc.,Shredding,2021/10/31,60.78
Grand & Toy,Cleaning Products,2021/10/31,27.47
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/10/31,33.10
HARVARD BROADCASTING,Advertising,2021/10/31,492.80
ACCESS COMMUNICATIONS,Constituency Office Internet,2021/11/01,148.35
ACCESS COMMUNICATIONS,Constituency Office Cable,2021/11/01,54.01
Artmar Enterprises Ltd.,Office Rental and Related Fees,2021/11/01,1300.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/01,233.73
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/11/01,2.80
Postcard Portables Regina,Advertising,2021/11/01,855.00
Project Pi,Web Site Hosting/Domain Name,2021/11/01,567.10
Amazon,Office Decor,2021/11/02,17.99
Amazon,Office Decor,2021/11/02,96.40
Costco,Office Decor,2021/11/02,41.97
Cathedral Area Community Associatio,Advertising,2021/11/03,150.00
Nimbus Water,Spring Water,2021/11/04,6.45
Mailchimp,Professional Communication Services,2021/11/06,94.75
National Gallery of Canada,Office Decor,2021/11/08,55.85
Unique Florists,Gifts given as a matter of protocol,2021/11/15,109.35
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/11/17,8.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/17,233.73
Nimbus Water,Spring Water,2021/11/18,16.45
Canadian Tire,Office Decor,2021/11/19,149.99
Real Canadian Superstore,"Office Supplies, Stationery and Accessories",2021/11/23,51.98
Wascana Flower Shop,Gifts given as a matter of protocol,2021/11/24,121.37
Cleanfully Yours Inc.,Janitorial Services and Maintenance,2021/11/26,125.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/11/30,565.05
HARVARD BROADCASTING,Advertising,2021/11/30,492.80
"Sign Guys Portables, The",Advertising,2021/11/30,2868.40
ACCESS COMMUNICATIONS,Constituency Office Internet,2021/12/01,148.35
ACCESS COMMUNICATIONS,Constituency Office Cable,2021/12/01,54.01
Artmar Enterprises Ltd.,Office Rental and Related Fees,2021/12/01,1300.00
Postcard Portables Regina,Advertising,2021/12/01,1332.00
Project Pi Consulting Inc.,Professional Communication Services,2021/12/01,567.10
Nimbus Water,Spring Water,2021/12/02,6.45
GALON INSURANCE BROKERS,Constituency Office Insurance,2021/12/03,1057.88
MailChimp,Professional Communication Services,2021/12/06,97.59
Dollarama,Office Decor,2021/12/09,3.98
Dollarama,Office Decor,2021/12/09,8.56
Walmart,Office Decor,2021/12/09,129.19
Facebook,Advertising,2021/12/10,49.29
Canada Post – Postes Canada,Postage and Parcel Post,2021/12/16,104.26
Canada Post – Postes Canada,Courier Services,2021/12/17,12.75
Canada Post – Postes Canada,Courier Services,2021/12/17,17.52
Canada Post – Postes Canada,Courier Services,2021/12/17,97.46
Artmar Enterprises Ltd.,Office Rental and Related Fees,2022/01/01,1300.00
