Supplier,Description,Date,Total
Postmedia Network Inc.,Advertising,2021/06/30,186.35
JoyTv,Advertising,2021/08/29,1395.00
Black Press,Advertising,2021/09/21,1806.79
Black Press Group Ltd.,Advertising,2021/09/21,330.25
NationBuilder,Web Site Hosting/Domain Name,2021/09/22,35.00
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2021/09/27,127.33
Inside/Out Building & Landscape Maintenance,Janitorial Services and Maintenance,2021/09/28,130.00
Inside/Out Building & Landscape Maintenance,Janitorial Services and Maintenance,2021/09/28,130.00
XEROX CANADA LTD,Photocopier Rental and Related Costs,2021/09/28,143.13
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/09/30,-53.44
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,11.73
ARPEL SECURITY & MONITORING LTD.,Protection and Alarm Monitoring (Member's Office Budget),2021/10/01,25.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/10/01,209.04
URBAN IMPACT RECYCLING LTD.,Shredding,2021/10/01,90.68
Canada Post – Postes Canada,Courier Services,2021/10/07,32.13
Fraser Valley Fire Protection Ltd.,"Repair of Heating, Air Conditioning and Refrigeration Equipment",2021/10/07,71.00
BC HYDRO,Public Utilities,2021/10/20,184.17
JOHNSTON MEIER INSURANCE AGENCIES GROUP,Constituency Office Insurance,2021/10/20,1269.00
NationBuilder,Web Site Hosting/Domain Name,2021/10/22,44.17
XEROX CANADA LTD,Photocopier Rental and Related Costs,2021/10/26,144.64
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2021/10/27,127.33
Inside/Out Building & Landscape Maintenance,Janitorial Services and Maintenance,2021/10/28,130.00
BLACKSTONE LEARNING SOLUTIONS GROUP,Professional Development and Training for Members' Employees,2021/10/29,4200.00
Black Press Group Ltd.,Advertising,2021/10/31,1151.00
Grand & Toy,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2021/10/31,34.55
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/10/31,80.72
Grand & Toy,Other Consumable Supplies From Stores,2021/10/31,28.77
"JoyTv ",Advertising,2021/10/31,490.00
ARPEL SECURITY & MONITORING LTD.,Protection and Alarm Monitoring (Member's Office Budget),2021/11/01,25.00
Crossroads Enterprises.ca,Office Rental and Related Fees,2021/11/01,3300.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/11/01,275.29
Canada Post – Postes Canada,Courier Services,2021/11/18,26.31
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2021/11/18,194.93
"NationBuilder ",Web Site Hosting/Domain Name,2021/11/22,43.42
XEROX CANADA LTD,Photocopier Rental and Related Costs,2021/11/26,148.15
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2021/11/27,127.33
Inside/Out Building & Landscape Maintenance,Janitorial Services and Maintenance,2021/11/28,130.00
JoyTV,Advertising,2021/11/28,140.00
Black Press Group Ltd.,Advertising,2021/11/30,1565.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/11/30,169.63
HYPERTEC SYSTEMS INC.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2021/11/30,27.75
ARPEL SECURITY & MONITORING LTD.,Protection and Alarm Monitoring (Member's Office Budget),2021/12/01,25.00
Crossroads Enterprises.ca,Office Rental and Related Fees,2021/12/01,3300.00
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2021/12/07,466.00
Inside/Out Building & Landscape Maintenance,Janitorial Services and Maintenance,2021/12/28,130.00
Crossroads Enterprises.ca,Office Rental and Related Fees,2022/01/01,3300.00
