Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0216146,2021/09/21,2021/09/23,,,,,,,217.4700,336.7700,293.0100,1.0000,0,0,847.25
T0216146,2021/09/21,2021/09/23,"Beauchamp, Jonathan",Employee,To travel to/from constituency and Ottawa,2021/09/21,Ottawa,Montréal,,,,,,,
T0216146,2021/09/21,2021/09/23,"Beauchamp, Jonathan",Employee,To travel to/from constituency and Ottawa,2021/09/23,Montréal,Ottawa,,,,,,,
T0216768,2021/09/27,2021/09/28,,,,,,,217.4700,0.0000,200.2700,1.0000,0,0,417.74
T0216768,2021/09/27,2021/09/28,"Cloutier, Samuel",Employee,To travel to/from constituency and Ottawa,2021/09/27,Montréal,Ottawa,,,,,,,
T0216768,2021/09/27,2021/09/28,"Cloutier, Samuel",Employee,To travel to/from constituency and Ottawa,2021/09/28,Ottawa,Montréal,,,,,,,
T0217191,2021/09/29,2021/09/30,,,,,,,217.4700,0.0000,195.3300,1.0000,0,0,412.80
T0217191,2021/09/29,2021/09/30,"Beauchamp, Jonathan",Employee,To travel to/from constituency and Ottawa,2021/09/29,Ottawa,Montréal,,,,,,,
T0217191,2021/09/29,2021/09/30,"Beauchamp, Jonathan",Employee,To travel to/from constituency and Ottawa,2021/09/30,Montréal,Ottawa,,,,,,,
T0217122,2021/10/04,2021/10/06,,,,,,,219.8500,0.0000,303.3500,1.0000,0,0,523.20
T0217122,2021/10/04,2021/10/06,"Beaulieu, Mario",Member,To travel to/from constituency and Ottawa,2021/10/04,Montréal,Ottawa,,,,,,,
T0217122,2021/10/04,2021/10/06,"Beaulieu, Mario",Member,To travel to/from constituency and Ottawa,2021/10/06,Ottawa,Montréal,,,,,,,
T0217192,2021/10/06,2021/10/29,,,,,,,219.8500,129.3100,197.2600,1.0000,0,0,546.42
T0217192,2021/10/06,2021/10/29,"Beauchamp, Jonathan",Employee,To travel to/from constituency and Ottawa,2021/10/06,Ottawa,Montréal,,,,,,,
T0217192,2021/10/06,2021/10/29,"Beauchamp, Jonathan",Employee,To travel to/from constituency and Ottawa,2021/10/07,Montréal,Ottawa,,,,,,,
T0217193,2021/10/20,2021/10/22,,,,,,,219.8500,138.9700,197.2600,1.0000,0,0,556.08
T0217193,2021/10/20,2021/10/22,"Beauchamp, Jonathan",Employee,To travel to/from constituency and Ottawa,2021/10/20,Ottawa,Montréal,,,,,,,
T0217193,2021/10/20,2021/10/22,"Beauchamp, Jonathan",Employee,To travel to/from constituency and Ottawa,2021/10/21,Montréal,Ottawa,,,,,,,
T0217194,2021/10/26,2021/10/28,,,,,,,219.8500,0.0000,303.3500,1.0000,0,0,523.20
T0217194,2021/10/26,2021/10/28,"Beaulieu, Mario",Member,To travel to/from constituency and Ottawa,2021/10/26,Montréal,Ottawa,,,,,,,
T0217194,2021/10/26,2021/10/28,"Beaulieu, Mario",Member,To travel to/from constituency and Ottawa,2021/10/28,Ottawa,Montréal,,,,,,,
200524022,2021/11/01,2021/11/30,,,,,,,0.0000,1600.0000,0.0000,0,0,0,1600.00
200524022,2021/11/01,2021/11/30,"Beaulieu, Mario",Member,Secondary Residence,2021/11/01,GATINEAU,GATINEAU,,,,,,,
T0217970,2021/11/03,2021/11/04,,,,,,,219.8500,111.0000,197.2600,1.0000,0,0,528.11
T0217970,2021/11/03,2021/11/04,"Beauchamp, Jonathan",Employee,To travel to/from constituency and Ottawa,2021/11/03,Ottawa,Montréal,,,,,,,
T0217970,2021/11/03,2021/11/04,"Beauchamp, Jonathan",Employee,To travel to/from constituency and Ottawa,2021/11/04,Montréal,Ottawa,,,,,,,
T0217976,2021/11/07,2021/11/07,,,,,,,110.9600,0.0000,98.6200,0,1.0000,0,209.58
T0217976,2021/11/07,2021/11/07,"Beaulieu, Mario",Member,To attend a national caucus meeting,2021/11/07,Montréal,Sainte-Adèle,,,,,,,
T0217976,2021/11/07,2021/11/07,"Beaulieu, Mario",Member,To attend a national caucus meeting,2021/11/07,Sainte-Adèle,Montréal,,,,,,,
T0218805,2021/11/08,2021/11/11,,,,,,,219.8500,0.0000,404.4600,1.0000,0,0,624.31
T0218805,2021/11/08,2021/11/11,"Beaulieu, Mario",Member,To travel to/from constituency and Ottawa,2021/11/08,Montréal,Ottawa,,,,,,,
T0218805,2021/11/08,2021/11/11,"Beaulieu, Mario",Member,To travel to/from constituency and Ottawa,2021/11/11,Ottawa,Montréal,,,,,,,
T0218802,2021/11/13,2021/11/14,,,,,,,219.8500,194.8500,197.2600,1.0000,0,0,611.96
T0218802,2021/11/13,2021/11/14,"Beauchamp, Jonathan",Employee,To travel to/from constituency and Ottawa,2021/11/13,Ottawa,Montréal,,,,,,,
T0218802,2021/11/13,2021/11/14,"Beauchamp, Jonathan",Employee,To travel to/from constituency and Ottawa,2021/11/14,Montréal,Ottawa,,,,,,,
T0218803,2021/11/17,2021/11/18,,,,,,,219.8500,0.0000,197.2600,1.0000,0,0,417.11
T0218803,2021/11/17,2021/11/18,"Beauchamp, Jonathan",Employee,To travel to/from constituency and Ottawa,2021/11/17,Ottawa,Montréal,,,,,,,
T0218803,2021/11/17,2021/11/18,"Beauchamp, Jonathan",Employee,To travel to/from constituency and Ottawa,2021/11/18,Montréal,Ottawa,,,,,,,
T0219342,2021/11/22,2021/11/26,,,,,,,219.8500,0.0000,505.5800,1.0000,0,0,725.43
T0219342,2021/11/22,2021/11/26,"Beaulieu, Mario",Member,To travel to/from constituency and Ottawa,2021/11/22,Montréal,Ottawa,,,,,,,
T0219342,2021/11/22,2021/11/26,"Beaulieu, Mario",Member,To travel to/from constituency and Ottawa,2021/11/26,Ottawa,Montréal,,,,,,,
200530263,2021/12/01,2021/12/31,,,,,,,0.0000,1600.0000,0.0000,0,0,0,1600.00
200530263,2021/12/01,2021/12/31,"Beaulieu, Mario",Member,Secondary Residence,2021/12/01,GATINEAU,GATINEAU,,,,,,,
200538453,2022/01/01,2022/01/31,,,,,,,0.0000,1600.0000,0.0000,0,0,0,1600.00
200538453,2022/01/01,2022/01/31,"Beaulieu, Mario",Member,Secondary Residence,2022/01/01,GATINEAU,GATINEAU,,,,,,,
