Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0217920,2021/09/08,2021/11/04,,,,,,,0.0000,33.1800,0.0000,0,0,0,33.18
T0217920,2021/09/08,2021/11/04,"Blanchette-Joncas, Maxime",Member,Secondary Residence,2021/09/08,Gatineau,Gatineau,,,,,,,
T0216012,2021/09/26,2021/09/29,,,,,,,574.6000,430.4900,274.6300,0,1.0000,0,1279.72
T0216012,2021/09/26,2021/09/29,"Blanchette-Joncas, Maxime",Member,To attend a national caucus meeting,2021/09/26,Rimouski,Saint-Sauveur,,,,,,,
T0216012,2021/09/26,2021/09/29,"Blanchette-Joncas, Maxime",Member,To attend a national caucus meeting,2021/09/29,Saint-Sauveur,Rimouski,,,,,,,
T0217614,2021/09/28,2021/10/04,,,,,,,710.4400,0.0000,502.6300,1.0000,0,0,1213.07
T0217614,2021/09/28,2021/10/04,"Blanchette-Joncas, Maxime",Member,To travel to/from constituency and Ottawa,2021/09/28,Rimouski,Ottawa,,,,,,,
T0217614,2021/09/28,2021/10/04,"Blanchette-Joncas, Maxime",Member,To travel to/from constituency and Ottawa,2021/10/04,Ottawa,Rimouski,,,,,,,
T0216088,2021/10/01,2021/10/01,,,,,,,34.3600,0.0000,0.0000,0,0.0000,0,34.36
T0216088,2021/10/01,2021/10/01,"Blanchette-Joncas, Maxime",Member,To attend meetings about constituency issues,2021/10/01,Rimouski,Mont-Joli,,,,,,,
T0216088,2021/10/01,2021/10/01,"Blanchette-Joncas, Maxime",Member,To attend meetings about constituency issues,2021/10/01,Mont-Joli,Rimouski,,,,,,,
T0216101,2021/10/02,2021/10/02,,,,,,,108.8200,0.0000,52.2500,0.0000,0,0,161.07
T0216101,2021/10/02,2021/10/02,"Blanchette-Joncas, Maxime",Member,To attend meetings about constituency issues,2021/10/02,Rimouski,Témiscouata-sur-le-Lac,,,,,,,
T0216101,2021/10/02,2021/10/02,"Blanchette-Joncas, Maxime",Member,To attend meetings about constituency issues,2021/10/02,Témiscouata-sur-le-Lac,Rimouski,,,,,,,
T0216102,2021/10/03,2021/10/03,,,,,,,52.5000,0.0000,0.0000,0.0000,0,0,52.50
T0216102,2021/10/03,2021/10/03,"Blanchette-Joncas, Maxime",Member,To attend meetings about constituency issues,2021/10/03,Rimouski,Esprit-Saint,,,,,,,
T0216103,2021/10/03,2021/10/03,,,,,,,56.3200,0.0000,0.0000,0.0000,0,0,56.32
T0216103,2021/10/03,2021/10/03,"Bérubé-Gagnon, Axel",Employee,To attend meetings about constituency issues,2021/10/03,Témiscouata-sur-le-Lac,Esprit-Saint,,,,,,,
T0216102,2021/10/03,2021/10/03,"Blanchette-Joncas, Maxime",Member,To attend meetings about constituency issues,2021/10/03,Esprit-Saint,Rimouski,,,,,,,
T0216103,2021/10/03,2021/10/03,"Bérubé-Gagnon, Axel",Employee,To attend meetings about constituency issues,2021/10/03,Esprit-Saint,Témiscouata-sur-le-Lac,,,,,,,
T0216354,2021/10/04,2021/10/10,,,,,,,714.2500,0.0000,486.5200,1.0000,0,0,1200.77
T0216354,2021/10/04,2021/10/10,"Blanchette-Joncas, Maxime",Member,To travel to/from constituency and Ottawa,2021/10/04,Rimouski,Ottawa,,,,,,,
T0216354,2021/10/04,2021/10/10,"Blanchette-Joncas, Maxime",Member,To travel to/from constituency and Ottawa,2021/10/10,Ottawa,Rimouski,,,,,,,
T0216357,2021/10/06,2021/10/07,,,,,,,110.0000,0.0000,148.5300,0.0000,0,0,258.53
T0216357,2021/10/06,2021/10/07,"Blanchette-Joncas, Maxime",Member,To attend training,2021/10/06,Témiscouata-sur-le-Lac,Rimouski,,,,,,,
T0216456,2021/10/06,2021/10/07,,,,,,,0.0000,110.9000,0.0000,0.0000,0,0,110.90
T0216456,2021/10/06,2021/10/07,"Bérubé-Gagnon, Axel",Employee,To attend training,2021/10/06,Témiscouata-sur-le-Lac,Rimouski,,,,,,,
T0216357,2021/10/06,2021/10/07,"Blanchette-Joncas, Maxime",Member,To attend training,2021/10/07,Rimouski,Témiscouata-sur-le-Lac,,,,,,,
T0216456,2021/10/06,2021/10/07,"Bérubé-Gagnon, Axel",Employee,To attend training,2021/10/06,Rimouski,Témiscouata-sur-le-Lac,,,,,,,
T0216393,2021/10/09,2021/11/08,,,,,,,0.0000,45.5700,0.0000,0,0,0,45.57
T0216393,2021/10/09,2021/11/08,"Blanchette-Joncas, Maxime",Member,Secondary Residence,2021/10/09,Gatineau,Gatineau,,,,,,,
T0216595,2021/10/17,2021/10/17,,,,,,,78.1500,0.0000,52.6800,0.0000,0,0,130.83
T0216595,2021/10/17,2021/10/17,"Blanchette-Joncas, Maxime",Member,To attend meetings about constituency issues,2021/10/17,Rimouski,Saint-Mathieu-de-Rioux,,,,,,,
T0216597,2021/10/17,2021/10/17,,,,,,,75.7500,0.0000,0.0000,0.0000,0,0,75.75
T0216597,2021/10/17,2021/10/17,"Bérubé-Gagnon, Axel",Employee,To attend meetings about constituency issues,2021/10/17,Témiscouata-sur-le-Lac,Saint-Mathieu-de-Rioux,,,,,,,
T0216597,2021/10/17,2021/10/17,"Bérubé-Gagnon, Axel",Employee,To attend meetings about constituency issues,2021/10/17,Saint-Mathieu-de-Rioux,Saint-Jean-de-Dieu,,,,,,,
T0216595,2021/10/17,2021/10/17,"Blanchette-Joncas, Maxime",Member,To attend meetings about constituency issues,2021/10/17,Saint-Mathieu-de-Rioux,Saint-Jean-de-Dieu,,,,,,,
T0216595,2021/10/17,2021/10/17,"Blanchette-Joncas, Maxime",Member,To attend meetings about constituency issues,2021/10/17,Saint-Jean-de-Dieu,Rimouski,,,,,,,
T0216597,2021/10/17,2021/10/17,"Bérubé-Gagnon, Axel",Employee,To attend meetings about constituency issues,2021/10/17,Saint-Jean-de-Dieu,Témiscouata-sur-le-Lac,,,,,,,
T0217938,2021/10/24,2021/10/29,,,,,,,305.9000,0.0000,398.9900,0.0000,0,0,704.89
T0217938,2021/10/24,2021/10/29,"Tremblay, Loïc",Employee,To attend meetings about constituency issues,2021/10/24,Québec,Rimouski,,,,,,,
T0217948,2021/10/24,2021/10/29,,,,,,,0.0000,665.3800,0.0000,0.0000,0,0,665.38
T0217948,2021/10/24,2021/10/29,"Tremblay, Loïc",Employee,To attend meetings about constituency issues,2021/10/24,Québec,Rimouski,,,,,,,
T0217948,2021/10/24,2021/10/29,"Tremblay, Loïc",Employee,To attend meetings about constituency issues,2021/10/24,Rimouski,Québec,,,,,,,
T0217938,2021/10/24,2021/10/29,"Tremblay, Loïc",Employee,To attend meetings about constituency issues,2021/10/24,Rimouski,Québec,,,,,,,
T0217946,2021/10/25,2021/10/26,,,,,,,110.0000,0.0000,83.5600,0.0000,0,0,193.56
T0217946,2021/10/25,2021/10/26,"Blanchette-Joncas, Maxime",Member,To attend meetings about constituency issues,2021/10/25,Témiscouata-sur-le-Lac,Rimouski,,,,,,,
T0217947,2021/10/25,2021/10/26,,,,,,,0.0000,110.9000,0.0000,0.0000,0,0,110.90
T0217947,2021/10/25,2021/10/26,"Bérubé-Gagnon, Axel",Employee,To attend meetings about constituency issues,2021/10/25,Témiscouata-sur-le-Lac,Rimouski,,,,,,,
T0217947,2021/10/25,2021/10/26,"Bérubé-Gagnon, Axel",Employee,To attend meetings about constituency issues,2021/10/25,Rimouski,Témiscouata-sur-le-Lac,,,,,,,
T0217946,2021/10/25,2021/10/26,"Blanchette-Joncas, Maxime",Member,To attend meetings about constituency issues,2021/10/25,Rimouski,Témiscouata-sur-le-Lac,,,,,,,
T0218553,2021/10/27,2021/10/27,,,,,,,110.0000,0.0000,0.0000,0.0000,0,0,110.00
T0218553,2021/10/27,2021/10/27,"Marier, David-Alexandre",Employee,To attend meetings about constituency issues,2021/10/27,Rimouski,Témiscouata-sur-le-Lac,,,,,,,
T0218553,2021/10/27,2021/10/27,"Marier, David-Alexandre",Employee,To attend meetings about constituency issues,2021/10/27,Témiscouata-sur-le-Lac,Rimouski,,,,,,,
200524027,2021/11/01,2021/11/30,,,,,,,0.0000,1600.0000,0.0000,0,0,0,1600.00
200524027,2021/11/01,2021/11/30,"Blanchette-Joncas, Maxime",Member,Secondary Residence,2021/11/01,GATINEAU,GATINEAU,,,,,,,
T0217616,2021/11/02,2021/11/02,,,,,,,115.7800,0.0000,33.8700,0,0.0000,0,149.65
T0217616,2021/11/02,2021/11/02,"Blanchette-Joncas, Maxime",Member,To attend an event as a matter of protocol,2021/11/02,Rimouski,Saint-Antonin,,,,,,,
T0217618,2021/11/02,2021/11/02,,,,,,,53.0800,0.0000,0.0000,0,0,0,53.08
T0217618,2021/11/02,2021/11/02,"Bérubé-Gagnon, Axel",Employee,To attend an event as a matter of protocol,2021/11/02,Témiscouata-sur-le-Lac,Saint-Antonin,,,,,,,
T0217616,2021/11/02,2021/11/02,"Blanchette-Joncas, Maxime",Member,To attend an event as a matter of protocol,2021/11/02,Saint-Antonin,Rimouski,,,,,,,
T0217618,2021/11/02,2021/11/02,"Bérubé-Gagnon, Axel",Employee,To attend an event as a matter of protocol,2021/11/02,Saint-Antonin,Témiscouata-sur-le-Lac,,,,,,,
T0218476,2021/11/06,2021/11/15,,,,,,,761.4400,260.3200,835.3400,1.0000,1.0000,0,1857.10
T0218476,2021/11/06,2021/11/15,"Blanchette-Joncas, Maxime",Member,To attend a national caucus meeting,2021/11/06,Rimouski,Sainte-Adèle,,,,,,,
T0218476,2021/11/06,2021/11/15,"Blanchette-Joncas, Maxime",Member,To attend meetings about constituency issues,2021/11/14,Ottawa,Québec,,,,,,,
T0218476,2021/11/06,2021/11/15,"Blanchette-Joncas, Maxime",Member,To attend a national caucus meeting,2021/11/06,Sainte-Adèle,Ottawa,,,,,,,
T0218476,2021/11/06,2021/11/15,"Blanchette-Joncas, Maxime",Member,To attend meetings about constituency issues,2021/11/15,Québec,Rimouski,,,,,,,
T0218476,2021/11/06,2021/11/15,"Tremblay, Loïc",Employee,To attend meetings about constituency issues,2021/11/15,Québec,Québec,,,,,,,
T0219138,2021/11/08,2021/11/10,,,,,,,59.8400,0.0000,237.9500,0,0,0,297.79
T0219138,2021/11/08,2021/11/10,"Bérubé-Gagnon, Axel",Employee,Attending event with Member,2021/11/09,Témiscouata-sur-le-Lac,Ottawa,,,,,,,
T0219136,2021/11/08,2021/11/10,,,,,,,0.0000,311.8800,0.0000,0.0000,0,0,311.88
T0219136,2021/11/08,2021/11/10,"Marier, David-Alexandre",Employee,To travel to/from constituency and Ottawa,2021/11/08,Rimouski,Ottawa,,,,,,,
T0219101,2021/11/08,2021/11/10,,,,,,,767.0200,0.0000,237.9500,1.0000,0,0,1004.97
T0219101,2021/11/08,2021/11/10,"Marier, David-Alexandre",Employee,To travel to/from constituency and Ottawa,2021/11/08,Rimouski,Ottawa,,,,,,,
T0219139,2021/11/08,2021/11/10,,,,,,,0.0000,279.8300,0.0000,0.0000,0,0,279.83
T0219139,2021/11/08,2021/11/10,"Bérubé-Gagnon, Axel",Employee,Attending event with Member,2021/11/09,Témiscouata-sur-le-Lac,Ottawa,,,,,,,
T0219136,2021/11/08,2021/11/10,"Marier, David-Alexandre",Employee,To travel to/from constituency and Ottawa,2021/11/10,Ottawa,Rimouski,,,,,,,
T0219139,2021/11/08,2021/11/10,"Bérubé-Gagnon, Axel",Employee,Attending event with Member,2021/11/10,Ottawa,Témiscouata-sur-le-Lac,,,,,,,
T0219138,2021/11/08,2021/11/10,"Bérubé-Gagnon, Axel",Employee,Attending event with Member,2021/11/10,Ottawa,Témiscouata-sur-le-Lac,,,,,,,
T0219101,2021/11/08,2021/11/10,"Marier, David-Alexandre",Employee,To travel to/from constituency and Ottawa,2021/11/10,Ottawa,Rimouski,,,,,,,
T0219141,2021/11/08,2021/11/12,,,,,,,108.9600,178.5700,390.0000,0.5000,0,0,677.53
T0219141,2021/11/08,2021/11/12,"Tremblay, Loïc",Employee,To travel to/from constituency and Ottawa,2021/11/08,Québec,Ottawa,,,,,,,
T0219141,2021/11/08,2021/11/12,"Tremblay, Loïc",Employee,To travel to/from constituency and Ottawa,2021/11/12,Ottawa,Québec,,,,,,,
T0218539,2021/11/09,2021/12/08,,,,,,,0.0000,45.5700,0.0000,0,0,0,45.57
T0218539,2021/11/09,2021/12/08,"Blanchette-Joncas, Maxime",Member,Secondary Residence,2021/11/09,Gatineau,Gatineau,,,,,,,
T0216511,2021/11/20,2021/12/01,,,,,,,0.0000,275.7700,0.0000,0,0,0,275.77
T0216511,2021/11/20,2021/12/01,"Blanchette-Joncas, Maxime",Member,Secondary Residence,2021/11/20,Gatineau,Gatineau,,,,,,,
T0220152,2021/11/21,2021/12/03,,,,,,,840.2200,0.0000,1112.2800,1.0000,0,0,1952.50
T0220152,2021/11/21,2021/12/03,"Blanchette-Joncas, Maxime",Member,To travel to/from constituency and Ottawa,2021/11/21,Rimouski,Ottawa,,,,,,,
T0220152,2021/11/21,2021/12/03,"Blanchette-Joncas, Maxime",Member,To travel to/from constituency and Ottawa,2021/12/03,Ottawa,Rimouski,,,,,,,
200530268,2021/12/01,2021/12/31,,,,,,,0.0000,1600.0000,0.0000,0,0,0,1600.00
200530268,2021/12/01,2021/12/31,"Blanchette-Joncas, Maxime",Member,Secondary Residence,2021/12/01,GATINEAU,GATINEAU,,,,,,,
T0220238,2021/12/05,2021/12/05,,,,,,,80.2400,0.0000,80.0400,0.0000,0,0,160.28
T0220238,2021/12/05,2021/12/05,"Blanchette-Joncas, Maxime",Member,To attend meetings about constituency issues,2021/12/05,Rimouski,Pohénégamook,,,,,,,
T0220238,2021/12/05,2021/12/05,"Blanchette-Joncas, Maxime",Member,To attend meetings about constituency issues,2021/12/05,Pohénégamook,Rimouski,,,,,,,
T0220255,2021/12/09,2022/01/08,,,,,,,0.0000,45.5700,0.0000,0,0,0,45.57
T0220255,2021/12/09,2022/01/08,"Blanchette-Joncas, Maxime",Member,Secondary Residence,2021/12/09,Gatineau,Gatineau,,,,,,,
200538458,2022/01/01,2022/01/31,,,,,,,0.0000,1600.0000,0.0000,0,0,0,1600.00
200538458,2022/01/01,2022/01/31,"Blanchette-Joncas, Maxime",Member,Secondary Residence,2022/01/01,GATINEAU,GATINEAU,,,,,,,
