Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0218063,2021/08/18,2021/08/25,,,,,,,250.2000,0.0000,0.0000,1.0000,0,0,250.20
T0218063,2021/08/18,2021/08/25,"McBride, Thomas",Employee,To travel to/from constituency and Ottawa,2021/08/18,Ottawa,Oshawa,,,,,,,
T0218063,2021/08/18,2021/08/25,"McBride, Thomas",Employee,To travel to/from constituency and Ottawa,2021/08/25,Oshawa,Ottawa,,,,,,,
T0216269,2021/09/01,2021/09/20,,,,,,,0.0000,1000.0000,0.0000,0,0,0,1000.00
T0216269,2021/09/01,2021/09/20,"Carrie, Colin",Member,Secondary Residence,2021/09/01,Oshawa,Oshawa,,,,,,,
T0216270,2021/09/21,2021/09/30,,,,,,,0.0000,500.0000,0.0000,0,0,0,500.00
T0216270,2021/09/21,2021/09/30,"Carrie, Colin",Member,Secondary Residence,2021/09/21,Oshawa,Oshawa,,,,,,,
T0217357,2021/10/01,2021/10/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0217357,2021/10/01,2021/10/31,"Carrie, Colin",Member,Secondary Residence,2021/10/01,Oshawa,Oshawa,,,,,,,
T0219540,2021/11/01,2021/11/30,,,,,,,0.0000,1500.0000,0.0000,0,0,0,1500.00
T0219540,2021/11/01,2021/11/30,"Carrie, Colin",Member,Secondary Residence,2021/11/01,Oshawa,Oshawa,,,,,,,
