Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0216923,2021/09/01,2021/09/30,,,,,,,0.0000,600.0000,0.0000,0,0,0,600.00
T0216923,2021/09/01,2021/09/30,"Gill, Marilène",Member,Secondary Residence,2021/09/01,Gatineau,Gatineau,,,,,,,
T0215968,2021/09/26,2021/09/28,,,,,,,687.2200,449.0800,293.0100,0,1.0000,0,1429.31
T0215968,2021/09/26,2021/09/28,"Gill, Marilène",Member,To attend a national caucus meeting,2021/09/26,Baie-Comeau,Saint-Sauveur,,,,,,,
T0215968,2021/09/26,2021/09/28,"Gill, Marilène",Member,To attend a national caucus meeting,2021/09/28,Saint-Sauveur,Baie-Comeau,,,,,,,
T0216245,2021/09/29,2021/09/30,,,,,,,1205.3000,0.0000,200.2700,1.0000,0,0,1405.57
T0216245,2021/09/29,2021/09/30,"Dufour-Tremblay, Jeff",Employee,To travel to/from constituency and Ottawa,2021/09/29,Baie-Comeau,Ottawa,,,,,,,
T0216019,2021/09/29,2021/09/30,,,,,,,1433.4100,0.0000,200.2700,1.0000,0,0,1633.68
T0216019,2021/09/29,2021/09/30,"Gill, Marilène",Member,To travel to/from constituency and Ottawa,2021/09/29,Baie-Comeau,Ottawa,,,,,,,
T0216245,2021/09/29,2021/09/30,"Dufour-Tremblay, Jeff",Employee,To travel to/from constituency and Ottawa,2021/09/30,Ottawa,Baie-Comeau,,,,,,,
T0216019,2021/09/29,2021/09/30,"Gill, Marilène",Member,To travel to/from constituency and Ottawa,2021/09/30,Ottawa,Pointe-Lebel,,,,,,,
T0216295,2021/10/01,2021/10/08,,,,,,,1060.1600,304.8100,677.9000,1.0000,0,0,2042.87
T0216295,2021/10/01,2021/10/08,"Blanchette, John-James",Employee,To travel to/from constituency and Ottawa,2021/10/01,Sept-îles,Ottawa,,,,,,,
T0216298,2021/10/01,2021/10/08,,,,,,,0.0000,0.0000,727.8600,0.0000,0,0,727.86
T0216298,2021/10/01,2021/10/08,"Dufour-Tremblay, Jeff",Employee,To travel to/from constituency and Ottawa,2021/10/01,Baie-Comeau,Ottawa,,,,,,,
T0216298,2021/10/01,2021/10/08,"Dufour-Tremblay, Jeff",Employee,To travel to/from constituency and Ottawa,2021/10/08,Ottawa,Baie-Comeau,,,,,,,
T0216295,2021/10/01,2021/10/08,"Blanchette, John-James",Employee,To travel to/from constituency and Ottawa,2021/10/08,Ottawa,Sept-îles,,,,,,,
200523150,2021/10/01,2021/10/31,,,,,,,0.0000,1950.0000,0.0000,0,0,0,1950.00
200523150,2021/10/01,2021/10/31,"Gill, Marilène",Member,Secondary Residence,2021/10/01,GATINEAU,GATINEAU,,,,,,,
T0216293,2021/10/03,2021/10/08,,,,,,,644.8900,556.5600,475.6700,1.0000,0,0,1677.12
T0216293,2021/10/03,2021/10/08,"Côté, Marjorie",Employee,To travel to/from constituency and Ottawa,2021/10/03,Tadoussac,Ottawa,,,,,,,
T0216293,2021/10/03,2021/10/08,"Côté, Marjorie",Employee,To travel to/from constituency and Ottawa,2021/10/08,Ottawa,Tadoussac,,,,,,,
T0216297,2021/10/03,2021/10/09,,,,,,,833.4700,0.0000,587.1400,1.0000,0,0,1420.61
T0216297,2021/10/03,2021/10/09,"Gill, Marilène",Member,To travel to/from constituency and Ottawa,2021/10/03,Pointe-Lebel,Ottawa,,,,,,,
T0216297,2021/10/03,2021/10/09,"Gill, Marilène",Member,To travel to/from constituency and Ottawa,2021/10/09,Ottawa,Pointe-Lebel,,,,,,,
T0216470,2021/10/13,2021/10/14,,,,,,,219.0400,147.1600,197.2600,0,0.0000,0,563.46
T0216470,2021/10/13,2021/10/14,"Gill, Marilène",Member,To attend meetings about constituency issues,2021/10/13,Pointe-Lebel,Sept-Îles,,,,,,,
T0216472,2021/10/13,2021/10/14,,,,,,,0.0000,147.1600,197.2600,0.0000,0,0,344.42
T0216472,2021/10/13,2021/10/14,"Dufour-Tremblay, Jeff",Employee,To travel to/from constituency and Ottawa,2021/10/13,Baie-Comeau,Sept-îles,,,,,,,
T0216470,2021/10/13,2021/10/14,"Gill, Marilène",Member,To attend meetings about constituency issues,2021/10/13,Sept-Îles,Pointe-Lebel,,,,,,,
T0216472,2021/10/13,2021/10/14,"Dufour-Tremblay, Jeff",Employee,To travel to/from constituency and Ottawa,2021/10/14,Sept-îles,Baie-Comeau,,,,,,,
T0216621,2021/10/17,2021/10/20,,,,,,,833.4700,0.0000,373.5700,1.0000,0,0,1207.04
T0216621,2021/10/17,2021/10/20,"Gill, Marilène",Member,To travel to/from constituency and Ottawa,2021/10/17,Pointe-Lebel,Ottawa,,,,,,,
T0216621,2021/10/17,2021/10/20,"Gill, Marilène",Member,To travel to/from constituency and Ottawa,2021/10/20,Ottawa,Pointe-Lebel,,,,,,,
T0216920,2021/10/21,2021/10/21,,,,,,,244.1200,0.0000,83.5600,0,0.0000,0,327.68
T0216920,2021/10/21,2021/10/21,"Gill, Marilène",Member,To attend meetings about constituency issues,2021/10/21,Pointe-Lebel,Sept-Îles,,,,,,,
T0216920,2021/10/21,2021/10/21,"Gill, Marilène",Member,To attend meetings about constituency issues,2021/10/21,Sept-Îles,Pointe-Lebel,,,,,,,
T0217442,2021/10/24,2021/10/31,,,,,,,838.3600,0.0000,747.1400,1.0000,0,0,1585.50
T0217442,2021/10/24,2021/10/31,"Dufour-Tremblay, Jeff",Employee,To travel to/from constituency and Ottawa,2021/10/24,Baie-Comeau,Ottawa,,,,,,,
T0217442,2021/10/24,2021/10/31,"Dufour-Tremblay, Jeff",Employee,To travel to/from constituency and Ottawa,2021/10/31,Ottawa,Baie-Comeau,,,,,,,
T0217262,2021/10/25,2021/10/26,,,,,,,644.8900,43.5500,85.6700,1.0000,0,0,774.11
T0217262,2021/10/25,2021/10/26,"Côté, Marjorie",Employee,To travel to/from constituency and Ottawa,2021/10/25,Tadoussac,Ottawa,,,,,,,
T0217262,2021/10/25,2021/10/26,"Côté, Marjorie",Employee,To travel to/from constituency and Ottawa,2021/10/26,Ottawa,Tadoussac,,,,,,,
T0217261,2021/10/25,2021/10/28,,,,,,,1205.3000,481.9000,295.3600,1.0000,0,0,1982.56
T0217261,2021/10/25,2021/10/28,"Pronovost, Rita",Employee,To travel to/from constituency and Ottawa,2021/10/25,Sept-îles,Ottawa,,,,,,,
T0217260,2021/10/25,2021/10/28,,,,,,,1205.3000,130.6300,295.3600,1.0000,0,0,1631.29
T0217260,2021/10/25,2021/10/28,"Blanchette, John-James",Employee,To travel to/from constituency and Ottawa,2021/10/25,Sept-îles,Ottawa,,,,,,,
T0217260,2021/10/25,2021/10/28,"Blanchette, John-James",Employee,To travel to/from constituency and Ottawa,2021/10/28,Ottawa,Sept-îles,,,,,,,
T0217261,2021/10/25,2021/10/28,"Pronovost, Rita",Employee,To travel to/from constituency and Ottawa,2021/10/28,Ottawa,Sept-îles,,,,,,,
T0217264,2021/10/25,2021/11/01,,,,,,,833.4700,0.0000,685.3600,1.0000,0,0,1518.83
T0217264,2021/10/25,2021/11/01,"Gill, Marilène",Member,To travel to/from constituency and Ottawa,2021/10/25,Pointe-Lebel,Ottawa,,,,,,,
T0217264,2021/10/25,2021/11/01,"Gill, Marilène",Member,To travel to/from constituency and Ottawa,2021/11/01,Ottawa,Pointe-Lebel,,,,,,,
200524063,2021/11/01,2021/11/30,,,,,,,0.0000,1950.0000,0.0000,0,0,0,1950.00
200524063,2021/11/01,2021/11/30,"Gill, Marilène",Member,Secondary Residence,2021/11/01,GATINEAU,GATINEAU,,,,,,,
T0218233,2021/11/06,2021/11/11,,,,,,,866.2900,210.9000,554.5000,0.5000,1.0000,0,1631.69
T0218233,2021/11/06,2021/11/11,"Gill, Marilène",Member,To travel to/from constituency and Ottawa,2021/11/08,Sainte-Adèle,Ottawa,,,,,,,
T0218233,2021/11/06,2021/11/11,"Gill, Marilène",Member,To travel to/from constituency and Ottawa,2021/11/11,Ottawa,Pointe-Lebel,,,,,,,
T0218233,2021/11/06,2021/11/11,"Gill, Marilène",Member,To attend a national caucus meeting,2021/11/06,Pointe-Lebel,Sainte-Adèle,,,,,,,
T0218235,2021/11/07,2021/11/10,,,,,,,838.3600,0.0000,404.4600,1.0000,0,0,1242.82
T0218235,2021/11/07,2021/11/10,"Dufour-Tremblay, Jeff",Employee,To travel to/from constituency and Ottawa,2021/11/07,Baie-Comeau,Ottawa,,,,,,,
T0218235,2021/11/07,2021/11/10,"Dufour-Tremblay, Jeff",Employee,To travel to/from constituency and Ottawa,2021/11/10,Ottawa,Baie-Comeau,,,,,,,
T0219388,2021/11/14,2021/11/26,,,,,,,830.3500,411.5800,1199.6700,0.5000,1.0000,0,2441.60
T0219388,2021/11/14,2021/11/26,"Dufour-Tremblay, Jeff",Employee,To travel to/from constituency and Ottawa,2021/11/14,Baie-Comeau,Ottawa,,,,,,,
T0219388,2021/11/14,2021/11/26,"Dufour-Tremblay, Jeff",Employee,Attending event with Member,2021/11/24,Ottawa,Montréal,,,,,,,
T0219388,2021/11/14,2021/11/26,"Dufour-Tremblay, Jeff",Employee,Attending event with Member,2021/11/26,Montréal,Baie-Comeau,,,,,,,
