Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0219573,2021/10/04,2021/10/08,,,,,,,1572.9800,709.3200,505.5800,1.0000,0,0,2787.88
T0219573,2021/10/04,2021/10/08,"Goodridge, Laila",Member,To travel to/from constituency and Ottawa,2021/10/04,Fort McMurray,Ottawa,,,,,,,
T0219582,2021/10/04,2021/10/08,,,,,,,1454.2500,0.0000,0.0000,1.0000,0,0,1454.25
T0219582,2021/10/04,2021/10/08,,Designated Traveller,To unite the family with the Member,2021/10/04,Fort McMurray,Ottawa,,,,,,,
T0219573,2021/10/04,2021/10/08,"Goodridge, Laila",Member,To travel to/from constituency and Ottawa,2021/10/08,Ottawa,Fort McMurray,,,,,,,
T0219582,2021/10/04,2021/10/08,,Designated Traveller,To unite the family with the Member,2021/10/08,Ottawa,Fort McMurray,,,,,,,
T0219287,2021/10/22,2021/10/22,,,,,,,522.0400,0.0000,20.7700,0.0000,0,0,542.81
T0219287,2021/10/22,2021/10/22,"Moses, Deborah",Employee,To conduct constituency office business,2021/10/22,Fort McMurray,Cold Lake,,,,,,,
T0219287,2021/10/22,2021/10/22,"Moses, Deborah",Employee,To conduct constituency office business,2021/10/22,Cold Lake,Fort McMurray,,,,,,,
T0219586,2021/10/25,2021/10/28,,,,,,,1930.9800,0.0000,0.0000,1.0000,0,0,1930.98
T0219586,2021/10/25,2021/10/28,,Designated Traveller,To unite the family with the Member,2021/10/25,Fort McMurray,Ottawa,,,,,,,
T0219583,2021/10/25,2021/10/28,,,,,,,2076.5500,626.4100,404.4600,1.0000,0,0,3107.42
T0219583,2021/10/25,2021/10/28,"Goodridge, Laila",Member,To travel to/from constituency and Ottawa,2021/10/25,Fort McMurray,Ottawa,,,,,,,
T0219586,2021/10/25,2021/10/28,,Designated Traveller,To unite the family with the Member,2021/10/28,Ottawa,Fort McMurray,,,,,,,
T0219583,2021/10/25,2021/10/28,"Goodridge, Laila",Member,To travel to/from constituency and Ottawa,2021/10/28,Ottawa,Fort McMurray,,,,,,,
