Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0217806,2021/08/20,2021/08/23,,,,,,,666.0400,0.0000,0.0000,1.0000,0,0,666.04
T0217806,2021/08/20,2021/08/23,,Designated Traveller,To unite the family with the Member,2021/08/20,Ottawa,London,,,,,,,
T0217806,2021/08/20,2021/08/23,,Designated Traveller,To unite the family with the Member,2021/08/23,London,Ottawa,,,,,,,
T0217816,2021/09/19,2021/09/20,,,,,,,313.2100,0.0000,0.0000,0.5000,0,0,313.21
T0217816,2021/09/19,2021/09/20,,Designated Traveller,To unite the family with the Member,2021/09/19,Ottawa,London,,,,,,,
T0217816,2021/09/19,2021/09/20,,Designated Traveller,To unite the family with the Member,2021/09/19,Ottawa,London,,,,,,,
T0216111,2021/09/22,2021/10/05,,,,,,,566.7400,0.0000,1406.7900,1.0000,0,0,1973.53
T0216111,2021/09/22,2021/10/05,"Yardy, Stephen",Employee,To travel to/from constituency and Ottawa,2021/09/22,Ottawa,London,,,,,,,
T0216111,2021/09/22,2021/10/05,"Yardy, Stephen",Employee,To travel to/from constituency and Ottawa,2021/10/05,London,Ottawa,,,,,,,
T0217155,2021/10/26,2021/10/28,,,,,,,569.8200,0.0000,287.9000,1.0000,0,0,857.72
T0217155,2021/10/26,2021/10/28,"Mathyssen, Lindsay",Member,To travel to/from constituency and Ottawa,2021/10/26,London,Ottawa,,,,,,,
T0217155,2021/10/26,2021/10/28,"Mathyssen, Lindsay",Member,To travel to/from constituency and Ottawa,2021/10/28,Ottawa,London,,,,,,,
200524094,2021/11/01,2021/11/30,,,,,,,0.0000,1145.2500,0.0000,0,0,0,1145.25
200524094,2021/11/01,2021/11/30,"Mathyssen, Lindsay",Member,Secondary Residence,2021/11/01,OTTAWA,OTTAWA,,,,,,,
T0218720,2021/11/07,2021/11/10,,,,,,,1045.4600,0.0000,404.4600,1.0000,0,0,1449.92
T0218720,2021/11/07,2021/11/10,"Mathyssen, Lindsay",Member,To travel to/from constituency and Ottawa,2021/11/07,London,Ottawa,,,,,,,
T0218720,2021/11/07,2021/11/10,"Mathyssen, Lindsay",Member,To travel to/from constituency and Ottawa,2021/11/10,Ottawa,London,,,,,,,
T0218450,2021/11/10,2021/11/14,,,,,,,485.1000,0.0000,505.5800,1.0000,0,0,990.68
T0218450,2021/11/10,2021/11/14,"Yardy, Stephen",Employee,To travel to/from constituency and Ottawa,2021/11/10,Ottawa,London,,,,,,,
T0218450,2021/11/10,2021/11/14,"Yardy, Stephen",Employee,To travel to/from constituency and Ottawa,2021/11/14,London,Ottawa,,,,,,,
T0220090,2021/11/18,2021/11/20,,,,,,,671.5500,0.0000,303.3500,1.0000,0,0,974.90
T0220090,2021/11/18,2021/11/20,"Mathyssen, Lindsay",Member,To travel to/from constituency and Ottawa,2021/11/18,London,Ottawa,,,,,,,
T0220090,2021/11/18,2021/11/20,"Mathyssen, Lindsay",Member,To travel to/from constituency and Ottawa,2021/11/20,Ottawa,London,,,,,,,
T0220093,2021/11/22,2021/11/27,,,,,,,678.6900,0.0000,385.5200,1.0000,0,0,1064.21
T0220093,2021/11/22,2021/11/27,"Mathyssen, Lindsay",Member,To travel to/from constituency and Ottawa,2021/11/22,London,Ottawa,,,,,,,
T0220093,2021/11/22,2021/11/27,"Mathyssen, Lindsay",Member,To travel to/from constituency and Ottawa,2021/11/27,Ottawa,London,,,,,,,
T0220096,2021/11/29,2021/12/03,,,,,,,1088.8700,0.0000,505.5800,1.0000,0,0,1594.45
T0220096,2021/11/29,2021/12/03,"Mathyssen, Lindsay",Member,To travel to/from constituency and Ottawa,2021/11/29,London,Ottawa,,,,,,,
T0220096,2021/11/29,2021/12/03,"Mathyssen, Lindsay",Member,To travel to/from constituency and Ottawa,2021/12/03,Ottawa,London,,,,,,,
200530337,2021/12/01,2021/12/31,,,,,,,0.0000,1145.2500,0.0000,0,0,0,1145.25
200530337,2021/12/01,2021/12/31,"Mathyssen, Lindsay",Member,Secondary Residence,2021/12/01,OTTAWA,OTTAWA,,,,,,,
200538529,2022/01/01,2022/01/31,,,,,,,0.0000,1145.2500,0.0000,0,0,0,1145.25
200538529,2022/01/01,2022/01/31,"Mathyssen, Lindsay",Member,Secondary Residence,2022/01/01,OTTAWA,OTTAWA,,,,,,,
