Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0218189,2021/09/21,2021/10/31,,,,,,,6.7500,0.0000,0.0000,0.0000,0.0000,0,6.75
T0218189,2021/09/21,2021/10/31,"Lavoie, Raphael",Employee,To conduct constituency office business,2021/10/02,Gatineau,Gatineau,,,,,,,
T0218729,2021/09/21,2021/10/31,,,,,,,186.5700,0.0000,0.0000,0.0000,0,0,186.57
T0218729,2021/09/21,2021/10/31,"Normandin, Christine",Member,To attend a constituency or community event,2021/09/23,Saint-Jean-sur-Richelieu,Saint-Jean-sur-Richelieu,,,,,,,
T0218193,2021/09/21,2021/10/31,,,,,,,237.1400,0.0000,0.0000,0.0000,0,0,237.14
T0218193,2021/09/21,2021/10/31,"Turcotte, Dave",Employee,To conduct constituency office business,2021/09/22,Saint-Jean-sur-Richelieu,Saint-Jean-sur-Richelieu,,,,,,,
T0218729,2021/09/21,2021/10/31,"Normandin, Christine",Member,To attend a constituency or community event,2021/10/15,Saint-Jean-sur-Richelieu,Saint-Jean-sur-Richelieu,,,,,,,
T0218193,2021/09/21,2021/10/31,"Turcotte, Dave",Employee,To conduct constituency office business,2021/09/28,Saint-Jean-sur-Richelieu,Saint-Jean-sur-Richelieu,,,,,,,
T0218729,2021/09/21,2021/10/31,"Normandin, Christine",Member,To attend a constituency or community event,2021/10/16,Saint-Jean-sur-Richelieu,Saint-Jean-sur-Richelieu,,,,,,,
T0218193,2021/09/21,2021/10/31,"Turcotte, Dave",Employee,Attending event with Member,2021/10/01,Saint-Jean-sur-Richelieu,Saint-Jean-sur-Richelieu,,,,,,,
T0218729,2021/09/21,2021/10/31,"Normandin, Christine",Member,To attend a constituency or community event,2021/10/16,Saint-Jean-sur-Richelieu,Saint-Alexandre,,,,,,,
T0218193,2021/09/21,2021/10/31,"Turcotte, Dave",Employee,To conduct constituency office business,2021/10/06,Saint-Jean-sur-Richelieu,Saint-Jean-sur-Richelieu,,,,,,,
