Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0215616,2021/07/06,2021/07/09,,,,,,,94.3700,0.0000,0.0000,0,0,0,94.37
T0215616,2021/07/06,2021/07/09,"Scheer, Hon. Andrew",Member,To travel to/from constituency and Ottawa,2021/07/06,Regina,Ottawa,,,,,,,
T0215616,2021/07/06,2021/07/09,"Scheer, Hon. Andrew",Member,To travel to/from constituency and Ottawa,2021/07/09,Ottawa,Regina,,,,,,,
T0215618,2021/07/12,2021/07/15,,,,,,,68.6600,0.0000,0.0000,0,0,0,68.66
T0215618,2021/07/12,2021/07/15,"Scheer, Hon. Andrew",Member,To attend meetings with stakeholders about business of the House,2021/07/12,Regina,Calgary,,,,,,,
T0215618,2021/07/12,2021/07/15,"Scheer, Hon. Andrew",Member,To attend meetings with stakeholders about business of the House,2021/07/15,Calgary,Regina,,,,,,,
T0217901,2021/09/21,2021/09/30,,,,,,,523.7600,0.0000,0.0000,0.0000,0,0,523.76
T0217901,2021/09/21,2021/09/30,"Scheer, Hon. Andrew",Member,To attend a constituency or community event,2021/09/21,Regina,Fort Qu'Appelle,,,,,,,
T0217901,2021/09/21,2021/09/30,"Scheer, Hon. Andrew",Member,To attend a constituency or community event,2021/09/29,Southey,Regina,,,,,,,
T0217901,2021/09/21,2021/09/30,"Scheer, Hon. Andrew",Member,To attend a constituency or community event,2021/09/30,Regina,Indian Head,,,,,,,
T0217901,2021/09/21,2021/09/30,"Scheer, Hon. Andrew",Member,To attend a constituency or community event,2021/09/30,Indian Head,Regina,,,,,,,
T0217901,2021/09/21,2021/09/30,"Scheer, Hon. Andrew",Member,To attend a constituency or community event,2021/09/21,Fort Qu'Appelle,Regina,,,,,,,
T0217901,2021/09/21,2021/09/30,"Scheer, Hon. Andrew",Member,To attend a constituency or community event,2021/09/23,Regina,Indian Head,,,,,,,
T0217901,2021/09/21,2021/09/30,"Scheer, Hon. Andrew",Member,To attend a constituency or community event,2021/09/23,Indian Head,Regina,,,,,,,
T0217901,2021/09/21,2021/09/30,"Scheer, Hon. Andrew",Member,To attend a constituency or community event,2021/09/25,Regina,Fort Qu'Appelle,,,,,,,
T0217901,2021/09/21,2021/09/30,"Scheer, Hon. Andrew",Member,To attend a constituency or community event,2021/09/25,Fort Qu'Appelle,Regina,,,,,,,
T0217901,2021/09/21,2021/09/30,"Scheer, Hon. Andrew",Member,To attend a constituency or community event,2021/09/28,Regina,Raymore,,,,,,,
T0217901,2021/09/21,2021/09/30,"Scheer, Hon. Andrew",Member,To attend a constituency or community event,2021/09/28,Raymore,Regina,,,,,,,
T0217901,2021/09/21,2021/09/30,"Scheer, Hon. Andrew",Member,To attend a constituency or community event,2021/09/29,Regina,Southey,,,,,,,
T0216610,2021/09/22,2021/09/22,,,,,,,602.6500,0.0000,0.0000,0.5000,0,0,602.65
T0216610,2021/09/22,2021/09/22,"Gilman, Stephen",Employee,To travel to/from constituency and Ottawa,2021/09/22,Regina,Ottawa,,,,,,,
T0217916,2021/10/04,2021/10/06,,,,,,,777.4200,354.6600,303.3500,0.5000,0,0,1435.43
T0217916,2021/10/04,2021/10/06,"Scheer, Hon. Andrew",Member,To travel to/from constituency and Ottawa,2021/10/04,Regina,Ottawa,,,,,,,
T0217916,2021/10/04,2021/10/06,"Scheer, Hon. Andrew",Member,To travel to/from constituency and Ottawa,2021/10/06,Ottawa,Regina,,,,,,,
T0217916,2021/10/04,2021/10/06,"Scheer, Hon. Andrew",Member,To travel to/from constituency and Ottawa,2021/10/06,Ottawa,Regina,,,,,,,
T0217931,2021/10/06,2021/10/07,,,,,,,1096.5200,158.4500,108.9000,0.0000,1.0000,0,1363.87
T0217931,2021/10/06,2021/10/07,"Scheer, Hon. Andrew",Member,To attend meetings with stakeholders about business of the House,2021/10/06,Ottawa,Toronto,,,,,,,
T0217931,2021/10/06,2021/10/07,"Scheer, Hon. Andrew",Member,To attend meetings with stakeholders about business of the House,2021/10/07,Toronto,Regina,,,,,,,
T0220192,2021/10/13,2021/10/19,,,,,,,1205.3000,0.0000,0.0000,1.0000,0,0,1205.30
T0220192,2021/10/13,2021/10/19,"Potter, Kenzie",Employee,To travel to/from constituency and Ottawa,2021/10/13,Regina,Ottawa,,,,,,,
T0220192,2021/10/13,2021/10/19,"Potter, Kenzie",Employee,To travel to/from constituency and Ottawa,2021/10/19,Ottawa,Regina,,,,,,,
T0217935,2021/10/26,2021/10/27,,,,,,,1420.2300,177.3300,202.2300,1.0000,0,0,1799.79
T0217935,2021/10/26,2021/10/27,"Scheer, Hon. Andrew",Member,To travel to/from constituency and Ottawa,2021/10/26,Regina,Ottawa,,,,,,,
T0217935,2021/10/26,2021/10/27,"Scheer, Hon. Andrew",Member,To travel to/from constituency and Ottawa,2021/10/27,Ottawa,Regina,,,,,,,
T0220658,2021/11/08,2021/11/08,,,,,,,602.6500,0.0000,0.0000,0.5000,0,0,602.65
T0220658,2021/11/08,2021/11/08,"Potter, Kenzie",Employee,To travel to/from constituency and Ottawa,2021/11/08,Regina,Ottawa,,,,,,,
T0218975,2021/11/11,2021/11/13,,,,,,,1306.9500,417.6100,265.0000,1.0000,0,0,1989.56
T0218975,2021/11/11,2021/11/13,"Baylis, Joan",Employee,To travel to/from constituency and Ottawa,2021/11/11,Regina,Ottawa,,,,,,,
T0218975,2021/11/11,2021/11/13,"Baylis, Joan",Employee,To travel to/from constituency and Ottawa,2021/11/13,Ottawa,Regina,,,,,,,
T0219941,2021/11/11,2021/11/17,,,,,,,1391.3800,927.6000,669.4600,1.0000,0,0,2988.44
T0219941,2021/11/11,2021/11/17,"Scheer, Hon. Andrew",Member,To travel to/from constituency and Ottawa,2021/11/11,Regina,Ottawa,,,,,,,
T0219941,2021/11/11,2021/11/17,"Scheer, Hon. Andrew",Member,To travel to/from constituency and Ottawa,2021/11/17,Ottawa,Regina,,,,,,,
T0220087,2021/11/29,2021/12/02,,,,,,,1493.5100,469.0200,366.1200,1.0000,0,0,2328.65
T0220087,2021/11/29,2021/12/02,"Scheer, Hon. Andrew",Member,To travel to/from constituency and Ottawa,2021/11/29,Regina,Ottawa,,,,,,,
T0220087,2021/11/29,2021/12/02,"Scheer, Hon. Andrew",Member,To travel to/from constituency and Ottawa,2021/12/02,Ottawa,Regina,,,,,,,
