Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0218254,2021/03/26,2021/09/13,,,,,,,0.0000,144.4100,0.0000,0,0,0,144.41
T0218254,2021/03/26,2021/09/13,"Vidal, Gary",Member,Secondary Residence,2021/05/12,Ottawa,Ottawa,,,,,,,
T0218254,2021/03/26,2021/09/13,"Vidal, Gary",Member,Secondary Residence,2021/08/12,Ottawa,Ottawa,,,,,,,
T0218254,2021/03/26,2021/09/13,"Vidal, Gary",Member,Secondary Residence,2021/06/11,Ottawa,Ottawa,,,,,,,
T0218254,2021/03/26,2021/09/13,"Vidal, Gary",Member,Secondary Residence,2021/03/26,Ottawa,Ottawa,,,,,,,
T0218254,2021/03/26,2021/09/13,"Vidal, Gary",Member,Secondary Residence,2021/04/14,Ottawa,Ottawa,,,,,,,
T0218073,2021/09/21,2021/11/12,,,,,,,0.0000,47.9500,0.0000,0,0,0,47.95
T0218073,2021/09/21,2021/11/12,"Vidal, Gary",Member,Secondary Residence,2021/10/13,Ottawa,Ottawa,,,,,,,
T0218073,2021/09/21,2021/11/12,"Vidal, Gary",Member,Secondary Residence,2021/09/21,Ottawa,Ottawa,,,,,,,
T0216130,2021/09/30,2021/09/30,,,,,,,108.5400,0.0000,20.5300,0.0000,0,0,129.07
T0216130,2021/09/30,2021/09/30,"Vidal, Gary",Member,To attend a constituency or community event,2021/09/30,Meadow Lake,Chitek Lake,,,,,,,
T0216130,2021/09/30,2021/09/30,"Vidal, Gary",Member,To attend a constituency or community event,2021/09/30,Chitek Lake,Meadow Lake,,,,,,,
T0216142,2021/10/04,2021/10/06,,,,,,,1705.6600,0.0000,171.1400,1.0000,0,0,1876.80
T0216142,2021/10/04,2021/10/06,"Vidal, Gary",Member,To travel to/from constituency and Ottawa,2021/10/04,Meadow Lake,Ottawa,,,,,,,
T0216142,2021/10/04,2021/10/06,"Vidal, Gary",Member,To travel to/from constituency and Ottawa,2021/10/06,Ottawa,Meadow Lake,,,,,,,
T0216485,2021/10/13,2021/10/31,,,,,,,63.9200,0.0000,20.7700,0.0000,0,0,84.69
T0216485,2021/10/13,2021/10/31,"Vidal, Gary",Member,To attend meetings about constituency issues,2021/10/13,Meadow Lake,Loon Lake,,,,,,,
T0216485,2021/10/13,2021/10/31,"Vidal, Gary",Member,To attend meetings about constituency issues,2021/10/13,Loon Lake,Meadow Lake,,,,,,,
T0216485,2021/10/13,2021/10/31,"Vidal, Gary",Member,To attend a constituency or community event,2021/10/21,Meadow Lake,Buffalo Narrows,,,,,,,
T0217475,2021/10/21,2021/10/27,,,,,,,533.7600,0.0000,41.5400,0.0000,0.0000,0,575.30
T0217475,2021/10/21,2021/10/27,"Petz, Dion",Employee,To attend meetings about constituency issues,2021/10/21,Meadow Lake,Buffalo Narrows,,,,,,,
T0217475,2021/10/21,2021/10/27,"Petz, Dion",Employee,To represent the Member at an event,2021/10/27,Meadow Lake,Prince Albert,,,,,,,
T0217475,2021/10/21,2021/10/27,"Petz, Dion",Employee,To attend meetings about constituency issues,2021/10/21,Buffalo Narrows,Meadow Lake,,,,,,,
T0217475,2021/10/21,2021/10/27,"Petz, Dion",Employee,To represent the Member at an event,2021/10/27,Prince Albert,Meadow Lake,,,,,,,
T0217469,2021/10/26,2021/10/27,,,,,,,1704.0700,0.0000,66.3800,1.0000,0,0,1770.45
T0217469,2021/10/26,2021/10/27,"Vidal, Gary",Member,To travel to/from constituency and Ottawa,2021/10/26,Meadow Lake,Ottawa,,,,,,,
T0217469,2021/10/26,2021/10/27,"Vidal, Gary",Member,To travel to/from constituency and Ottawa,2021/10/27,Ottawa,Meadow Lake,,,,,,,
200524135,2021/11/01,2021/11/30,,,,,,,0.0000,1950.0000,0.0000,0,0,0,1950.00
200524135,2021/11/01,2021/11/30,"Vidal, Gary",Member,Secondary Residence,2021/11/01,OTTAWA,OTTAWA,,,,,,,
T0218380,2021/11/04,2021/11/04,,,,,,,0.0000,0.0000,20.7700,0.0000,0,0,20.77
T0218380,2021/11/04,2021/11/04,"Vidal, Gary",Member,To attend meetings about constituency issues,2021/11/04,Meadow Lake,Pierceland,,,,,,,
T0218377,2021/11/04,2021/11/04,,,,,,,115.0600,0.0000,20.7700,0.0000,0,0,135.83
T0218377,2021/11/04,2021/11/04,"Petz, Dion",Employee,To attend meetings about constituency issues,2021/11/04,Meadow Lake,Pierceland,,,,,,,
T0218380,2021/11/04,2021/11/04,"Vidal, Gary",Member,To attend meetings about constituency issues,2021/11/04,Pierceland,Meadow Lake,,,,,,,
T0218377,2021/11/04,2021/11/04,"Petz, Dion",Employee,To attend meetings about constituency issues,2021/11/04,Pierceland,Meadow Lake,,,,,,,
T0218373,2021/11/14,2021/11/27,,,,,,,901.4700,0.0000,772.0900,0.5000,0,0,1673.56
T0218373,2021/11/14,2021/11/27,"Vidal, Gary",Member,To travel to/from constituency and Ottawa,2021/11/14,Meadow Lake,Ottawa,,,,,,,
200530380,2021/12/01,2021/12/31,,,,,,,0.0000,1950.0000,0.0000,0,0,0,1950.00
200530380,2021/12/01,2021/12/31,"Vidal, Gary",Member,Secondary Residence,2021/12/01,OTTAWA,OTTAWA,,,,,,,
200538575,2022/01/01,2022/01/31,,,,,,,0.0000,1950.0000,0.0000,0,0,0,1950.00
200538575,2022/01/01,2022/01/31,"Vidal, Gary",Member,Secondary Residence,2022/01/01,OTTAWA,OTTAWA,,,,,,,
