Supplier,Description,Date,Total
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/03/25,211.49
Chambre de commerces et d'industries de Mirabel,Advertising,2021/04/29,500.00
CCITB,Advertising,2021/10/13,14.00
"Richard, Stéphane",Communications Officer,2021/10/31,300.00
AQDR LAVAL,Advertising,2021/11/02,25.00
GROUPE SÉCURE,"Security Equipment, Intercom and Alarm System (Member's Office Budget)",2021/11/04,307.82
ups,"Postage, Parcel Post and Courier Services",2021/11/08,25.90
costco,"Office Supplies, Stationery and Accessories",2021/11/21,97.93
COSTCO,"Office Supplies, Stationery and Accessories",2021/11/21,97.93
Amaro,Spring Water,2021/11/23,74.00
bureau en gros,"Office Supplies, Stationery and Accessories",2021/11/26,107.52
"Richard, Stéphane",Communications Officer,2021/11/30,300.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/12/01,8.30
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/12/01,159.38
Rogers Wireless – Rogers sans-fil,Long Distance,2021/12/01,2.25
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/12/01,100.50
Promutuel Assurance Deux-Montagnes,Constituency Office Insurance,2021/12/06,775.00
DOLLORAMA,"Office Supplies, Stationery and Accessories",2021/12/07,32.08
zoom,Computer Software and Licences,2021/12/08,20.00
zoom,Computer Software and Licences,2021/12/08,20.00
GROUPE JCL,Advertising,2021/12/15,315.64
GROUPE JCL,Advertising,2021/12/15,248.00
Association de Hockey Mineur du Lac Deux-Montagnes,Advertising,2021/12/17,250.00
Association des Artisans en métiers d'arts de St-Eustache,Advertising,2021/12/17,500.00
CCITB,Advertising,2021/12/17,500.00
Jacqueline Gosselin Artiste,External Printing Costs,2021/12/17,200.00
SOCIÉTÉ SAINT-JEAN-BAPTISTE DE MONTRÉAL,Advertising,2021/12/17,500.00
SPORTS LAVAL,Advertising,2021/12/17,333.33
Vidéotron s.e.n.c,Constituency Office Cable,2021/12/17,61.79
Vidéotron s.e.n.c,Constituency Office Internet,2021/12/17,89.95
Invitation Saint-Eustache,Advertising,2021/12/21,250.00
GROUPE JCL,Advertising,2021/12/22,399.00
HYDRO QUÉBEC,Public Utilities,2021/12/28,835.15
Coopérative Aide chez soi Basses Laurentides,Advertising,2021/12/30,500.00
"Richard, Stéphane",Communications Officer,2021/12/31,300.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/12/31,212.63
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/12/31,5.55
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/12/31,120.35
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/01/01,159.38
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/01/01,12.90
"Richard, Stéphane",Communications Officer,2022/01/01,300.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/01/01,95.25
"Maison des mots,La",Advertising,2022/01/06,250.00
cyberimpact,Computer Software and Licences,2022/01/07,30.00
zoom,Computer Software and Licences,2022/01/08,20.00
AQDR LAVAL,Advertising,2022/01/10,25.00
"Atelier Ensemble on se Tient, L'",Advertising,2022/01/10,500.00
"Yergeau, Vincent",Photography and Video Services,2022/01/11,50.00
Canada Post – Postes Canada,Courier Services,2022/01/12,11.50
Canada Post – Postes Canada,Courier Services,2022/01/12,7.09
GROUPE JCL,Advertising,2022/01/12,399.00
Table Forêt Laurentides,Advertising,2022/01/12,200.00
