Supplier,Description,Date,Total
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/03/25,416.61
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/03/25,6.36
"Facebook, Inc.",Advertising,2021/04/30,50.00
"Facebook, Inc.",Advertising,2021/05/31,41.55
"Facebook, Inc.",Advertising,2021/06/30,129.53
Zoom Video Communications Inc.,Computer Software and Licences,2021/08/02,20.00
Zoom Video Communications Inc.,Computer Software and Licences,2021/09/02,20.00
Zoom Video Communications Inc.,Computer Software and Licences,2021/10/02,20.00
DARPAN PUBLICATION LTD.,Advertising,2021/11/01,110.00
Zoom Video Communications Inc.,Computer Software and Licences,2021/11/02,20.00
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2021/11/17,81.22
Carleton University,Professional Development and Training for Members' Employees,2021/11/22,1784.91
JEWISH INDEPENDENT,Advertising,2021/11/24,204.00
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2021/11/25,221.05
Canva Pty Ltd.,Computer Software and Licences,2021/11/29,155.88
"Facebook, Inc.",Advertising,2021/11/30,55.93
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/12/01,28.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/12/01,179.14
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/12/01,81.99
Zoom Video Communications Inc.,Computer Software and Licences,2021/12/02,20.00
Sach Di Awaaz Newspaper,Advertising,2021/12/03,300.00
LMP Publication Limited Partnership,Advertising,2021/12/14,495.00
LMP Publication Limited Partnership,Advertising,2021/12/14,260.00
Shaw Business,Constituency Office Internet,2021/12/23,166.87
Dahong Pilipino,Advertising,2021/12/28,47.14
"Facebook, Inc.",Advertising,2021/12/31,180.32
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/12/31,169.93
Grand & Toy,Cleaning Products,2021/12/31,53.49
LMP Publication Limited Partnership,Advertising,2021/12/31,260.00
Recycling Alternative,Shredding,2021/12/31,52.89
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/12/31,418.89
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/12/31,6.36
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/12/31,4.21
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/12/31,232.96
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/01/01,159.84
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/01/01,50.00
Paladin Technologies,Protection and Alarm Monitoring (Member's Office Budget),2022/01/01,105.00
Progressive Nation,Professional Communication Services,2022/01/01,325.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/01/01,77.00
Zoom Video Communications Inc.,Image/Video Communications Services,2022/01/02,21.40
Canada Post – Postes Canada,Courier Services,2022/01/12,8.15
Canada Post – Postes Canada,Courier Services,2022/01/12,8.15
