Supplier,Description,Date,Total
Purifi Water,Spring Water,2021/04/30,10.00
Purifi Water,Spring Water,2021/05/31,10.00
Purifi Water,Spring Water,2021/06/30,10.00
Purifi Water,Spring Water,2021/08/31,10.00
Purifi Water,Spring Water,2021/09/30,10.00
MADD Canada,Advertising,2021/10/13,399.00
Purifi Water,Spring Water,2021/10/31,10.00
Purifi Water,Spring Water,2021/11/01,10.00
Rexall,Cleaning Products,2021/11/02,7.99
Courageous K9,Advertising,2021/11/04,395.00
CIBC,Banking Fees and Cheque Orders,2021/11/30,23.50
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/12/01,186.85
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/12/01,25.00
Bell Mobility – Bell Mobilité,Voice and data roaming fees for mobile devices,2021/12/01,334.40
Parliamentary Boutique,Gifts given as a matter of protocol,2021/12/07,170.88
Canada Post,"Postage, Parcel Post and Courier Services",2021/12/14,49.18
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/12/31,20.98
Purifi Water,Spring Water,2021/12/31,10.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/12/31,29.43
582276 Alberta Inc.,Office Rental and Related Fees,2022/01/01,-13.21
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/01/01,35.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/01/01,186.85
Bell Mobility – Bell Mobilité,Voice and data roaming fees for mobile devices,2022/01/01,25.00
Bell Mobility – Bell Mobilité,Long Distance,2022/01/01,2.90
"CANADIAN TIMES, THE",Advertising,2022/01/06,600.00
Canada Post – Postes Canada,Courier Services,2022/01/12,9.26
Canada Post – Postes Canada,Courier Services,2022/01/12,64.03
House of Commons / Chambre des communes,External Printing Costs,2022/01/12,390.00
GoDaddy,Web Site Hosting/Domain Name,2022/01/14,35.88
HYPERTEC SYSTEMS INC.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2022/01/20,149.00
CIBC,Banking Fees and Cheque Orders,2022/01/31,23.50
CIBC,Banking Fees and Cheque Orders,2022/01/31,23.50
Purifi Water,Spring Water,2022/01/31,10.00
582276 Alberta Inc.,Office Rental and Related Fees,2022/02/01,2893.41
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/02/01,21.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/02/01,186.85
The Economist,"Printed Matter, Books, Newspapers and Subscriptions",2022/02/03,205.00
Telus,Constituency Office Internet,2022/02/07,29.50
Dollarama,Gifts given as a matter of protocol,2022/02/08,32.35
"Epoch Times, The",Advertising,2022/02/08,250.00
Michaels,"Framing, Outside Supplier",2022/02/08,286.00
Art.Com,Office Decor,2022/02/10,233.97
Calgary Police Services,Protection and Alarm Monitoring (Member's Office Budget),2022/02/10,20.00
"O'Connor, Chantal",Communications Officer,2022/02/16,1740.00
Michaels,"Framing, Outside Supplier",2022/02/26,126.47
CIBC,Banking Fees and Cheque Orders,2022/02/28,23.50
Grand & Toy,Bulk Paper Purchases,2022/02/28,22.27
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/02/28,534.28
Grand & Toy,Bulk Paper Purchases,2022/02/28,68.90
Grand & Toy,Cleaning Products,2022/02/28,22.96
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/02/28,35.20
Purifi Water,Spring Water,2022/02/28,10.00
582276 Alberta Inc.,Office Rental and Related Fees,2022/03/01,2893.41
Bell Mobility – Bell Mobilité,Voice and data roaming fees for mobile devices,2022/03/01,250.82
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/03/01,46.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/03/01,186.85
SecurTek,Protection and Alarm Monitoring (Member's Office Budget),2022/03/01,68.85
Canada Post – Postes Canada,Courier Services,2022/03/02,23.80
RGO Technologies Inc.,Photocopier Rental and Related Costs,2022/03/04,231.53
Winners,Office Decor,2022/03/05,44.98
testerdigital,Web Site Hosting/Domain Name,2022/03/10,720.00
Walmart,Photography and Video Services,2022/03/12,12.97
Amazon.ca,Office Decor,2022/03/13,91.98
House of Commons / Chambre des communes,Framing Done at the House of Commons,2022/03/15,43.97
Image Inventions Media Group,Communications Officer,2022/03/15,1950.00
Jean Coutu,"Office Supplies, Stationery and Accessories",2022/03/15,5.69
Canada Post – Postes Canada,Courier Services,2022/03/16,12.86
KHC U18-1,Advertising,2022/03/16,500.00
Amazon.ca,"Postage, Parcel Post and Courier Services",2022/03/22,12.12
Amazon.ca,Gifts given as a matter of protocol,2022/03/22,82.12
"CANADIAN TIMES, THE",Advertising,2022/03/25,300.00
Walmart,Photography and Video Services,2022/03/26,12.97
Canada Post – Postes Canada,Courier Services,2022/03/29,23.64
Flag Emporium,"Office Supplies, Stationery and Accessories",2022/03/30,199.00
Image Inventions Media Group,Professional Communication Services,2022/03/30,3050.00
Canada Post,"Postage, Parcel Post and Courier Services",2022/03/31,58.84
Canada Post – Postes Canada,Courier Services,2022/03/31,62.09
Earnscliffe Strategy Group,Other Training and Conferences,2022/03/31,1000.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/03/31,-6.49
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/03/31,254.07
House of Commons / Chambre des communes,Framing Done at the House of Commons,2022/03/31,45.18
"O'Connor, Chantal",Communications Officer,2022/03/31,1740.00
Purifi Water,Spring Water,2022/03/31,10.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/03/31,39.92
