Supplier,Description,Date,Total
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/03/25,211.49
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2021/10/01,137.99
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2021/10/02,2.01
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2021/10/02,136.87
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2021/11/02,134.52
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2021/11/02,1.98
dollarama,"Office Supplies, Stationery and Accessories",2021/11/21,33.00
CHOEUR DU VALLON,Advertising,2021/11/24,250.00
Ensemble Classique A Piacere,Advertising,2021/11/25,250.00
JOURNAL.CA.INC.,Advertising,2021/11/29,415.00
JOURNAL.CA.INC.,Advertising,2021/11/29,450.00
JOURNAL.CA.INC.,Advertising,2021/11/29,415.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/12/01,218.30
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/12/01,97.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2021/12/02,2.04
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2021/12/02,138.50
CLUB FADOQ SAINT-MATHIEU APÔTRE,Advertising,2021/12/07,350.00
brunet,Cleaning Products,2021/12/14,17.47
Comité de la Guignolée de Cap-Rouge,Advertising,2021/12/15,500.00
COTE FLEURY SYSTEME DE SECURITE / SERRURERIE,Protection and Alarm Monitoring (Member's Office Budget),2021/12/15,89.70
Société arts et culture de Cap-Rouge,Advertising,2021/12/16,300.00
SOCIÉTÉ HISTORIQUE DU CAP-ROUGE,Advertising,2021/12/16,250.00
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2021/12/17,371.05
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2021/12/17,86.23
Vide ta Sacoche,Advertising,2021/12/17,250.00
3G Entretien Inc,Janitorial Services and Maintenance,2021/12/20,200.00
Ensemble philharmonique de la Capitale,Advertising,2021/12/26,250.00
"LUDOTHÈQUE DE SAINTE-FOY, LA",Advertising,2021/12/28,250.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/12/31,212.63
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/12/31,13.11
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/12/31,0.18
videotron,Constituency Office Cable,2021/12/31,76.74
videotron,Constituency Office Internet,2021/12/31,142.95
Bell Mobility – Bell Mobilité,Voice and data roaming fees for mobile devices,2022/01/01,35.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/01/01,237.84
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/01/01,121.68
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/01/01,137.99
COLLEGE SAINT-CHARLES-GARNIER,Advertising,2022/01/07,250.00
Popote Roulante Ste-Foy Inc.,Advertising,2022/01/07,250.00
Canada Post – Postes Canada,Courier Services,2022/01/12,12.01
Canada Post – Postes Canada,Courier Services,2022/01/12,7.09
Défilé de mode Aspiration,Advertising,2022/01/20,250.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/01/20,2.04
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/01/20,138.36
RÉSEAU DU FORUM SOCIAL DE QUÉBEC CHAUDIÈRE-APPALACHES,Advertising,2022/01/20,250.00
3G Entretien Inc,Janitorial Services and Maintenance,2022/01/21,200.00
"Verger Centre Communautaire en santé mentale,Le",Advertising,2022/01/21,500.00
Collectif 55+,Advertising,2022/01/24,250.00
videotron,Constituency Office Internet,2022/01/28,142.95
videotron,Constituency Office Cable,2022/01/28,76.74
3G Entretien Inc,Janitorial Services and Maintenance,2022/02/01,200.00
8309418 CANADA INC.,Office Rental and Related Fees,2022/02/01,2618.11
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/02/01,98.00
Bell Mobility – Bell Mobilité,Voice and data roaming fees for mobile devices,2022/02/01,177.16
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/02/01,217.84
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/02/02,137.68
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/02/02,2.03
Centre de services scolaire des Découvreurs,Advertising,2022/02/07,500.00
JOURNAL.CA.INC.,Advertising,2022/02/07,415.00
JOURNAL.CA.INC.,Advertising,2022/02/07,415.00
JOURNAL.CA.INC.,Advertising,2022/02/07,450.00
Canada Post – Postes Canada,Courier Services,2022/02/08,8.42
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2022/02/08,-3.18
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2022/02/08,-3.18
Maison Léon Provancher,Advertising,2022/02/11,250.00
"COURTEPOINTE, LA",Advertising,2022/02/17,250.00
videotron,Constituency Office Cable,2022/02/25,76.74
videotron,Constituency Office Internet,2022/02/25,142.95
8309418 CANADA INC.,Office Rental and Related Fees,2022/03/01,2618.11
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/03/01,182.89
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/03/01,217.84
Bell Mobility – Bell Mobilité,Voice and data roaming fees for mobile devices,2022/03/01,318.68
Société d'Histoire de Sillery,Advertising,2022/03/01,250.00
Canada Post – Postes Canada,Courier Services,2022/03/02,7.12
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/03/03,137.66
Club FADOQ Sainte-Ursule,Advertising,2022/03/05,350.00
JOURNAL.CA.INC.,Advertising,2022/03/07,1280.00
Loisirs Saint-Benoît Inc.,Advertising,2022/03/07,500.00
Club de Soccer de l'Ouest de Québec,Advertising,2022/03/15,500.00
Canada Post – Postes Canada,Courier Services,2022/03/16,8.68
Canada Post – Postes Canada,Courier Services,2022/03/16,11.55
Club lions Cap-Rouge/St-Augustin Inc,Advertising,2022/03/25,500.00
videotron,Constituency Office Cable,2022/03/25,142.95
videotron,Constituency Office Internet,2022/03/25,76.74
Corporation des loisirs de Saint-Louis-de-France,Advertising,2022/03/26,500.00
3G Entretien Inc,Janitorial Services and Maintenance,2022/03/28,200.00
45e Groupe Scout et Guide Saint-Yves,Advertising,2022/03/28,500.00
Société d'histoire de Sainte-Foy,Advertising,2022/03/28,250.00
Canada Post – Postes Canada,Courier Services,2022/03/29,32.50
Canada Post – Postes Canada,Courier Services,2022/03/29,9.21
Jeune Chambre de Commerce de Québec,Advertising,2022/03/29,217.44
École Madeleine-Bergeron,Advertising,2022/03/31,500.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/03/31,0.11
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/03/31,18.72
