Supplier,Description,Date,Total
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/03/25,208.31
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/03/25,3.18
Bell Aliant,Members’ Primary Residence Internet,2021/10/18,117.95
Canadian Tire,"Office Supplies, Stationery and Accessories",2021/11/12,12.98
Bell Aliant,Members’ Primary Residence Internet,2021/11/18,117.95
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/12/01,191.94
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/12/01,326.63
Atlantic Superstore,"Office Supplies, Stationery and Accessories",2021/12/10,6.66
Bell Aliant,Constituency Office Internet,2021/12/18,185.95
Bell Aliant,Members’ Primary Residence Internet,2021/12/18,117.95
Bell Aliant,Constituency Office Cable,2021/12/18,63.95
BRUNSWICK NEWS INC.,Advertising,2021/12/25,150.00
Alison Street Web Design,Communications Officer,2021/12/30,600.00
Bayview Credit Union,Banking Fees and Cheque Orders,2021/12/31,6.95
Kennebecasis Valley High School,Advertising,2021/12/31,100.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/12/31,3.18
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/12/31,209.44
Tingley Enterprises Ltd.,Subject Matter Expert,2021/12/31,1657.34
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/12/31,81.92
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/12/31,13.46
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/01/01,191.94
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/01/01,152.92
MARITIME MOTORSPORTS HALL OF FAME INC. & MUSEUM,Advertising,2022/01/01,134.40
Canada Post,"Postage, Parcel Post and Courier Services",2022/01/05,26.62
Thompson and Associates Strategic Consultants Inc.,Subject Matter Expert,2022/01/05,2000.00
Connecting Albert County,Advertising,2022/01/06,133.34
Canadian Tire,"Office Supplies, Stationery and Accessories",2022/01/10,31.97
Dollarama,"Office Supplies, Stationery and Accessories",2022/01/10,12.00
Dollar Store,"Office Supplies, Stationery and Accessories",2022/01/14,2.50
Bell Aliant,Constituency Office Internet,2022/01/18,195.29
Bell Aliant,Members’ Primary Residence Internet,2022/01/18,117.95
Bell Aliant,Constituency Office Cable,2022/01/18,63.95
Alison Street Web Design,Communications Officer,2022/01/31,600.00
Bayview Credit Union,Banking Fees and Cheque Orders,2022/01/31,3.95
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/02/01,376.26
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/02/01,191.94
HAMPTON HEALTH CARE CENTRE,Office Rental and Related Fees,2022/02/01,2300.00
MARITIME MOTORSPORTS HALL OF FAME INC. & MUSEUM,Advertising,2022/02/01,134.40
Walmart,"Office Supplies, Stationery and Accessories",2022/02/01,20.30
Thompson and Associates Strategic Consultants Inc.,Subject Matter Expert,2022/02/05,2000.00
Yellow Pages,Advertising,2022/02/06,20.00
Yellow Pages,Advertising,2022/02/06,20.00
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2022/02/08,-3.18
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2022/02/08,-3.18
REID & ASSOCIATES SPECIALTY ADVERTISING INC.,Advertising,2022/02/11,355.00
Loblaws,"Office Supplies, Stationery and Accessories",2022/02/12,7.98
Connecting Albert County,Advertising,2022/02/14,133.34
The Potting Shed Flower Shop,Gifts given as a matter of protocol,2022/02/15,100.00
Dollarama,"Office Supplies, Stationery and Accessories",2022/02/16,8.00
Walmart,"Office Supplies, Stationery and Accessories",2022/02/16,50.74
Bell Aliant,Constituency Office Internet,2022/02/18,185.95
Bell Aliant,Members’ Primary Residence Internet,2022/02/18,117.95
Bell Aliant,Constituency Office Cable,2022/02/18,63.95
Pharmasave,"Office Supplies, Stationery and Accessories",2022/02/23,20.27
Bayview Credit Union,Banking Fees and Cheque Orders,2022/02/28,3.95
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/03/01,191.94
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/03/01,534.16
HAMPTON HEALTH CARE CENTRE,Office Rental and Related Fees,2022/03/01,2300.00
MARITIME MOTORSPORTS HALL OF FAME INC. & MUSEUM,Advertising,2022/03/01,103.50
REID & ASSOCIATES SPECIALTY ADVERTISING INC.,Advertising,2022/03/01,355.00
Canadian Tire,Appliances,2022/03/02,259.98
Connecting Albert County,Advertising,2022/03/02,133.34
Atlantic Superstore,Cleaning Products,2022/03/04,26.93
Yellow Pages,Advertising,2022/03/06,20.00
Pearson Insurance,Constituency Office Insurance,2022/03/08,695.00
Sobeys,Spring Water,2022/03/08,10.78
Walmart,"Office Supplies, Stationery and Accessories",2022/03/08,14.94
Tingley Enterprises Ltd.,Subject Matter Expert,2022/03/14,500.00
Town of Hampton,Advertising,2022/03/16,152.17
Bell Aliant,Constituency Office Internet,2022/03/18,194.57
Bell Aliant,Constituency Office Cable,2022/03/18,63.95
Bell Aliant,Members’ Primary Residence Internet,2022/03/18,117.95
BRUNSWICK NEWS INC.,Advertising,2022/03/19,150.00
BRUNSWICK NEWS INC.,Advertising,2022/03/24,150.00
Canada Post – Postes Canada,Courier Services,2022/03/29,24.68
Alison Street Web Design,Communications Officer,2022/03/31,1200.00
Bayview Credit,Banking Fees and Cheque Orders,2022/03/31,6.95
Grand & Toy,Bulk Paper Purchases,2022/03/31,147.40
