Supplier,Description,Date,Total
Superior Media Sault ltd.,Advertising,2021/06/28,1250.00
Shaw cablesystems G.P./Shaw Direct,Members’ Primary Residence Internet,2021/08/01,113.00
Shaw cablesystems G.P./Shaw Direct,Members’ Primary Residence Internet,2021/09/01,113.00
Metro,Cleaning Products,2021/09/08,8.03
Canada Post,"Postage, Parcel Post and Courier Services",2021/09/10,9.77
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2021/10/01,137.99
Shaw cablesystems G.P./Shaw Direct,Members’ Primary Residence Internet,2021/10/01,113.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2021/10/02,136.87
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2021/10/02,2.01
Shaw cablesystems G.P./Shaw Direct,Members’ Primary Residence Internet,2021/11/01,113.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2021/11/02,1.98
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2021/11/02,134.52
Best Buy,"Office Supplies, Stationery and Accessories",2021/11/25,24.99
Staples,"Office Supplies, Stationery and Accessories",2021/11/30,51.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/12/01,226.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/12/01,20.00
Shaw cablesystems G.P./Shaw Direct,Members’ Primary Residence Internet,2021/12/01,113.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2021/12/02,138.50
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2021/12/02,2.04
Metro,Cleaning Products,2021/12/13,32.97
Pure H20,Spring Water,2021/12/16,14.00
Pure H20,Spring Water,2021/12/16,14.00
Superior Media Sault ltd.,Advertising,2021/12/17,1200.00
Buying Direct Corp Amazon,Cleaning Products,2021/12/18,84.00
Postmedia Network Inc.,Advertising,2021/12/18,425.00
Rapid Test Trace,Cleaning Products,2021/12/21,297.00
Healthgear,Cleaning Products,2021/12/23,223.96
Purolator,"Postage, Parcel Post and Courier Services",2021/12/23,141.05
Purolator,"Postage, Parcel Post and Courier Services",2021/12/24,18.30
Sun Media (division of postmedia network inc.),Advertising,2021/12/25,425.00
Del & Sons Janitorial Services,Janitorial Services and Maintenance,2021/12/31,195.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/12/31,42.22
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/12/31,0.50
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/01/01,226.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/01/01,36.00
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/01/01,137.99
Shaw cablesystems G.P./Shaw Direct,Members’ Primary Residence Internet,2022/01/01,113.00
Purolator,"Postage, Parcel Post and Courier Services",2022/01/07,6.07
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2022/01/08,63.95
Shaw cablesystems G.P./Shaw Direct,Constituency Office Cable,2022/01/08,201.00
Canada Post – Postes Canada,Courier Services,2022/01/12,7.24
Canada Post – Postes Canada,Courier Services,2022/01/12,13.31
Canada Post – Postes Canada,Courier Services,2022/01/12,22.37
House of Commons / Chambre des communes,External Printing Costs,2022/01/12,1839.08
House of Commons / Chambre des communes,Householders – Paper Recovery,2022/01/12,20.71
Purolator,"Postage, Parcel Post and Courier Services",2022/01/14,12.14
Staples Canada,"Office Supplies, Stationery and Accessories",2022/01/18,136.99
Mathewson Office Pro,"Office Supplies, Stationery and Accessories",2022/01/20,297.70
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/01/20,138.36
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/01/20,2.04
SSMADC,Advertising,2022/01/21,187.00
Marnics Mobile,"Office Supplies, Stationery and Accessories",2022/01/22,69.99
Purolator,"Postage, Parcel Post and Courier Services",2022/01/28,12.14
Del & Sons Janitorial Services,Janitorial Services and Maintenance,2022/01/31,195.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/02/01,32.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/02/01,226.00
MCCARDA HOLDINGS INC.,Office Rental and Related Fees,2022/02/01,1650.00
Shaw cablesystems G.P./Shaw Direct,Members’ Primary Residence Internet,2022/02/01,113.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/02/02,2.03
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/02/02,137.68
Canada Post – Postes Canada,Courier Services,2022/02/08,7.24
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2022/02/08,201.00
Shaw cablesystems G.P./Shaw Direct,Constituency Office Cable,2022/02/08,63.95
Purolator,"Postage, Parcel Post and Courier Services",2022/02/11,23.98
Purolator,"Postage, Parcel Post and Courier Services",2022/02/18,12.54
Postmedia Network Inc.,Advertising,2022/02/19,500.00
SSMADC,Advertising,2022/02/23,187.00
Purolator,"Postage, Parcel Post and Courier Services",2022/02/25,6.12
Del & Sons Janitorial Services,Janitorial Services and Maintenance,2022/02/28,195.00
Postmedia Network Inc.,Advertising,2022/02/28,299.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/03/01,26.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/03/01,226.00
MCCARDA HOLDINGS INC.,Office Rental and Related Fees,2022/03/01,1650.00
Shaw cablesystems G.P./Shaw Direct,Members’ Primary Residence Internet,2022/03/01,113.00
Canada Post – Postes Canada,Courier Services,2022/03/02,6.80
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/03/03,137.66
Shaw cablesystems G.P./Shaw Direct,Constituency Office Cable,2022/03/08,63.95
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2022/03/08,201.00
Purolator,"Postage, Parcel Post and Courier Services",2022/03/11,24.74
Canada Post – Postes Canada,Courier Services,2022/03/16,44.41
Canada Post – Postes Canada,Courier Services,2022/03/16,11.18
Postmedia Network Inc.,"Printed Matter, Books, Newspapers and Subscriptions",2022/03/16,117.00
Mathewson Office Pro,"Office Supplies, Stationery and Accessories",2022/03/18,100.29
Purolator,"Postage, Parcel Post and Courier Services",2022/03/18,12.50
SSMADC,Advertising,2022/03/23,187.00
Purolator,"Postage, Parcel Post and Courier Services",2022/03/25,12.50
Canada Post – Postes Canada,Courier Services,2022/03/29,9.40
Del & Sons Janitorial Services,Janitorial Services and Maintenance,2022/03/31,195.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/03/31,5.13
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/03/31,65.84
