Supplier,Description,Date,Total
Bureau en Gros,"Office Supplies, Stationery and Accessories",2021/10/27,21.78
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/12/01,29.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/12/01,129.84
BELL CANADA,Constituency Office Internet,2021/12/09,184.95
MUNICIPALITE ST-LEON-DE-STANDON,Advertising,2021/12/09,500.00
STERLING MARKING PRODUCTS INC,"Office Supplies, Stationery and Accessories",2021/12/13,34.48
STERLING MARKING PRODUCTS INC,"Office Supplies, Stationery and Accessories",2021/12/13,24.80
"Journal de lévis.com, Le",Advertising,2021/12/21,323.00
Radio Bellechasse-Etchemins,Advertising,2021/12/31,345.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/12/31,17.65
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/12/31,28.52
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/01/01,52.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/01/01,129.84
BELL CANADA,Constituency Office Internet,2022/01/09,109.95
Fabrique Sainte-Kateri-Tekakwitha,Advertising,2022/01/11,175.00
Gosselin Lagueux Roy KSA,Legal Services for Office Leases,2022/01/11,525.00
"Unique, assurances générales, L`",Constituency Office Insurance,2022/01/12,570.00
Bureau en gros,"Office Supplies, Stationery and Accessories",2022/01/13,82.28
MUNICIPALITÉ DE SAINT-NÉRÉE,Advertising,2022/01/13,135.00
Grand & Toy,Cleaning Products,2022/01/31,51.18
Grand & Toy,Bulk Paper Purchases,2022/01/31,223.40
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/01/31,75.73
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/02/01,44.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/02/01,129.84
"POIRIER, ROBERT",Office Rental and Related Fees,2022/02/01,2600.00
Métro Ste-Claire,Cleaning Products,2022/02/08,5.98
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2022/02/08,-3.18
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2022/02/08,-3.18
BELL CANADA,Constituency Office Internet,2022/02/09,116.33
PROMOTION MG,Advertising,2022/02/09,200.00
Les Services CellBox,Voice Communication Equipment,2022/02/14,25.00
Image Express Inc.,Office Renovations,2022/02/15,260.00
TECHNIBUREAU,Computer Equipment,2022/02/15,208.09
TECHNIBUREAU,"Office Supplies, Stationery and Accessories",2022/02/15,37.59
TECHNIBUREAU,"Office Supplies, Stationery and Accessories",2022/02/16,222.99
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/02/28,159.75
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/03/01,74.48
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/03/01,129.84
"Journal de lévis.com, Le",Advertising,2022/03/01,671.00
"POIRIER, ROBERT",Office Rental and Related Fees,2022/03/01,2600.00
BELL CANADA,Constituency Office Internet,2022/03/09,109.95
Cégep de  Lévis-Lauzon,Advertising,2022/03/10,250.00
Centre Femmes L'Ancrage,Advertising,2022/03/10,200.00
Canada Post – Postes Canada,Courier Services,2022/03/16,33.58
"Bureau en gros ",Computer Equipment,2022/03/17,20.19
Chambre Commerce Bellechasse-Etchemins,Advertising,2022/03/18,500.00
"Société Canadienne de la Sclérose en Plaques, Section Chaudière-Appalaches",Advertising,2022/03/21,200.00
CDET de Saint-Vallier,Advertising,2022/03/25,500.00
EXPO BBQ BELLECHASSE,Advertising,2022/03/25,500.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/03/31,437.77
Les Enseignes PALA,Signage,2022/03/31,900.00
P.A. Morin Impression Design,Advertising,2022/03/31,317.91
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/03/31,29.25
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2022/03/31,109.86
