Supplier,Description,Date,Total
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/03/25,211.49
Centre d'Action bénévole du Contrefort,Advertising,2021/09/29,250.00
PROMOTIONS SPORTIVES (GB),Advertising,2021/10/07,500.00
Messagerie Dynamique,"Printed Matter, Books, Newspapers and Subscriptions",2021/10/18,27.13
"PIVOT, LE",Advertising,2021/11/11,100.00
Cégep de Limoilou,Advertising,2021/11/16,250.00
Jeux de la com UL.,Advertising,2021/11/16,350.00
Reverse Pitch,Advertising,2021/11/16,-250.00
Fondation Le Petit Blanchon,Advertising,2021/11/17,250.00
Messagerie Dynamique,"Printed Matter, Books, Newspapers and Subscriptions",2021/11/18,27.13
Hypertec Infrastructure Inc.,Office Rental and Related Fees,2021/12/01,189.13
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/12/01,251.79
Chambre de commerce et d'industrie de Québec,Other Training and Conferences,2021/12/02,240.00
Promutuel du Lac au Fleuve,Constituency Office Insurance,2021/12/02,628.93
"Troupe V'là l'Bon Vent, La",Advertising,2021/12/02,250.00
Éditions du Joyeux-Drille Inc.,Advertising,2021/12/10,500.00
Sport Loisir Québec Nord-Est,Advertising,2021/12/10,150.00
Oqpac,Advertising,2021/12/13,500.00
FADOQ Sainte-Odile de Québec,Advertising,2021/12/14,250.00
"Boussole, La",Advertising,2021/12/16,500.00
JAMAIS LU,Advertising,2021/12/16,500.00
"Bouchée Généreuse, La",Advertising,2021/12/17,500.00
Messagerie Dynamique,"Printed Matter, Books, Newspapers and Subscriptions",2021/12/17,27.13
Journal Ici l'info,Advertising,2021/12/20,222.50
Métro Média,Advertising,2021/12/25,427.50
CANAC,"Safety Supplies (fire extinguishers, first aid kits)",2021/12/31,7.99
Grand & Toy,Bulk Paper Purchases,2021/12/31,54.90
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/12/31,3.66
Les entretiens ménagers Chouinard inc.,Janitorial Services and Maintenance,2021/12/31,400.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/12/31,212.63
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/12/31,317.56
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/12/31,24.24
Vidéotron,Constituency Office Cable,2021/12/31,86.63
Vidéotron,Constituency Office Internet,2021/12/31,117.95
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/01/01,281.79
Éditions du Joyeux-Drille Inc.,Advertising,2022/01/04,500.00
Magalie Lajeunesse,Professional Communication Services,2022/01/10,595.83
Canada Post – Postes Canada,Courier Services,2022/01/12,14.45
Canada Post – Postes Canada,Courier Services,2022/01/12,6.52
Emploi Vélo Vert,Advertising,2022/01/12,500.00
Groupe Vocal Ambitus,Advertising,2022/01/14,250.00
Québec Nova Murale,Advertising,2022/01/17,500.00
SPORT MEDIA Inc.,Advertising,2022/01/17,1718.00
"IMMIGRANTS DE LA CAPITALE, LES",Advertising,2022/01/18,562.50
Messagerie Dynamique,"Printed Matter, Books, Newspapers and Subscriptions",2022/01/18,26.50
"Cercle Polaire, Le",Advertising,2022/01/19,500.00
Collectif du Trottoir,Advertising,2022/01/19,300.00
Pro Max Pub,Advertising,2022/01/20,450.00
RÉSEAU DU FORUM SOCIAL DE QUÉBEC CHAUDIÈRE-APPALACHES,Advertising,2022/01/20,250.00
Chevaliers de Colomb Conseil Courville 10993,Advertising,2022/01/22,200.00
Vidéotron,Constituency Office Cable,2022/01/28,86.63
Vidéotron,Constituency Office Internet,2022/01/28,117.95
Fondation de la pédagogie Freinet,Advertising,2022/01/29,200.00
Défilé de mode Aspiration,Advertising,2022/02/01,250.00
Hypertec Infrastructure Inc.,Office Rental and Related Fees,2022/02/01,2454.16
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/02/01,254.04
Christ Miyalou-Louvouelo,Advertising,2022/02/02,200.00
Éditions du Joyeux-Drille Inc.,Advertising,2022/02/02,500.00
Maison Richelieu Hébergement Jeunesse,Advertising,2022/02/03,200.00
Canada Post – Postes Canada,Courier Services,2022/02/08,8.42
Patro Roc-Amadour (1978) inc.,Advertising,2022/02/08,500.00
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2022/02/08,-3.18
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2022/02/08,-3.18
Solutions Novatorre Inc.,Web Site Hosting/Domain Name,2022/02/13,125.00
Canada Post – Postes Canada,Postage and Parcel Post,2022/02/14,505.41
Magalie Lajeunesse,Professional Communication Services,2022/02/16,645.84
COLLECTIF CULTUREL MONDO,Advertising,2022/02/17,300.00
Entraide Agapè,Advertising,2022/02/17,500.00
Messagerie Dynamique,"Printed Matter, Books, Newspapers and Subscriptions",2022/02/18,27.13
Cercle des fermières de Ste-Odile,Advertising,2022/02/20,300.00
Fondation Pause-Bonheur,Advertising,2022/02/21,500.00
Vidéotron,Constituency Office Internet,2022/02/25,117.95
Vidéotron,Constituency Office Cable,2022/02/25,86.63
Les Entretiens Ménagers Chouinard inc.,Janitorial Services and Maintenance,2022/02/28,400.00
