Supplier,Description,Date,Total
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/03/25,3.18
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/03/25,208.31
RECOPIERS,Photocopier Rental and Related Costs,2021/07/01,316.00
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2021/10/01,137.99
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2021/10/02,136.87
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2021/10/02,2.01
Rogers,Constituency Office Internet,2021/10/18,59.99
Rogers,Constituency Office Cable,2021/10/18,14.99
Mailchimp,Professional Communication Services,2021/10/29,58.85
Costoco,"Office Supplies, Stationery and Accessories",2021/10/30,18.99
Nofrills,Spring Water,2021/10/31,9.95
"Wang, Mei",External Language Training,2021/10/31,195.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2021/11/02,1.98
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2021/11/02,134.52
"Shoppers Drug Market ","Office Supplies, Stationery and Accessories",2021/11/02,5.34
Dollarama,"Office Supplies, Stationery and Accessories",2021/11/04,12.50
"Shoppers Drug Mart ","Office Supplies, Stationery and Accessories",2021/11/05,3.99
Cisco,Professional Communication Services,2021/11/11,39.34
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2021/11/16,258.69
Green P,Constituency Office Rental and Related Fees,2021/11/16,11.90
"Key company ","Office Supplies, Stationery and Accessories",2021/11/16,18.00
"Top select Canada ",Computer Equipment,2021/11/16,44.99
"Walmart ",Office Decor,2021/11/16,14.99
"Fob company ","Office Supplies, Stationery and Accessories",2021/11/18,50.00
Rogers,Constituency Office Internet,2021/11/18,59.99
Rogers,Constituency Office Cable,2021/11/18,14.99
Dollarama,"Office Supplies, Stationery and Accessories",2021/11/19,27.50
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2021/11/25,663.15
Mailchimp,Professional Communication Services,2021/11/29,60.77
"Wang, Mei",External Language Training,2021/11/30,325.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/12/01,38.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/12/01,252.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/12/01,21.25
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/12/01,18.54
"Shoppers Drug Mart ","Office Supplies, Stationery and Accessories",2021/12/01,5.34
"Magic Shows 2 Go ",Gifts given as a matter of protocol,2021/12/02,50.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2021/12/02,138.50
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2021/12/02,2.04
"Master, Hilla",Office Assistant,2021/12/05,624.00
Cisco,Professional Communication Services,2021/12/12,39.34
Dollarama,Gifts given as a matter of protocol,2021/12/17,46.16
Rogers,Constituency Office Internet,2021/12/18,59.99
Rogers,Constituency Office Cable,2021/12/18,14.99
Mailchimp,Professional Communication Services,2021/12/29,52.94
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/12/31,3.18
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/12/31,209.45
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/12/31,3.01
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/12/31,51.99
"Wang, Mei",External Language Training,2021/12/31,195.00
Argos Building Maintenance Inc.,Janitorial Services and Maintenance,2022/01/01,190.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/01/01,192.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/01/01,34.00
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/01/01,137.99
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/01/01,25.50
Wanthome Commercial Management Ltd.,Public Utilities,2022/01/01,413.41
DOLLARAMA,Gifts given as a matter of protocol,2022/01/05,13.00
Magic Shows 2 Go,Gifts given as a matter of protocol,2022/01/09,35.00
Cisco,Professional Communication Services,2022/01/11,39.34
Canada Post – Postes Canada,Courier Services,2022/01/12,0.45
Canada Post – Postes Canada,Courier Services,2022/01/12,24.01
Canada Post – Postes Canada,Courier Services,2022/01/12,15.75
House of Commons / Chambre des communes,External Printing Costs,2022/01/12,50.00
Canada Post – Postes Canada,Postage and Parcel Post,2022/01/14,350.13
YORK ALLIANCE INSURANCE BROKERS INC.,Constituency Office Insurance,2022/01/14,1509.84
Rogers,Constituency Office Internet,2022/01/18,59.99
Rogers,Constituency Office Cable,2022/01/18,14.99
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/01/20,138.36
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/01/20,2.04
Mailchimp,Professional Communication Services,2022/01/29,52.86
"Wang, Mei",External Language Training,2022/01/31,195.00
Argos Building Maintenance Inc.,Janitorial Services and Maintenance,2022/02/01,190.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/02/01,192.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/02/01,46.00
J&B Sports World Inc.,Advertising,2022/02/01,1302.87
"Master, Hilla",Office Assistant,2022/02/01,810.00
Nofrills,Gifts given as a matter of protocol,2022/02/01,3.89
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/02/01,21.25
Wanthome Commercial Management Ltd.,Office Rental and Related Fees,2022/02/01,3807.49
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/02/02,137.68
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/02/02,2.03
SING TAO NEWSPAPERS(CANADA 1988) LIMITED,Advertising,2022/02/02,988.00
Yaohua Supermarket,Gifts given as a matter of protocol,2022/02/02,15.96
T Vision Media Culture Limited,Advertising,2022/02/03,120.00
DOLLARAMA,Gifts given as a matter of protocol,2022/02/07,6.25
"Food Depot Supermarket ",Gifts given as a matter of protocol,2022/02/07,17.97
"Hong Tai Supermarket ",Gifts given as a matter of protocol,2022/02/07,15.98
Nofrills,Gifts given as a matter of protocol,2022/02/07,18.87
Apple Canada Inc.,Repair of Telecommunication Equipment,2022/02/08,-91.00
