Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0219594,,,,,,,,,13633.9200,384.6100,1082.0900,2.5000,1.0000,0,15100.62
T0219594,,,,Dependant,To unite the family with the Member,2021/11/16,Thompson (City / Ville),Ottawa,,,,,,,
T0219594,,,"Ashton, Niki",Member,To travel to/from constituency and Ottawa,2021/11/25,Winnipeg,Ottawa,,,,,,,
T0219594,,,"Ashton, Niki",Member,To travel to/from constituency and Ottawa,2021/11/16,Thompson (City / Ville),Ottawa,,,,,,,
T0219594,,,,Dependant,To unite the family with the Member,2021/11/23,Ottawa,Winnipeg,,,,,,,
T0219594,,,"Ashton, Niki",Member,To attend meetings with stakeholders about business of the House,2021/11/26,Toronto,Winnipeg,,,,,,,
T0219594,,,"Ashton, Niki",Member,To travel to/from constituency and Ottawa,2021/11/23,Ottawa,Winnipeg,,,,,,,
T0219594,,,,Dependant,To unite the family with the Member,2021/11/16,Thompson (City / Ville),Ottawa,,,,,,,
T0219594,,,"Ashton, Niki",Member,To attend meetings with stakeholders about business of the House,2021/11/26,Ottawa,Toronto,,,,,,,
T0219594,,,,Dependant,To unite the family with the Member,2021/11/23,Ottawa,Winnipeg,,,,,,,
T0219594,,,,Dependant,To unite the family with the Member,2021/12/02,Winnipeg,Thompson (City / Ville),,,,,,,
T0219594,,,,Dependant,To unite the family with the Member,2021/12/02,Winnipeg,Thompson (City / Ville),,,,,,,
T0219594,,,"Ashton, Niki",Member,To attend meetings with stakeholders about business of the House,2021/12/02,Winnipeg,Thompson (City / Ville),,,,,,,
T0222183,2021/08/18,2021/08/18,,,,,,,401.9900,0.0000,0.0000,0.0000,0,0,401.99
T0222183,2021/08/18,2021/08/18,"Ashton, Niki",Member,To attend a constituency or community event,2021/08/18,Winnipeg,Norway House,,,,,,,
T0222788,2021/11/13,2021/11/13,,,,,,,426.1600,0.0000,45.0800,0,0.0000,0,471.24
T0222788,2021/11/13,2021/11/13,"Pruder, Emily",Employee,To attend a constituency or community event,2021/11/13,Thompson,The Pas,,,,,,,
