Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0220735,2021/10/21,2021/12/04,,,,,,,167.1900,0.0000,0.0000,0.0000,0,0,167.19
T0220735,2021/10/21,2021/12/04,"Hopkins, Randy",Employee,Attending event with Member,2021/10/21,Brockville,Prescott,,,,,,,
T0220735,2021/10/21,2021/12/04,"Hopkins, Randy",Employee,Attending event with Member,2021/10/21,Prescott,Brockville,,,,,,,
T0220735,2021/10/21,2021/12/04,"Hopkins, Randy",Employee,Attending event with Member,2021/11/11,Brockville,Westport,,,,,,,
T0220735,2021/10/21,2021/12/04,"Hopkins, Randy",Employee,Attending event with Member,2021/11/11,Westport,Merrickville,,,,,,,
T0220735,2021/10/21,2021/12/04,"Hopkins, Randy",Employee,Attending event with Member,2021/11/11,Merrickville,Brockville,,,,,,,
T0220735,2021/10/21,2021/12/04,"Hopkins, Randy",Employee,Attending event with Member,2021/12/04,Brockville,Gananoque,,,,,,,
T0220735,2021/10/21,2021/12/04,"Hopkins, Randy",Employee,Attending event with Member,2021/12/04,Gananoque,Brockville,,,,,,,
T0221508,2021/12/13,2021/12/17,,,,,,,451.1200,0.0000,171.7900,4.0000,0,0,622.91
T0221508,2021/12/13,2021/12/17,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/12/15,Brockville,Ottawa,,,,,,,
T0221508,2021/12/13,2021/12/17,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/12/15,Ottawa,Brockville,,,,,,,
T0221508,2021/12/13,2021/12/17,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/12/16,Brockville,Ottawa,,,,,,,
T0221508,2021/12/13,2021/12/17,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/12/16,Ottawa,Brockville,,,,,,,
T0221508,2021/12/13,2021/12/17,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/12/13,Brockville,Ottawa,,,,,,,
T0221508,2021/12/13,2021/12/17,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/12/13,Ottawa,Brockville,,,,,,,
T0221508,2021/12/13,2021/12/17,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/12/14,Brockville,Ottawa,,,,,,,
T0221508,2021/12/13,2021/12/17,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/12/14,Ottawa,Brockville,,,,,,,
T0222814,2022/01/25,2022/02/04,,,,,,,902.2400,0.0000,399.6400,8.0000,0,0,1301.88
T0222814,2022/01/25,2022/02/04,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2022/01/25,Brockville,Ottawa,,,,,,,
T0222814,2022/01/25,2022/02/04,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2022/02/01,Ottawa,Brockville,,,,,,,
T0222814,2022/01/25,2022/02/04,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2022/02/02,Brockville,Ottawa,,,,,,,
T0222814,2022/01/25,2022/02/04,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2022/02/02,Ottawa,Brockville,,,,,,,
T0222814,2022/01/25,2022/02/04,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2022/02/03,Brockville,Ottawa,,,,,,,
T0222814,2022/01/25,2022/02/04,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2022/02/03,Ottawa,Brockville,,,,,,,
T0222814,2022/01/25,2022/02/04,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2022/02/04,Brockville,Ottawa,,,,,,,
T0222814,2022/01/25,2022/02/04,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2022/02/04,Ottawa,Brockville,,,,,,,
T0222814,2022/01/25,2022/02/04,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2022/01/25,Ottawa,Brockville,,,,,,,
T0222814,2022/01/25,2022/02/04,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2022/01/26,Brockville,Ottawa,,,,,,,
T0222814,2022/01/25,2022/02/04,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2022/01/26,Ottawa,Brockville,,,,,,,
T0222814,2022/01/25,2022/02/04,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2022/01/27,Brockville,Ottawa,,,,,,,
T0222814,2022/01/25,2022/02/04,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2022/01/27,Ottawa,Brockville,,,,,,,
T0222814,2022/01/25,2022/02/04,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2022/01/31,Brockville,Ottawa,,,,,,,
T0222814,2022/01/25,2022/02/04,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2022/01/31,Ottawa,Brockville,,,,,,,
T0222814,2022/01/25,2022/02/04,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2022/02/01,Brockville,Ottawa,,,,,,,
T0222820,2022/02/07,2022/02/11,,,,,,,563.9000,0.0000,265.9800,5.0000,0,0,829.88
T0222820,2022/02/07,2022/02/11,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2022/02/07,Brockville,Ottawa,,,,,,,
T0222820,2022/02/07,2022/02/11,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2022/02/11,Ottawa,Brockville,,,,,,,
T0222820,2022/02/07,2022/02/11,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2022/02/07,Ottawa,Brockville,,,,,,,
T0222820,2022/02/07,2022/02/11,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2022/02/08,Brockville,Ottawa,,,,,,,
T0222820,2022/02/07,2022/02/11,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2022/02/08,Ottawa,Brockville,,,,,,,
T0222820,2022/02/07,2022/02/11,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2022/02/09,Brockville,Ottawa,,,,,,,
T0222820,2022/02/07,2022/02/11,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2022/02/09,Ottawa,Brockville,,,,,,,
T0222820,2022/02/07,2022/02/11,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2022/02/10,Brockville,Ottawa,,,,,,,
T0222820,2022/02/07,2022/02/11,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2022/02/10,Ottawa,Brockville,,,,,,,
T0222820,2022/02/07,2022/02/11,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2022/02/11,Brockville,Ottawa,,,,,,,
T0223307,2022/02/12,2022/02/12,,,,,,,57.3800,0.0000,0.0000,0.0000,0,0,57.38
T0223307,2022/02/12,2022/02/12,"Hopkins, Randy",Employee,Attending event with Member,2022/02/12,Brockville,Gananoque,,,,,,,
T0223307,2022/02/12,2022/02/12,"Hopkins, Randy",Employee,Attending event with Member,2022/02/12,Gananoque,Brockville,,,,,,,
T0223315,2022/02/13,2022/02/19,,,,,,,676.6800,0.0000,305.0000,6.0000,0,0,981.68
T0223315,2022/02/13,2022/02/19,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2022/02/14,Brockville,Ottawa,,,,,,,
T0223315,2022/02/13,2022/02/19,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2022/02/18,Ottawa,Brockville,,,,,,,
T0223315,2022/02/13,2022/02/19,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2022/02/19,Brockville,Ottawa,,,,,,,
T0223315,2022/02/13,2022/02/19,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2022/02/19,Ottawa,Brockville,,,,,,,
T0223315,2022/02/13,2022/02/19,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2022/02/14,Ottawa,Brockville,,,,,,,
T0223315,2022/02/13,2022/02/19,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2022/02/15,Brockville,Ottawa,,,,,,,
