Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0221205,2021/10/21,2021/12/07,,,,,,,250.3600,0.0000,62.3100,0.0000,0,0,312.67
T0221205,2021/10/21,2021/12/07,"Giblin, Deborah",Employee,To conduct constituency office business,2021/10/21,Morden,Altona,,,,,,,
T0221205,2021/10/21,2021/12/07,"Giblin, Deborah",Employee,To conduct constituency office business,2021/12/07,Morden,Morden,,,,,,,
T0221205,2021/10/21,2021/12/07,"Giblin, Deborah",Employee,To conduct constituency office business,2021/10/21,Altona,Morden,,,,,,,
T0221205,2021/10/21,2021/12/07,"Giblin, Deborah",Employee,Attending event with Member,2021/11/10,Morden,Altona,,,,,,,
T0221205,2021/10/21,2021/12/07,"Giblin, Deborah",Employee,Attending event with Member,2021/11/10,Altona,Morden,,,,,,,
T0221205,2021/10/21,2021/12/07,"Giblin, Deborah",Employee,Attending event with Member,2021/11/19,Morden,Carman,,,,,,,
T0221205,2021/10/21,2021/12/07,"Giblin, Deborah",Employee,Attending event with Member,2021/11/19,Carman,Morden,,,,,,,
T0221205,2021/10/21,2021/12/07,"Giblin, Deborah",Employee,To conduct constituency office business,2021/12/04,Morden,Oak Bluff,,,,,,,
T0221205,2021/10/21,2021/12/07,"Giblin, Deborah",Employee,To conduct constituency office business,2021/12/04,Oak Bluff,Morden,,,,,,,
T0221205,2021/10/21,2021/12/07,"Giblin, Deborah",Employee,To conduct constituency office business,2021/12/07,Morden,Morden,,,,,,,
T0221211,2021/11/09,2021/11/09,,,,,,,45.8000,0.0000,0.0000,0,0,0,45.80
T0221211,2021/11/09,2021/11/09,"Kyle, Colleen",Employee,Attending event with Member,2021/11/09,Morden,Carman,,,,,,,
T0221211,2021/11/09,2021/11/09,"Kyle, Colleen",Employee,Attending event with Member,2021/11/09,Carman,Morden,,,,,,,
T0220025,2021/12/05,2021/12/17,,,,,,,5258.1300,1337.9500,1096.0700,3.0000,0.0000,0,7692.15
T0220025,2021/12/05,2021/12/17,"Bergen, Hon. Candice",Member,To travel to/from constituency and Ottawa,2021/12/05,Oak Bluff,Ottawa,,,,,,,
T0220025,2021/12/05,2021/12/17,"Bergen, Hon. Candice",Member,To attend meetings with stakeholders about business of the House,2021/12/10,Ottawa,Toronto,,,,,,,
T0220025,2021/12/05,2021/12/17,"Bergen, Hon. Candice",Member,To attend meetings with stakeholders about business of the House,2021/12/12,Toronto,Ottawa,,,,,,,
T0220025,2021/12/05,2021/12/17,,Designated Traveller,To unite the family with the Member,2021/12/07,Oak Bluff,Ottawa,,,,,,,
T0220025,2021/12/05,2021/12/17,,Designated Traveller,To unite the family with the Member,2021/12/09,Ottawa,Oak Bluff,,,,,,,
T0220025,2021/12/05,2021/12/17,,Designated Traveller,To unite the family with the Member,2021/12/15,Oak Bluff,Ottawa,,,,,,,
T0220025,2021/12/05,2021/12/17,"Bergen, Hon. Candice",Member,To travel to/from constituency and Ottawa,2021/12/17,Ottawa,Oak Bluff,,,,,,,
T0220025,2021/12/05,2021/12/17,,Designated Traveller,To unite the family with the Member,2021/12/17,Ottawa,Oak Bluff,,,,,,,
T0221587,2021/12/21,2022/01/07,,,,,,,394.2000,0.0000,249.4100,0.0000,0.0000,0,643.61
T0221587,2021/12/21,2022/01/07,"Bergen, Hon. Candice",Member,To attend a constituency or community event,2021/12/21,Oak Bluff,Portage la Prairie,,,,,,,
T0221587,2021/12/21,2022/01/07,"Bergen, Hon. Candice",Member,To attend meetings with stakeholders about business of the House,2021/12/23,Winnipeg,Oak Bluff,,,,,,,
T0221587,2021/12/21,2022/01/07,"Bergen, Hon. Candice",Member,To attend meetings with stakeholders about business of the House,2022/01/07,Oak Bluff,Morden,,,,,,,
T0221587,2021/12/21,2022/01/07,"Bergen, Hon. Candice",Member,To attend meetings with stakeholders about business of the House,2022/01/07,Morden,Oak Bluff,,,,,,,
T0221587,2021/12/21,2022/01/07,"Bergen, Hon. Candice",Member,To attend a constituency or community event,2021/12/21,Portage la Prairie,Carman,,,,,,,
