Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0219003,2021/11/06,2021/11/11,,,,,,,2803.5400,251.4500,171.3400,1.0000,0,0,3226.33
T0219003,2021/11/06,2021/11/11,"Blaney, Rachel",Member,To travel to/from constituency and Ottawa,2021/11/06,Campbell River,Ottawa,,,,,,,
T0219003,2021/11/06,2021/11/11,"Blaney, Rachel",Member,To travel to/from constituency and Ottawa,2021/11/11,Ottawa,Campbell River,,,,,,,
T0221428,2021/11/17,2021/11/21,,,,,,,2677.7800,0.0000,0.0000,1.0000,0,0,2677.78
T0221428,2021/11/17,2021/11/21,,Designated Traveller,To unite the family with the Member,2021/11/17,Campbell River,Ottawa,,,,,,,
T0221428,2021/11/17,2021/11/21,,Designated Traveller,To unite the family with the Member,2021/11/21,Ottawa,Campbell River,,,,,,,
T0221421,2021/11/17,2021/12/03,,,,,,,2679.5400,0.0000,771.0300,1.0000,0,0,3450.57
T0221421,2021/11/17,2021/12/03,"Blaney, Rachel",Member,To travel to/from constituency and Ottawa,2021/11/17,Campbell River,Ottawa,,,,,,,
T0221421,2021/11/17,2021/12/03,"Blaney, Rachel",Member,To travel to/from constituency and Ottawa,2021/12/03,Ottawa,Campbell River,,,,,,,
T0223560,2021/12/03,2021/12/03,,,,,,,26.5400,0.0000,0.0000,0.0000,0,0,26.54
T0223560,2021/12/03,2021/12/03,"Ponsford, Sophie",Employee,To conduct constituency office business,2021/12/03,Powell River,Campbell River,,,,,,,
T0223560,2021/12/03,2021/12/03,"Ponsford, Sophie",Employee,To conduct constituency office business,2021/12/03,Campbell River,Powell River,,,,,,,
T0221629,2021/12/05,2021/12/19,,,,,,,2717.6600,156.3400,685.3600,1.0000,0,0,3559.36
T0221629,2021/12/05,2021/12/19,"Blaney, Rachel",Member,To travel to/from constituency and Ottawa,2021/12/05,Campbell River,Ottawa,,,,,,,
T0221629,2021/12/05,2021/12/19,"Blaney, Rachel",Member,To travel to/from constituency and Ottawa,2021/12/18,Ottawa,Campbell River,,,,,,,
T0222002,2021/12/07,2022/01/07,,,,,,,0.0000,34.9900,0.0000,0,0,0,34.99
T0222002,2021/12/07,2022/01/07,"Blaney, Rachel",Member,Secondary Residence,2021/12/07,Ottawa,Ottawa,,,,,,,
T0226668,2022/01/07,2022/02/07,,,,,,,0.0000,34.0400,0.0000,0,0,0,34.04
T0226668,2022/01/07,2022/02/07,"Blaney, Rachel",Member,Secondary Residence,2022/01/07,Ottawa,Ottawa,,,,,,,
T0222108,2022/01/25,2022/01/26,,,,,,,156.0400,132.6900,41.3000,0.0000,0,0,330.03
T0222108,2022/01/25,2022/01/26,"Blaney, Rachel",Member,To attend meetings about constituency issues,2022/01/25,Campbell River,Comox,,,,,,,
T0222108,2022/01/25,2022/01/26,"Blaney, Rachel",Member,To attend meetings about constituency issues,2022/01/26,Comox,Campbell River,,,,,,,
T0222108,2022/01/25,2022/01/26,"Blaney, Rachel",Member,To attend a constituency or community event,2022/01/25,Comox,Powell River,,,,,,,
