Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0220481,2021/10/20,2021/10/28,,,,,,,1728.7400,476.7900,0.0000,1.0000,0,0,2205.53
T0220481,2021/10/20,2021/10/28,"Sorto, Gloria Stefany",Employee,To travel to/from constituency and Ottawa,2021/10/20,Edmonton,Ottawa,,,,,,,
T0220472,2021/10/20,2021/10/28,,,,,,,1728.7600,476.7900,0.0000,1.0000,0,0,2205.55
T0220472,2021/10/20,2021/10/28,"Bombini, Giustina",Employee,To travel to/from constituency and Ottawa,2021/10/20,Edmonton,Ottawa,,,,,,,
T0220481,2021/10/20,2021/10/28,"Sorto, Gloria Stefany",Employee,To travel to/from constituency and Ottawa,2021/10/28,Ottawa,Edmonton,,,,,,,
T0220472,2021/10/20,2021/10/28,"Bombini, Giustina",Employee,To travel to/from constituency and Ottawa,2021/10/28,Ottawa,Edmonton,,,,,,,
T0222407,2021/11/28,2021/12/03,,,,,,,2264.4600,1044.0200,350.6700,1.0000,0,0,3659.15
T0222407,2021/11/28,2021/12/03,"Boissonnault, Hon. Randy",Member,To travel to/from constituency and Ottawa,2021/11/28,Edmonton,Ottawa,,,,,,,
T0222407,2021/11/28,2021/12/03,"Boissonnault, Hon. Randy",Member,To travel to/from constituency and Ottawa,2021/12/03,Ottawa,Edmonton,,,,,,,
T0222378,2021/11/29,2021/12/02,,,,,,,1563.3100,533.0400,143.0800,1.0000,0,0,2239.43
T0222378,2021/11/29,2021/12/02,"Sorto, Gloria Stefany",Employee,To travel to/from constituency and Ottawa,2021/11/29,Edmonton,Ottawa,,,,,,,
T0222378,2021/11/29,2021/12/02,"Sorto, Gloria Stefany",Employee,To travel to/from constituency and Ottawa,2021/12/02,Ottawa,Edmonton,,,,,,,
T0222402,2021/12/05,2021/12/10,,,,,,,2255.8000,1044.0200,287.9000,1.0000,0,0,3587.72
T0222402,2021/12/05,2021/12/10,"Boissonnault, Hon. Randy",Member,To travel to/from constituency and Ottawa,2021/12/05,Edmonton,Ottawa,,,,,,,
T0222402,2021/12/05,2021/12/10,"Boissonnault, Hon. Randy",Member,To travel to/from constituency and Ottawa,2021/12/10,Ottawa,Edmonton,,,,,,,
T0222624,2021/12/12,2021/12/15,,,,,,,2589.7600,835.2100,232.8600,0.5000,1.0000,0,3657.83
T0222624,2021/12/12,2021/12/15,"Boissonnault, Hon. Randy",Member,To travel to/from constituency and Ottawa,2021/12/12,Edmonton,Ottawa,,,,,,,
T0222624,2021/12/12,2021/12/15,"Boissonnault, Hon. Randy",Member,To conduct constituency office business,2021/12/15,Ottawa,Toronto,,,,,,,
T0222624,2021/12/12,2021/12/15,"Boissonnault, Hon. Randy",Member,To conduct constituency office business,2021/12/15,Toronto,Edmonton,,,,,,,
T0226550,2021/12/15,2021/12/15,,,,,,,6.4400,0.0000,0.0000,0,0.0000,0,6.44
T0226550,2021/12/15,2021/12/15,"Macdonald, Cameron",Employee,To support a parliamentary exchange,2021/12/15,Ottawa,Ottawa,,,,,,,
T0224482,2022/02/06,2022/02/11,,,,,,,2362.9900,692.5400,85.6700,1.0000,0,0,3141.20
T0224482,2022/02/06,2022/02/11,"Boissonnault, Hon. Randy",Member,To travel to/from constituency and Ottawa,2022/02/06,Edmonton,Ottawa,,,,,,,
T0224482,2022/02/06,2022/02/11,"Boissonnault, Hon. Randy",Member,To travel to/from constituency and Ottawa,2022/02/11,Ottawa,Edmonton,,,,,,,
T0224515,2022/02/13,2022/02/17,,,,,,,2362.9900,753.3500,85.6700,1.0000,0,0,3202.01
T0224515,2022/02/13,2022/02/17,"Boissonnault, Hon. Randy",Member,To travel to/from constituency and Ottawa,2022/02/13,Edmonton,Ottawa,,,,,,,
T0224515,2022/02/13,2022/02/17,"Boissonnault, Hon. Randy",Member,To travel to/from constituency and Ottawa,2022/02/17,Ottawa,Edmonton,,,,,,,
T0224656,2022/02/27,2022/03/03,,,,,,,2656.6900,835.2100,0.0000,1.0000,0,0,3491.90
T0224656,2022/02/27,2022/03/03,"Boissonnault, Hon. Randy",Member,To travel to/from constituency and Ottawa,2022/02/27,Edmonton,Ottawa,,,,,,,
T0224656,2022/02/27,2022/03/03,"Boissonnault, Hon. Randy",Member,To travel to/from constituency and Ottawa,2022/03/03,Ottawa,Edmonton,,,,,,,
T0226851,2022/03/20,2022/03/25,,,,,,,3430.4200,836.4000,85.6700,1.0000,0,0,4352.49
T0226851,2022/03/20,2022/03/25,"Boissonnault, Hon. Randy",Member,To travel to/from constituency and Ottawa,2022/03/20,Edmonton,Ottawa,,,,,,,
T0226851,2022/03/20,2022/03/25,"Boissonnault, Hon. Randy",Member,To travel to/from constituency and Ottawa,2022/03/25,Ottawa,Edmonton,,,,,,,
T0226874,2022/03/27,2022/03/31,,,,,,,1167.7900,1044.0200,85.6700,0.5000,0,0,2297.48
T0226874,2022/03/27,2022/03/31,"Boissonnault, Hon. Randy",Member,To travel to/from constituency and Ottawa,2022/03/27,Edmonton,Ottawa,,,,,,,
