Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0222590,2021/10/24,2021/10/27,,,,,,,1622.6400,0.0000,0.0000,2.0000,0,0,1622.64
T0222590,2021/10/24,2021/10/27,,Designated Traveller,To unite the family with the Member,2021/10/24,Halifax,Ottawa,,,,,,,
T0222590,2021/10/24,2021/10/27,,Designated Traveller,To unite the family with the Member,2021/10/27,Ottawa,Halifax,,,,,,,
T0222590,2021/10/24,2021/10/27,,Dependant,To travel to/from constituency and Ottawa,2021/10/24,Halifax,Ottawa,,,,,,,
T0222590,2021/10/24,2021/10/27,,Dependant,To travel to/from constituency and Ottawa,2021/10/27,Ottawa,Halifax,,,,,,,
T0219286,2021/11/22,2021/11/26,,,,,,,761.2600,751.2900,134.3300,1.0000,0,0,1646.88
T0219286,2021/11/22,2021/11/26,"Findlay, Kyle",Employee,To travel to/from constituency and Ottawa,2021/11/22,Halifax,Ottawa,,,,,,,
T0219286,2021/11/22,2021/11/26,"Findlay, Kyle",Employee,To travel to/from constituency and Ottawa,2021/11/26,Ottawa,Halifax,,,,,,,
T0223091,2021/12/06,2021/12/10,,,,,,,1137.9000,782.7600,458.2600,1.0000,0,0,2378.92
T0223091,2021/12/06,2021/12/10,"Fraser, Hon. Sean",Member,To travel to/from constituency and Ottawa,2021/12/06,Halifax,Ottawa,,,,,,,
T0223091,2021/12/06,2021/12/10,"Fraser, Hon. Sean",Member,To travel to/from constituency and Ottawa,2021/12/10,Ottawa,Halifax,,,,,,,
T0221040,2021/12/13,2021/12/15,,,,,,,874.0100,375.6400,303.3500,1.0000,0,0,1553.00
T0221040,2021/12/13,2021/12/15,"Fraser, Hon. Sean",Member,To travel to/from constituency and Ottawa,2021/12/13,New Glasgow,Ottawa,,,,,,,
T0221040,2021/12/13,2021/12/15,"Fraser, Hon. Sean",Member,To travel to/from constituency and Ottawa,2021/12/15,Ottawa,New Glasgow,,,,,,,
T0224251,2022/02/13,2022/02/18,,,,,,,886.7400,939.1100,505.5800,1.0000,0,0,2331.43
T0224251,2022/02/13,2022/02/18,"Fraser, Hon. Sean",Member,To travel to/from constituency and Ottawa,2022/02/13,New Glasgow,Ottawa,,,,,,,
T0224251,2022/02/13,2022/02/18,"Fraser, Hon. Sean",Member,To travel to/from constituency and Ottawa,2022/02/18,Ottawa,New Glasgow,,,,,,,
T0224369,2022/02/19,2022/02/19,,,,,,,35.9600,0.0000,0.0000,0.0000,0,0,35.96
T0224369,2022/02/19,2022/02/19,"Hawley, Brandon",Employee,To conduct constituency office business,2022/02/19,Merigomish,New Glasgow,,,,,,,
T0224369,2022/02/19,2022/02/19,"Hawley, Brandon",Employee,To conduct constituency office business,2022/02/19,New Glasgow,Pictou,,,,,,,
