Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0225582,2021/05/20,2021/05/20,,,,,,,7.6000,0.0000,0.0000,0.0000,0,0,7.60
T0225582,2021/05/20,2021/05/20,"Jowhari, Majid",Member,To attend a constituency or community event,2021/05/20,Richmond Hill,Richmond Hill,,,,,,,
T0225582,2021/05/20,2021/05/20,"Jowhari, Majid",Member,To attend a constituency or community event,2021/05/20,Richmond Hill,Richmond Hill,,,,,,,
T0225585,2021/06/11,2021/06/30,,,,,,,33.2400,0.0000,0.0000,0.0000,0.0000,0,33.24
T0225585,2021/06/11,2021/06/30,"Jowhari, Majid",Member,To attend a constituency or community event,2021/06/11,Richmond Hill,Richmond Hill,,,,,,,
T0225585,2021/06/11,2021/06/30,"Jowhari, Majid",Member,To attend a constituency or community event,2021/06/11,Richmond Hill,Richmond Hill,,,,,,,
T0225585,2021/06/11,2021/06/30,"Jowhari, Majid",Member,To attend a constituency or community event,2021/06/13,Richmond Hill,Vaughan,,,,,,,
T0225585,2021/06/11,2021/06/30,"Jowhari, Majid",Member,To attend a constituency or community event,2021/06/13,Vaughan,Richmond Hill,,,,,,,
T0225585,2021/06/11,2021/06/30,"Jowhari, Majid",Member,To attend a constituency or community event,2021/06/13,Richmond Hill,Richmond Hill,,,,,,,
T0225585,2021/06/11,2021/06/30,"Jowhari, Majid",Member,To attend a constituency or community event,2021/06/13,Richmond Hill,Richmond Hill,,,,,,,
T0225585,2021/06/11,2021/06/30,"Jowhari, Majid",Member,To attend a constituency or community event,2021/06/30,Richmond Hill,Richmond Hill,,,,,,,
T0225585,2021/06/11,2021/06/30,"Jowhari, Majid",Member,To attend a constituency or community event,2021/06/30,Richmond Hill,Richmond Hill,,,,,,,
T0225669,2021/07/01,2021/07/31,,,,,,,62.6600,0.0000,0.0000,0.0000,0.0000,0,62.66
T0225669,2021/07/01,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/11,Richmond Hill,Richmond Hill,,,,,,,
T0225669,2021/07/01,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/22,Richmond Hill,Richmond Hill,,,,,,,
T0225669,2021/07/01,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/22,Richmond Hill,Richmond Hill,,,,,,,
T0225669,2021/07/01,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/22,Richmond Hill,Richmond Hill,,,,,,,
T0225669,2021/07/01,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/22,Richmond Hill,Richmond Hill,,,,,,,
T0225669,2021/07/01,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/22,Richmond Hill,Richmond Hill,,,,,,,
T0225669,2021/07/01,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/23,Richmond Hill,Vaughan,,,,,,,
T0225669,2021/07/01,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/23,Vaughan,Richmond Hill,,,,,,,
T0225669,2021/07/01,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/23,Richmond Hill,Richmond Hill,,,,,,,
T0225669,2021/07/01,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/23,Richmond Hill,Richmond Hill,,,,,,,
T0225669,2021/07/01,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/11,Richmond Hill,Richmond Hill,,,,,,,
T0225669,2021/07/01,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/19,Richmond Hill,Richmond Hill,,,,,,,
T0225669,2021/07/01,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/19,Richmond Hill,Richmond Hill,,,,,,,
T0225669,2021/07/01,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/20,Richmond Hill,Richmond Hill,,,,,,,
T0225669,2021/07/01,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/20,Richmond Hill,Richmond Hill,,,,,,,
T0225669,2021/07/01,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/21,Richmond Hill,Richmond Hill,,,,,,,
T0225669,2021/07/01,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/21,Richmond Hill,Richmond Hill,,,,,,,
T0225669,2021/07/01,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/21,Richmond Hill,Richmond Hill,,,,,,,
T0225670,2021/07/20,2021/07/31,,,,,,,72.3900,0.0000,0.0000,0.0000,0.0000,0,72.39
T0225670,2021/07/20,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/26,Richmond Hill,Richmond Hill,,,,,,,
T0225670,2021/07/20,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/28,East Gwillimbury,Richmond Hill,,,,,,,
T0225670,2021/07/20,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/28,Richmond Hill,Richmond Hill,,,,,,,
T0225670,2021/07/20,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/28,Richmond Hill,Richmond Hill,,,,,,,
T0225670,2021/07/20,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/29,Richmond Hill,Richmond Hill,,,,,,,
T0225670,2021/07/20,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/29,Richmond Hill,Richmond Hill,,,,,,,
T0225670,2021/07/20,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/29,Richmond Hill,Richmond Hill,,,,,,,
T0225670,2021/07/20,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/26,Richmond Hill,Richmond Hill,,,,,,,
T0225670,2021/07/20,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/26,Richmond Hill,Richmond Hill,,,,,,,
T0225670,2021/07/20,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/26,Richmond Hill,Richmond Hill,,,,,,,
T0225670,2021/07/20,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/26,Richmond Hill,Richmond Hill,,,,,,,
T0225670,2021/07/20,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/26,Richmond Hill,Richmond Hill,,,,,,,
T0225670,2021/07/20,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/27,Richmond Hill,Richmond Hill,,,,,,,
T0225670,2021/07/20,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/27,Richmond Hill,Richmond Hill,,,,,,,
T0225670,2021/07/20,2021/07/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/07/28,Richmond Hill,East Gwillimbury,,,,,,,
T0226711,2021/07/23,2021/07/23,,,,,,,14.5600,0.0000,0.0000,0.0000,0,0,14.56
T0226711,2021/07/23,2021/07/23,"Alizadeh, Soheila",Employee,Attending event with Member,2021/07/23,Richmond Hill,Richmond Hill,,,,,,,
T0225709,2021/08/01,2021/08/13,,,,,,,24.4700,0.0000,0.0000,0.0000,0.0000,0,24.47
T0225709,2021/08/01,2021/08/13,"Jowhari, Majid",Member,To attend a constituency or community event,2021/08/04,Richmond Hill,Markham,,,,,,,
T0225709,2021/08/01,2021/08/13,"Jowhari, Majid",Member,To attend a constituency or community event,2021/08/04,Markham,Richmond Hill,,,,,,,
T0225709,2021/08/01,2021/08/13,"Jowhari, Majid",Member,To attend a constituency or community event,2021/08/04,Richmond Hill,Richmond Hill,,,,,,,
T0225709,2021/08/01,2021/08/13,"Jowhari, Majid",Member,To attend a constituency or community event,2021/08/04,Richmond Hill,Richmond Hill,,,,,,,
T0225709,2021/08/01,2021/08/13,"Jowhari, Majid",Member,To attend a constituency or community event,2021/08/04,Richmond Hill,Richmond Hill,,,,,,,
T0225709,2021/08/01,2021/08/13,"Jowhari, Majid",Member,To attend a constituency or community event,2021/08/04,Richmond Hill,Richmond Hill,,,,,,,
T0225709,2021/08/01,2021/08/13,"Jowhari, Majid",Member,To attend a constituency or community event,2021/08/10,Richmond Hill,Richmond Hill,,,,,,,
T0225709,2021/08/01,2021/08/13,"Jowhari, Majid",Member,To attend a constituency or community event,2021/08/10,Richmond Hill,Richmond Hill,,,,,,,
T0225709,2021/08/01,2021/08/13,"Jowhari, Majid",Member,To attend a constituency or community event,2021/08/10,Richmond Hill,Richmond Hill,,,,,,,
T0225722,2021/09/21,2021/09/30,,,,,,,5.8600,0.0000,0.0000,0.0000,0.0000,0,5.86
T0225722,2021/09/21,2021/09/30,"Jowhari, Majid",Member,To attend a constituency or community event,2021/09/22,Richmond Hill,Richmond Hill,,,,,,,
T0225722,2021/09/21,2021/09/30,"Jowhari, Majid",Member,To attend a constituency or community event,2021/09/22,Richmond Hill,Richmond Hill,,,,,,,
T0225722,2021/09/21,2021/09/30,"Jowhari, Majid",Member,To attend a constituency or community event,2021/09/25,Richmond Hill,Richmond Hill,,,,,,,
T0225722,2021/09/21,2021/09/30,"Jowhari, Majid",Member,To attend a constituency or community event,2021/09/25,Richmond Hill,Richmond Hill,,,,,,,
T0225722,2021/09/21,2021/09/30,"Jowhari, Majid",Member,To attend a constituency or community event,2021/09/26,Richmond Hill,Markham,,,,,,,
T0225722,2021/09/21,2021/09/30,"Jowhari, Majid",Member,To attend a constituency or community event,2021/09/26,Markham,Richmond Hill,,,,,,,
T0225804,2021/10/01,2021/10/31,,,,,,,108.8000,0.0000,0.0000,0.0000,0.0000,0,108.80
T0225804,2021/10/01,2021/10/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/10/01,Richmond Hill,Toronto,,,,,,,
T0225804,2021/10/01,2021/10/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/10/15,Richmond Hill,Richmond Hill,,,,,,,
T0225804,2021/10/01,2021/10/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/10/16,Richmond Hill,Vaughan,,,,,,,
T0225804,2021/10/01,2021/10/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/10/16,Vaughan,Richmond Hill,,,,,,,
T0225804,2021/10/01,2021/10/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/10/20,Richmond Hill,Richmond Hill,,,,,,,
T0225804,2021/10/01,2021/10/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/10/20,Richmond Hill,Richmond Hill,,,,,,,
T0225804,2021/10/01,2021/10/31,"Jowhari, Majid",Member,To attend a constituency or community event,2021/10/20,Richmond Hill,Richmond Hill,,,,,,,
