Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0221966,2021/03/27,2021/08/29,,,,,,,0.0000,196.6400,0.0000,0,0,0,196.64
T0221966,2021/03/27,2021/08/29,"Julian, Peter",Member,Secondary Residence,2021/03/27,Ottawa,Ottawa,,,,,,,
T0221966,2021/03/27,2021/08/29,"Julian, Peter",Member,Secondary Residence,2021/07/29,Ottawa,Ottawa,,,,,,,
T0221966,2021/03/27,2021/08/29,"Julian, Peter",Member,Secondary Residence,2021/06/27,Ottawa,Ottawa,,,,,,,
T0220037,2021/09/28,2022/01/31,,,,,,,0.0000,141.5500,0.0000,0,0,0,141.55
T0220037,2021/09/28,2022/01/31,"Julian, Peter",Member,Secondary Residence,2021/11/03,Ottawa,Ottawa,,,,,,,
T0220037,2021/09/28,2022/01/31,"Julian, Peter",Member,Secondary Residence,2021/09/28,Ottawa,Ottawa,,,,,,,
T0220037,2021/09/28,2022/01/31,"Julian, Peter",Member,Secondary Residence,2021/10/28,Ottawa,Ottawa,,,,,,,
T0221967,2021/09/29,2021/11/26,,,,,,,0.0000,107.0400,0.0000,0,0,0,107.04
T0221967,2021/09/29,2021/11/26,"Julian, Peter",Member,Secondary Residence,2021/09/29,Ottawa,Ottawa,,,,,,,
T0221967,2021/09/29,2021/11/26,"Julian, Peter",Member,Secondary Residence,2021/10/29,Ottawa,Ottawa,,,,,,,
T0220038,2021/11/07,2021/11/09,,,,,,,2358.5300,0.0000,144.6000,1.0000,0,0,2503.13
T0220038,2021/11/07,2021/11/09,"Julian, Peter",Member,To travel to/from constituency and Ottawa,2021/11/07,New Westminster,Ottawa,,,,,,,
T0220038,2021/11/07,2021/11/09,"Julian, Peter",Member,To travel to/from constituency and Ottawa,2021/11/09,Ottawa,New Westminster,,,,,,,
T0219959,2021/11/21,2021/12/03,,,,,,,2266.0600,0.0000,1001.4700,1.0000,0,0,3267.53
T0219959,2021/11/21,2021/12/03,"Julian, Peter",Member,To travel to/from constituency and Ottawa,2021/11/21,New Westminster,Ottawa,,,,,,,
T0219959,2021/11/21,2021/12/03,"Julian, Peter",Member,To travel to/from constituency and Ottawa,2021/12/03,Ottawa,New Westminster,,,,,,,
T0224647,2021/11/26,2022/02/27,,,,,,,0.0000,148.4300,0.0000,0,0,0,148.43
T0224647,2021/11/26,2022/02/27,"Julian, Peter",Member,Secondary Residence,2022/01/28,Ottawa,Ottawa,,,,,,,
T0224647,2021/11/26,2022/02/27,"Julian, Peter",Member,Secondary Residence,2021/11/26,Ottawa,Ottawa,,,,,,,
T0224647,2021/11/26,2022/02/27,"Julian, Peter",Member,Secondary Residence,2021/12/27,Ottawa,Ottawa,,,,,,,
T0221965,2021/11/28,2022/01/27,,,,,,,0.0000,95.9800,0.0000,0,0,0,95.98
T0221965,2021/11/28,2022/01/27,"Julian, Peter",Member,Secondary Residence,2021/12/28,Ottawa,Ottawa,,,,,,,
T0221965,2021/11/28,2022/01/27,"Julian, Peter",Member,Secondary Residence,2021/11/28,Ottawa,Ottawa,,,,,,,
T0221776,2021/12/05,2021/12/10,,,,,,,2346.9500,0.0000,409.1500,1.0000,0,0,2756.10
T0221776,2021/12/05,2021/12/10,"Julian, Peter",Member,To travel to/from constituency and Ottawa,2021/12/05,New Westminster,Ottawa,,,,,,,
T0221776,2021/12/05,2021/12/10,"Julian, Peter",Member,To travel to/from constituency and Ottawa,2021/12/10,Ottawa,New Westminster,,,,,,,
T0221777,2021/12/12,2021/12/16,,,,,,,2388.6500,0.0000,327.3200,1.0000,0,0,2715.97
T0221777,2021/12/12,2021/12/16,"Julian, Peter",Member,To travel to/from constituency and Ottawa,2021/12/12,New Westminster,Ottawa,,,,,,,
T0221777,2021/12/12,2021/12/16,"Julian, Peter",Member,To travel to/from constituency and Ottawa,2021/12/16,Ottawa,New Westminster,,,,,,,
200563504,2022/01/01,2022/01/31,,,,,,,0.0000,20.0000,0.0000,0,0,0,20.00
200563504,2022/01/01,2022/01/31,"Julian, Peter",Member,Secondary Residence,2022/01/01,OTTAWA,OTTAWA,,,,,,,
200563504,2022/01/01,2022/01/31,"Julian, Peter",Member,Secondary Residence,2022/01/01,OTTAWA,OTTAWA,,,,,,,
T0224649,2022/01/30,2022/02/20,,,,,,,2343.3800,0.0000,1718.4400,1.0000,0,0,4061.82
T0224649,2022/01/30,2022/02/20,"Julian, Peter",Member,To travel to/from constituency and Ottawa,2022/01/30,New Westminster,Ottawa,,,,,,,
T0224649,2022/01/30,2022/02/20,"Julian, Peter",Member,To travel to/from constituency and Ottawa,2022/02/20,Ottawa,New Westminster,,,,,,,
200563505,2022/02/01,2022/02/28,,,,,,,0.0000,20.0000,0.0000,0,0,0,20.00
200563505,2022/02/01,2022/02/28,"Julian, Peter",Member,Secondary Residence,2022/02/01,OTTAWA,OTTAWA,,,,,,,
200563505,2022/02/01,2022/02/28,"Julian, Peter",Member,Secondary Residence,2022/02/01,OTTAWA,OTTAWA,,,,,,,
200543931,2022/02/01,2022/02/28,,,,,,,0.0000,1735.0000,0.0000,0,0,0,1735.00
200543931,2022/02/01,2022/02/28,"Julian, Peter",Member,Secondary Residence,2022/02/01,OTTAWA,OTTAWA,,,,,,,
T0223577,2022/02/05,2022/02/18,,,,,,,990.4000,0.0000,0.0000,1.0000,0,0,990.40
T0223577,2022/02/05,2022/02/18,"Mah, Doris",Employee,To travel to/from constituency and Ottawa,2022/02/05,Burnaby,Ottawa,,,,,,,
T0223577,2022/02/05,2022/02/18,"Mah, Doris",Employee,To travel to/from constituency and Ottawa,2022/02/18,Ottawa,Burnaby,,,,,,,
T0224654,2022/02/27,2022/03/03,,,,,,,2346.9500,0.0000,327.3200,1.0000,0,0,2674.27
T0224654,2022/02/27,2022/03/03,"Julian, Peter",Member,To travel to/from constituency and Ottawa,2022/02/27,New Westminster,Ottawa,,,,,,,
T0224654,2022/02/27,2022/03/03,"Julian, Peter",Member,To travel to/from constituency and Ottawa,2022/03/03,Ottawa,New Westminster,,,,,,,
T0226616,2022/02/27,2022/03/04,,,,,,,992.6700,0.0000,0.0000,1.0000,0,0,992.67
T0226616,2022/02/27,2022/03/04,"Mah, Doris",Employee,To travel to/from constituency and Ottawa,2022/02/27,Burnaby,Ottawa,,,,,,,
T0226616,2022/02/27,2022/03/04,"Mah, Doris",Employee,To travel to/from constituency and Ottawa,2022/03/04,Ottawa,Burnaby,,,,,,,
200552193,2022/03/01,2022/03/31,,,,,,,0.0000,1735.0000,0.0000,0,0,0,1735.00
200552193,2022/03/01,2022/03/31,"Julian, Peter",Member,Secondary Residence,2022/03/01,OTTAWA,OTTAWA,,,,,,,
200563506,2022/03/01,2022/03/31,,,,,,,0.0000,20.0000,0.0000,0,0,0,20.00
200563506,2022/03/01,2022/03/31,"Julian, Peter",Member,Secondary Residence,2022/03/01,OTTAWA,OTTAWA,,,,,,,
200563506,2022/03/01,2022/03/31,"Julian, Peter",Member,Secondary Residence,2022/03/01,OTTAWA,OTTAWA,,,,,,,
T0226619,2022/03/20,2022/03/31,,,,,,,970.6000,0.0000,0.0000,1.0000,0,0,970.60
T0226619,2022/03/20,2022/03/31,"Mah, Doris",Employee,To travel to/from constituency and Ottawa,2022/03/20,Burnaby,Ottawa,,,,,,,
T0226619,2022/03/20,2022/03/31,"Mah, Doris",Employee,To travel to/from constituency and Ottawa,2022/03/31,Ottawa,Burnaby,,,,,,,
T0226521,2022/03/26,2022/03/31,,,,,,,2385.9100,0.0000,428.4400,1.0000,0,0,2814.35
T0226521,2022/03/26,2022/03/31,"Julian, Peter",Member,To travel to/from constituency and Ottawa,2022/03/26,New Westminster,Ottawa,,,,,,,
T0226521,2022/03/26,2022/03/31,"Julian, Peter",Member,To travel to/from constituency and Ottawa,2022/03/31,Ottawa,New Westminster,,,,,,,
