Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0213203,2021/05/27,2021/05/30,,,,,,,619.4800,0.0000,0.0000,0,0,0,619.48
T0213203,2021/05/27,2021/05/30,"Lebouthillier, Hon. Diane",Member,To attend a constituency or community event,2021/05/27,Ligny-Saint-Flochel,Gaspé,,,,,,,
T0213203,2021/05/27,2021/05/30,"Lebouthillier, Hon. Diane",Member,To attend a constituency or community event,2021/05/30,Gaspé,Ligny-Saint-Flochel,,,,,,,
T0220313,2021/09/29,2021/10/01,,,,,,,721.3900,243.8800,120.0100,1.0000,0,0,1085.28
T0220313,2021/09/29,2021/10/01,"Haroun, Thierry",Employee,To conduct constituency office business,2021/09/29,Grande-Rivière,Les îles-de-la-Madeleine,,,,,,,
T0220313,2021/09/29,2021/10/01,"Haroun, Thierry",Employee,To conduct constituency office business,2021/10/01,Les îles-de-la-Madeleine,Grande-Rivière,,,,,,,
T0221782,2021/10/18,2021/10/28,,,,,,,63.6800,0.0000,0.0000,0,0.0000,0,63.68
T0221782,2021/10/18,2021/10/28,"Cormier, Benoit",Employee,To conduct constituency office business,2021/10/18,Cap-aux-Meules,Grosse-Île,,,,,,,
T0221782,2021/10/18,2021/10/28,"Cormier, Benoit",Employee,To conduct constituency office business,2021/10/18,Grosse-Île,Cap-aux-Meules,,,,,,,
T0221782,2021/10/18,2021/10/28,"Cormier, Benoit",Employee,To conduct constituency office business,2021/10/21,Cap-aux-Meules,L'Étang-du-Nord,,,,,,,
T0221782,2021/10/18,2021/10/28,"Cormier, Benoit",Employee,To conduct constituency office business,2021/10/21,L'Étang-du-Nord,Cap-aux-Meules,,,,,,,
T0221782,2021/10/18,2021/10/28,"Cormier, Benoit",Employee,To conduct constituency office business,2021/10/26,Cap-aux-Meules,Fatima,,,,,,,
T0221782,2021/10/18,2021/10/28,"Cormier, Benoit",Employee,To conduct constituency office business,2021/10/26,Fatima,Cap-aux-Meules,,,,,,,
T0221782,2021/10/18,2021/10/28,"Cormier, Benoit",Employee,To conduct constituency office business,2021/10/28,Cap-aux-Meules,Fatima,,,,,,,
T0221782,2021/10/18,2021/10/28,"Cormier, Benoit",Employee,To conduct constituency office business,2021/10/28,Fatima,Cap-aux-Meules,,,,,,,
T0221783,2021/11/11,2021/12/08,,,,,,,19.2800,0.0000,0.0000,0.0000,0.0000,0,19.28
T0221783,2021/11/11,2021/12/08,"Cormier, Benoit",Employee,To conduct constituency office business,2021/11/11,Cap-aux-Meules,Cap-aux-Meules,,,,,,,
T0221783,2021/11/11,2021/12/08,"Cormier, Benoit",Employee,To conduct constituency office business,2021/11/11,Cap-aux-Meules,Cap-aux-Meules,,,,,,,
T0221783,2021/11/11,2021/12/08,"Cormier, Benoit",Employee,To conduct constituency office business,2021/11/20,Cap-aux-Meules,Cap-aux-Meules,,,,,,,
T0221783,2021/11/11,2021/12/08,"Cormier, Benoit",Employee,To conduct constituency office business,2021/11/20,Cap-aux-Meules,Cap-aux-Meules,,,,,,,
T0221783,2021/11/11,2021/12/08,"Cormier, Benoit",Employee,To conduct constituency office business,2021/11/16,Cap-aux-Meules,Cap-aux-Meules,,,,,,,
T0221783,2021/11/11,2021/12/08,"Cormier, Benoit",Employee,To conduct constituency office business,2021/11/16,Cap-aux-Meules,Cap-aux-Meules,,,,,,,
T0221783,2021/11/11,2021/12/08,"Cormier, Benoit",Employee,To conduct constituency office business,2021/12/08,Cap-aux-Meules,L'Étang-du-Nord,,,,,,,
T0221783,2021/11/11,2021/12/08,"Cormier, Benoit",Employee,To conduct constituency office business,2021/12/08,L'Étang-du-Nord,Cap-aux-Meules,,,,,,,
T0225288,2021/11/19,2021/11/19,,,,,,,436.9200,0.0000,0.0000,0.5000,0,0,436.92
T0225288,2021/11/19,2021/11/19,"Lebouthillier, Hon. Diane",Member,To travel to/from constituency and Ottawa,2021/11/19,Gaspé,Ottawa,,,,,,,
T0221269,2021/12/03,2021/12/20,,,,,,,96.5000,0.0000,18.8100,0.0000,0,0,115.31
T0221269,2021/12/03,2021/12/20,"Haroun, Thierry",Employee,To conduct constituency office business,2021/12/03,Grande-Rivière,Chandler,,,,,,,
T0221269,2021/12/03,2021/12/20,"Haroun, Thierry",Employee,To conduct constituency office business,2021/12/03,Chandler,Grande-Rivière,,,,,,,
T0221269,2021/12/03,2021/12/20,"Haroun, Thierry",Employee,To conduct constituency office business,2021/12/20,Grande-Rivière,Gaspé,,,,,,,
T0221269,2021/12/03,2021/12/20,"Haroun, Thierry",Employee,To conduct constituency office business,2021/12/20,Gaspé,Grande-Rivière,,,,,,,
T0221438,2021/12/20,2021/12/20,,,,,,,437.7000,0.0000,0.0000,0.5000,0,0,437.70
T0221438,2021/12/20,2021/12/20,"Lebouthillier, Hon. Diane",Member,To travel to/from constituency and Ottawa,2021/12/20,Ottawa,Gaspé,,,,,,,
T0222060,2022/01/01,2022/02/03,,,,,,,0.0000,153.9600,0.0000,0,0,0,153.96
T0222060,2022/01/01,2022/02/03,"Lebouthillier, Hon. Diane",Member,Secondary Residence,2022/01/01,Gatineau,Gatineau,,,,,,,
T0222060,2022/01/01,2022/02/03,"Lebouthillier, Hon. Diane",Member,Secondary Residence,2022/01/04,Gatineau,Gatineau,,,,,,,
T0222221,2022/01/27,2022/01/27,,,,,,,128.3400,0.0000,0.0000,0.0000,0,0,128.34
T0222221,2022/01/27,2022/01/27,"Haroun, Thierry",Employee,To conduct constituency office business,2022/01/27,Grande-Rivière,New Richmond,,,,,,,
T0222221,2022/01/27,2022/01/27,"Haroun, Thierry",Employee,To conduct constituency office business,2022/01/27,New Richmond,Grande-Rivière,,,,,,,
200543941,2022/02/01,2022/02/28,,,,,,,0.0000,1775.0000,0.0000,0,0,0,1775.00
200543941,2022/02/01,2022/02/28,"Lebouthillier, Hon. Diane",Member,Secondary Residence,2022/02/01,GATINEAU,GATINEAU,,,,,,,
T0223136,2022/02/01,2022/03/03,,,,,,,0.0000,144.2200,0.0000,0,0,0,144.22
T0223136,2022/02/01,2022/03/03,"Lebouthillier, Hon. Diane",Member,Secondary Residence,2022/02/01,Gatineau,Gatineau,,,,,,,
T0223136,2022/02/01,2022/03/03,"Lebouthillier, Hon. Diane",Member,Secondary Residence,2022/02/04,Gatineau,Gatineau,,,,,,,
200552203,2022/03/01,2022/03/31,,,,,,,0.0000,1775.0000,0.0000,0,0,0,1775.00
200552203,2022/03/01,2022/03/31,"Lebouthillier, Hon. Diane",Member,Secondary Residence,2022/03/01,GATINEAU,GATINEAU,,,,,,,
T0225405,2022/03/01,2022/04/03,,,,,,,0.0000,156.9300,0.0000,0,0,0,156.93
T0225405,2022/03/01,2022/04/03,"Lebouthillier, Hon. Diane",Member,Secondary Residence,2022/03/01,Gatineau,Gatineau,,,,,,,
T0225405,2022/03/01,2022/04/03,"Lebouthillier, Hon. Diane",Member,Secondary Residence,2022/03/04,Gatineau,Gatineau,,,,,,,
T0225119,2022/03/05,2022/03/18,,,,,,,174.6400,0.0000,0.0000,0.0000,0,0,174.64
T0225119,2022/03/05,2022/03/18,"Haroun, Thierry",Employee,To drive Member to/from terminal,2022/03/05,Grande-Rivière,Gaspé,,,,,,,
T0225119,2022/03/05,2022/03/18,"Haroun, Thierry",Employee,To drive Member to/from terminal,2022/03/05,Gaspé,Grande-Rivière,,,,,,,
T0225119,2022/03/05,2022/03/18,"Haroun, Thierry",Employee,To conduct constituency office business,2022/03/08,Grande-Rivière,Chandler,,,,,,,
T0225119,2022/03/05,2022/03/18,"Haroun, Thierry",Employee,To conduct constituency office business,2022/03/08,Chandler,Grande-Rivière,,,,,,,
T0225119,2022/03/05,2022/03/18,"Haroun, Thierry",Employee,To drive Member to/from terminal,2022/03/18,Grande-Rivière,Gaspé,,,,,,,
T0225119,2022/03/05,2022/03/18,"Haroun, Thierry",Employee,To drive Member to/from terminal,2022/03/18,Gaspé,Grande-Rivière,,,,,,,
T0225733,2022/03/11,2022/03/11,,,,,,,268.2600,0.0000,18.8100,0.0000,0.0000,0,287.07
T0225733,2022/03/11,2022/03/11,"Lebouthillier, Hon. Diane",Member,To conduct constituency office business,2022/03/11,Grande-Rivière,New Richmond,,,,,,,
T0225733,2022/03/11,2022/03/11,"Lebouthillier, Hon. Diane",Member,To conduct constituency office business,2022/03/11,New Richmond,Ste-anne-des-monts,,,,,,,
T0225733,2022/03/11,2022/03/11,"Lebouthillier, Hon. Diane",Member,To conduct constituency office business,2022/03/11,Ste-anne-des-monts,New Richmond,,,,,,,
T0225733,2022/03/11,2022/03/11,"Lebouthillier, Hon. Diane",Member,To conduct constituency office business,2022/03/11,New Richmond,Grande-Rivière,,,,,,,
T0225215,2022/03/18,2022/03/20,,,,,,,846.9300,119.1800,83.5600,1.0000,0,0,1049.67
T0225215,2022/03/18,2022/03/20,"Lebouthillier, Hon. Diane",Member,To travel to/from constituency and Ottawa,2022/03/18,Gaspé,Ottawa,,,,,,,
T0225215,2022/03/18,2022/03/20,"Lebouthillier, Hon. Diane",Member,To travel to/from constituency and Ottawa,2022/03/20,Québec,Ottawa,,,,,,,
