Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0219763,2021/11/16,2021/11/18,,,,,,,1798.9400,0.0000,0.0000,1.0000,0,0,1798.94
T0219763,2021/11/16,2021/11/18,"Maguire, Larry",Member,To travel to/from constituency and Ottawa,2021/11/16,Winnipeg,Ottawa,,,,,,,
T0219763,2021/11/16,2021/11/18,"Maguire, Larry",Member,To travel to/from constituency and Ottawa,2021/11/18,Ottawa,Winnipeg,,,,,,,
T0219777,2021/11/26,2021/11/28,,,,,,,1548.4600,0.0000,0.0000,0,1.0000,0,1548.46
T0219777,2021/11/26,2021/11/28,"Maguire, Larry",Member,To attend meetings about constituency issues,2021/11/26,Ottawa,Calgary,,,,,,,
T0219777,2021/11/26,2021/11/28,"Maguire, Larry",Member,To attend meetings about constituency issues,2021/11/28,Calgary,Ottawa,,,,,,,
T0220243,2021/12/02,2021/12/07,,,,,,,1651.4800,293.1400,0.0000,1.0000,0,0,1944.62
T0220243,2021/12/02,2021/12/07,"Maguire, Larry",Member,To travel to/from constituency and Ottawa,2021/12/02,Ottawa,Winnipeg,,,,,,,
T0220243,2021/12/02,2021/12/07,"Maguire, Larry",Member,To travel to/from constituency and Ottawa,2021/12/07,Winnipeg,Ottawa,,,,,,,
T0222271,2021/12/15,2022/01/24,,,,,,,1684.6500,150.5100,0.0000,1.0000,0,0,1835.16
T0222271,2021/12/15,2022/01/24,"Maguire, Larry",Member,To travel to/from constituency and Ottawa,2021/12/15,Ottawa,Winnipeg,,,,,,,
T0222271,2021/12/15,2022/01/24,"Maguire, Larry",Member,To travel to/from constituency and Ottawa,2022/01/24,Winnipeg,Ottawa,,,,,,,
T0222723,2021/12/20,2021/12/26,,,,,,,1840.3800,0.0000,184.5200,1.0000,0,0,2024.90
T0222723,2021/12/20,2021/12/26,"Ostash, Drew",Employee,To travel to/from constituency and Ottawa,2021/12/20,Ottawa,Winnipeg,,,,,,,
T0222723,2021/12/20,2021/12/26,"Ostash, Drew",Employee,To travel to/from constituency and Ottawa,2021/12/26,Winnipeg,Ottawa,,,,,,,
T0222048,2021/12/20,2022/01/05,,,,,,,1252.3700,138.5500,214.9500,1.0000,0,0,1605.87
T0222048,2021/12/20,2022/01/05,"Bredin, David",Employee,To travel to/from constituency and Ottawa,2021/12/20,Ottawa,Winnipeg,,,,,,,
T0222048,2021/12/20,2022/01/05,"Bredin, David",Employee,To travel to/from constituency and Ottawa,2022/01/05,Winnipeg,Ottawa,,,,,,,
T0221664,2021/12/20,2022/01/10,,,,,,,46.9400,0.0000,281.7300,0,0,0,328.67
T0221664,2021/12/20,2022/01/10,"Cottingham, Levi",Employee,To travel to/from constituency and Ottawa,2021/12/20,Ottawa,Winnipeg,,,,,,,
T0227180,2021/12/20,2022/01/10,,,,,,,1205.3000,0.0000,0.0000,1.0000,0,0,1205.30
T0227180,2021/12/20,2022/01/10,"Cottingham, Levi",Employee,To travel to/from constituency and Ottawa,2021/12/20,Ottawa,Winnipeg,,,,,,,
T0221664,2021/12/20,2022/01/10,"Cottingham, Levi",Employee,To travel to/from constituency and Ottawa,2022/01/10,Winnipeg,Ottawa,,,,,,,
T0227180,2021/12/20,2022/01/10,"Cottingham, Levi",Employee,To travel to/from constituency and Ottawa,2022/01/10,Winnipeg,Ottawa,,,,,,,
T0222273,2022/01/28,2022/01/30,,,,,,,1755.5500,0.0000,0.0000,1.0000,0,0,1755.55
T0222273,2022/01/28,2022/01/30,"Maguire, Larry",Member,To travel to/from constituency and Ottawa,2022/01/28,Ottawa,Winnipeg,,,,,,,
T0222273,2022/01/28,2022/01/30,"Maguire, Larry",Member,To travel to/from constituency and Ottawa,2022/01/30,Winnipeg,Ottawa,,,,,,,
200543947,2022/02/01,2022/02/28,,,,,,,0.0000,1908.5800,0.0000,0,0,0,1908.58
200543947,2022/02/01,2022/02/28,"Maguire, Larry",Member,Secondary Residence,2022/02/01,OTTAWA,OTTAWA,,,,,,,
T0222667,2022/02/03,2022/02/06,,,,,,,1780.9600,146.5700,0.0000,1.0000,0,0,1927.53
T0222667,2022/02/03,2022/02/06,"Maguire, Larry",Member,To travel to/from constituency and Ottawa,2022/02/03,Ottawa,Winnipeg,,,,,,,
T0222667,2022/02/03,2022/02/06,"Maguire, Larry",Member,To travel to/from constituency and Ottawa,2022/02/06,Winnipeg,Ottawa,,,,,,,
T0223398,2022/02/10,2022/02/13,,,,,,,1812.3400,0.0000,0.0000,1.0000,0,0,1812.34
