Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0217799,2021/11/01,2021/11/03,,,,,,,1205.3000,0.0000,0.0000,0,0,0,1205.30
T0217799,2021/11/01,2021/11/03,"Schmidt, Kielle",Employee,To travel to/from constituency and Ottawa,2021/11/01,Regina,Ottawa,,,,,,,
T0217799,2021/11/01,2021/11/03,"Schmidt, Kielle",Employee,To travel to/from constituency and Ottawa,2021/11/03,Ottawa,Regina,,,,,,,
T0221515,2021/11/01,2021/12/31,,,,,,,315.3000,0.0000,703.2700,0.0000,0.0000,0,1018.57
T0221515,2021/11/01,2021/12/31,"Steinley, Warren",Member,To attend a constituency or community event,2021/11/08,Grand Coulee,Regina,,,,,,,
T0221515,2021/11/01,2021/12/31,"Steinley, Warren",Member,To attend a constituency or community event,2021/11/19,Fort Qu'Appelle,Grand Coulee,,,,,,,
T0221515,2021/11/01,2021/12/31,"Steinley, Warren",Member,To attend a constituency or community event,2021/11/20,Grand Coulee,Regina,,,,,,,
T0221515,2021/11/01,2021/12/31,"Steinley, Warren",Member,To attend a constituency or community event,2021/11/20,Regina,Grand Coulee,,,,,,,
T0221515,2021/11/01,2021/12/31,"Steinley, Warren",Member,To attend a constituency or community event,2021/11/26,Grand Coulee,Regina,,,,,,,
T0221515,2021/11/01,2021/12/31,"Steinley, Warren",Member,To attend a constituency or community event,2021/11/26,Regina,Grand Coulee,,,,,,,
T0221515,2021/11/01,2021/12/31,"Steinley, Warren",Member,To attend a constituency or community event,2021/11/27,Grand Coulee,Regina,,,,,,,
T0221515,2021/11/01,2021/12/31,"Steinley, Warren",Member,To attend a constituency or community event,2021/11/27,Regina,Grand Coulee,,,,,,,
T0221515,2021/11/01,2021/12/31,"Steinley, Warren",Member,To attend a constituency or community event,2021/12/03,Grand Coulee,Regina,,,,,,,
T0221515,2021/11/01,2021/12/31,"Steinley, Warren",Member,To attend a constituency or community event,2021/12/03,Regina,Grand Coulee,,,,,,,
T0221515,2021/11/01,2021/12/31,"Steinley, Warren",Member,To attend a constituency or community event,2021/12/28,Grand Coulee,Regina,,,,,,,
T0221515,2021/11/01,2021/12/31,"Steinley, Warren",Member,To attend a constituency or community event,2021/11/08,Regina,Grand Coulee,,,,,,,
