Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0226627,2021/08/04,2021/08/12,,,,,,,1008.3100,0.0000,0.0000,0,1.0000,0,1008.31
T0226627,2021/08/04,2021/08/12,,Dependant,To unite the family with the Member,2021/08/04,Toronto,Deer Lake,,,,,,,
T0226624,2021/08/04,2021/08/12,,,,,,,1008.3100,0.0000,0.0000,0,1.0000,0,1008.31
T0226624,2021/08/04,2021/08/12,,Dependant,To unite the family with the Member,2021/08/04,Toronto,Deer Lake,,,,,,,
T0226625,2021/08/04,2021/08/12,,,,,,,1008.3100,0.0000,0.0000,0,1.0000,0,1008.31
T0226625,2021/08/04,2021/08/12,,Dependant,To unite the family with the Member,2021/08/04,Toronto,Deer Lake,,,,,,,
T0216829,2021/08/04,2021/08/12,,,,,,,0.0000,-482.5400,-150.3100,0,0,0,-632.85
T0216829,2021/08/04,2021/08/12,"Yip, Jean",Member,To attend a regional or provincial caucus meeting,2021/08/04,Toronto,Deer Lake,,,,,,,
T0226627,2021/08/04,2021/08/12,,Dependant,To unite the family with the Member,2021/08/12,Halifax,Toronto,,,,,,,
T0216829,2021/08/04,2021/08/12,"Yip, Jean",Member,To attend a regional or provincial caucus meeting,2021/08/12,Halifax,Toronto,,,,,,,
T0226625,2021/08/04,2021/08/12,,Dependant,To unite the family with the Member,2021/08/12,Halifax,Toronto,,,,,,,
T0226624,2021/08/04,2021/08/12,,Dependant,To unite the family with the Member,2021/08/12,Halifax,Toronto,,,,,,,
T0221412,2021/11/28,2021/12/02,,,,,,,734.5200,709.3200,199.8200,1.0000,0,0,1643.66
T0221412,2021/11/28,2021/12/02,"Yip, Jean",Member,To travel to/from constituency and Ottawa,2021/11/28,Toronto,Ottawa,,,,,,,
T0221412,2021/11/28,2021/12/02,"Yip, Jean",Member,To travel to/from constituency and Ottawa,2021/12/02,Ottawa,Toronto,,,,,,,
T0221210,2021/12/06,2021/12/10,,,,,,,410.9900,709.3200,133.2100,0.5000,0,0,1253.52
T0221210,2021/12/06,2021/12/10,"Yip, Jean",Member,To travel to/from constituency and Ottawa,2021/12/06,Toronto,Ottawa,,,,,,,
T0221214,2021/12/12,2021/12/17,,,,,,,780.6900,886.6500,180.5400,1.0000,0,0,1847.88
T0221214,2021/12/12,2021/12/17,"Yip, Jean",Member,To travel to/from constituency and Ottawa,2021/12/12,Toronto,Ottawa,,,,,,,
T0221214,2021/12/12,2021/12/17,"Yip, Jean",Member,To travel to/from constituency and Ottawa,2021/12/17,Ottawa,Toronto,,,,,,,
T0222802,2022/01/30,2022/02/03,,,,,,,1074.1500,772.2900,132.7700,1.0000,0,0,1979.21
T0222802,2022/01/30,2022/02/03,"Yip, Jean",Member,To travel to/from constituency and Ottawa,2022/01/30,Toronto,Ottawa,,,,,,,
T0222802,2022/01/30,2022/02/03,"Yip, Jean",Member,To travel to/from constituency and Ottawa,2022/02/03,Ottawa,Toronto,,,,,,,
T0223487,2022/02/13,2022/02/20,,,,,,,715.3300,1351.5000,249.5500,1.0000,0,0,2316.38
T0223487,2022/02/13,2022/02/20,"Yip, Jean",Member,To travel to/from constituency and Ottawa,2022/02/13,Toronto,Ottawa,,,,,,,
T0223487,2022/02/13,2022/02/20,"Yip, Jean",Member,To travel to/from constituency and Ottawa,2022/02/20,Ottawa,Toronto,,,,,,,
T0224389,2022/02/27,2022/03/04,,,,,,,829.2400,965.3600,214.8200,1.0000,0,0,2009.42
T0224389,2022/02/27,2022/03/04,"Yip, Jean",Member,To travel to/from constituency and Ottawa,2022/02/27,Toronto,Ottawa,,,,,,,
T0224389,2022/02/27,2022/03/04,"Yip, Jean",Member,To travel to/from constituency and Ottawa,2022/03/04,Ottawa,Toronto,,,,,,,
T0225556,2022/03/20,2022/03/23,,,,,,,1019.6300,525.6900,0.0000,1.0000,0,0,1545.32
T0225556,2022/03/20,2022/03/23,"Wu, Mengjie",Employee,To travel to/from constituency and Ottawa,2022/03/20,Toronto,Ottawa,,,,,,,
T0225556,2022/03/20,2022/03/23,"Wu, Mengjie",Employee,To travel to/from constituency and Ottawa,2022/03/23,Ottawa,Toronto,,,,,,,
T0225538,2022/03/20,2022/03/25,,,,,,,781.1400,965.3600,190.4000,1.0000,0,0,1936.90
T0225538,2022/03/20,2022/03/25,"Yip, Jean",Member,To travel to/from constituency and Ottawa,2022/03/20,Toronto,Ottawa,,,,,,,
T0225538,2022/03/20,2022/03/25,"Yip, Jean",Member,To travel to/from constituency and Ottawa,2022/03/25,Ottawa,Toronto,,,,,,,
T0226380,2022/03/27,2022/03/31,,,,,,,804.3700,772.2900,199.6000,1.0000,0,0,1776.26
T0226380,2022/03/27,2022/03/31,"Yip, Jean",Member,To travel to/from constituency and Ottawa,2022/03/27,Toronto,Ottawa,,,,,,,
T0226380,2022/03/27,2022/03/31,"Yip, Jean",Member,To travel to/from constituency and Ottawa,2022/03/31,Ottawa,Toronto,,,,,,,
