Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
200559037,2021/04/01,2021/12/31,,,,,,,225.0000,0.0000,0.0000,0,0,0,225.00
200559037,2021/04/01,2021/12/31,"d'Entremont, Chris",Member,Maple Leaf Lounge,2021/04/01,,,,,,,,,
T0220778,2021/12/12,2021/12/17,,,,,,,1165.9800,0.0000,392.8600,1.0000,0,0,1558.84
T0220778,2021/12/12,2021/12/17,"d'Entremont, Chris",Member,To travel to/from constituency and Ottawa,2021/12/12,Belleville,Ottawa,,,,,,,
T0220778,2021/12/12,2021/12/17,"d'Entremont, Chris",Member,To travel to/from constituency and Ottawa,2021/12/17,Ottawa,Belleville,,,,,,,
200540761,2022/01/01,2022/01/31,,,,,,,0.0000,25.0000,0.0000,0,0,0,25.00
200540761,2022/01/01,2022/01/31,"d'Entremont, Chris",Member,Secondary Residence,2022/01/01,OTTAWA,OTTAWA,,,,,,,
T0221516,2022/01/05,2022/01/05,,,,,,,184.6600,0.0000,42.1900,0,0.0000,0,226.85
T0221516,2022/01/05,2022/01/05,"d'Entremont-Dixon, Joellen",Employee,To attend a constituency or community event,2022/01/05,Yarmouth,Kingston,,,,,,,
T0221516,2022/01/05,2022/01/05,"d'Entremont-Dixon, Joellen",Employee,To attend a constituency or community event,2022/01/05,Kingston,Yarmouth,,,,,,,
T0223494,2022/01/23,2022/02/22,,,,,,,1371.0800,146.5900,646.0300,1.0000,0,0,2163.70
T0223494,2022/01/23,2022/02/22,"d'Entremont, Chris",Member,To travel to/from constituency and Ottawa,2022/01/23,Belleville,Ottawa,,,,,,,
T0223494,2022/01/23,2022/02/22,"d'Entremont, Chris",Member,To travel to/from constituency and Ottawa,2022/02/22,Ottawa,Belleville,,,,,,,
200543896,2022/02/01,2022/02/28,,,,,,,0.0000,2055.0000,0.0000,0,0,0,2055.00
200543896,2022/02/01,2022/02/28,"d'Entremont, Chris",Member,Secondary Residence,2022/02/01,OTTAWA,OTTAWA,,,,,,,
T0222973,2022/02/11,2022/02/13,,,,,,,976.2700,0.0000,0.0000,1.0000,0,0,976.27
T0222973,2022/02/11,2022/02/13,,Designated Traveller,To unite the family with the Member,2022/02/11,Belleville,Ottawa,,,,,,,
T0222973,2022/02/11,2022/02/13,,Designated Traveller,To unite the family with the Member,2022/02/13,Ottawa,Belleville,,,,,,,
T0223501,2022/02/25,2022/02/27,,,,,,,811.3200,0.0000,0.0000,1.0000,0,0,811.32
T0223501,2022/02/25,2022/02/27,,Designated Traveller,To unite the family with the Member,2022/02/25,Belleville,Ottawa,,,,,,,
T0223501,2022/02/25,2022/02/27,,Designated Traveller,To unite the family with the Member,2022/02/27,Ottawa,Belleville,,,,,,,
T0225351,2022/02/25,2022/03/05,,,,,,,405.6600,0.0000,0.0000,0.5000,0,0,405.66
T0225351,2022/02/25,2022/03/05,"d'Entremont, Chris",Member,To travel to/from constituency and Ottawa,2022/02/25,Belleville,Ottawa,,,,,,,
200552157,2022/03/01,2022/03/31,,,,,,,0.0000,2055.0000,0.0000,0,0,0,2055.00
200552157,2022/03/01,2022/03/31,"d'Entremont, Chris",Member,Secondary Residence,2022/03/01,OTTAWA,OTTAWA,,,,,,,
T0225306,2022/03/04,2022/03/04,,,,,,,405.6600,0.0000,0.0000,0.5000,0,0,405.66
T0225306,2022/03/04,2022/03/04,,Dependant,To unite the family with the Member,2022/03/04,Belleville,Ottawa,,,,,,,
T0226726,2022/03/10,2022/03/10,,,,,,,184.6600,0.0000,0.0000,0,0.0000,0,184.66
T0226726,2022/03/10,2022/03/10,"d'Entremont-Dixon, Joellen",Employee,To attend a constituency or community event,2022/03/10,Yarmouth,Kingston,,,,,,,
T0226726,2022/03/10,2022/03/10,"d'Entremont-Dixon, Joellen",Employee,To attend a constituency or community event,2022/03/10,Kingston,Yarmouth,,,,,,,
T0225263,2022/03/14,2022/03/20,,,,,,,811.3200,0.0000,0.0000,1.0000,0,0,811.32
T0225263,2022/03/14,2022/03/20,,Designated Traveller,To unite the family with the Member,2022/03/14,Belleville,Ottawa,,,,,,,
T0225263,2022/03/14,2022/03/20,,Designated Traveller,To unite the family with the Member,2022/03/20,Ottawa,Belleville,,,,,,,
T0225521,2022/03/14,2022/03/25,,,,,,,1156.0300,0.0000,0.0000,1.0000,0,0,1156.03
T0225521,2022/03/14,2022/03/25,"d'Entremont, Chris",Member,To travel to/from constituency and Ottawa,2022/03/25,Belleville,Ottawa,,,,,,,
T0225521,2022/03/14,2022/03/25,"d'Entremont, Chris",Member,To travel to/from constituency and Ottawa,2022/03/25,Ottawa,Belleville,,,,,,,
T0225457,2022/03/27,2022/03/27,,,,,,,603.5700,0.0000,0.0000,0.5000,0,0,603.57
T0225457,2022/03/27,2022/03/27,"d'Entremont, Chris",Member,To travel to/from constituency and Ottawa,2022/03/27,Belleville,Ottawa,,,,,,,
