Supplier,Description,Date,Total
681751 NB Ltd.,Office Rental and Related Fees,2022/04/01,3481.67
Active Lock & Alarm Ltd.,Protection and Alarm Monitoring (Member's Office Budget),2022/04/01,21.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/04/01,159.94
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/04/01,55.60
Covey Basics,"Office Supplies, Stationery and Accessories",2022/04/01,78.98
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/04/01,137.98
Fero Waste & Recycling Inc.,Janitorial Services and Maintenance,2022/04/01,104.34
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/04/02,141.87
Zoom Video Communications Inc.,Computer Software and Licences,2022/04/05,20.00
Kiers Communications Group 2000 Inc.,Signage,2022/04/08,190.80
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2022/04/12,1713.25
Canada Post,"Postage, Parcel Post and Courier Services",2022/04/14,3.19
Covey Basics,"Office Supplies, Stationery and Accessories",2022/04/14,46.74
Canada Post,"Postage, Parcel Post and Courier Services",2022/04/20,5.13
Key Cycle,"Office Supplies, Stationery and Accessories",2022/04/22,7.77
ServiceMaster Clean Fredericton,Janitorial Services and Maintenance,2022/04/29,398.00
Bell Aliant,Constituency Office Internet,2022/04/30,185.95
681751 NB Ltd.,Office Rental and Related Fees,2022/05/01,3481.67
Active Lock & Alarm Ltd,Protection and Alarm Monitoring (Member's Office Budget),2022/05/01,21.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/05/01,73.30
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/05/01,159.94
Fero Waste & Recycling Inc.,Janitorial Services and Maintenance,2022/05/01,105.61
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/05/02,146.12
Covey Basics,"Office Supplies, Stationery and Accessories",2022/05/05,30.17
Staples Canada,"Office Supplies, Stationery and Accessories",2022/05/05,24.99
Grand & Toy,Cleaning Products,2022/05/31,5.90
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/05/31,34.44
681751 NB Ltd.,Office Rental and Related Fees,2022/06/01,3481.67
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/06/01,61.81
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/06/01,159.94
681751 NB Ltd.,Office Rental and Related Fees,2022/07/01,3481.67
