Supplier,Description,Date,Total
Dollarthèque CDN,"Office Supplies, Stationery and Accessories",2021/11/30,33.82
Home Hardware,"Office Supplies, Stationery and Accessories",2022/03/03,39.99
Ray Sabbagh Photgraphy,Photography and Video Services,2022/03/03,200.00
Videotron,Constituency Office Internet,2022/03/11,189.36
JOURNAL D'OUTREMONT,Advertising,2022/03/21,525.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/04/01,190.92
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/04/01,16.00
Cent Cinquante Quatre  AVE. LAURIER OUEST,Office Rental and Related Fees,2022/04/01,4100.00
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/04/01,137.98
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/04/02,141.87
CASTELIERS,Advertising,2022/04/04,350.00
Dollarthèque CDN,"Office Supplies, Stationery and Accessories",2022/04/04,9.98
"Flag Shop, Le","Office Supplies, Stationery and Accessories",2022/04/04,514.70
SEQEC INC.,Janitorial Services and Maintenance,2022/04/04,150.00
Poste Canada,"Postage, Parcel Post and Courier Services",2022/04/13,28.64
VIDEOTRON,Constituency Office Internet,2022/04/15,152.94
INTACT INSURANCE COMPANY,Constituency Office Insurance,2022/04/26,1144.43
Canada Post – Postes Canada,Courier Services,2022/04/27,9.97
Jordan Vibert,Repair of Machinery and Office Furniture,2022/04/28,250.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/04/30,32.45
Grand & Toy,Bulk Paper Purchases,2022/04/30,82.90
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/05/01,20.00
Bell Mobility – Bell Mobilité,Long Distance,2022/05/01,0.60
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/05/01,190.92
Cent Cinquante Quatre  AVE. LAURIER OUEST,Office Rental and Related Fees,2022/05/01,4100.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/05/02,146.12
SEQEC INC.,Janitorial Services and Maintenance,2022/05/02,150.00
Nich Guilbault Illustrations & Design,Professional Communication Services,2022/05/22,350.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/06/01,16.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/06/01,190.92
Cent Cinquante Quatre  AVE. LAURIER OUEST,Office Rental and Related Fees,2022/06/01,4100.00
Nich Guilbault Illustrations & Design,Professional Communication Services,2022/06/07,76.00
SEQEC INC.,Janitorial Services and Maintenance,2022/06/13,150.00
Cent Cinquante Quatre  AVE. LAURIER OUEST,Office Rental and Related Fees,2022/07/01,4100.00
