Supplier,Description,Date,Total
"Videotron ",Constituency Office Internet,2021/06/11,101.94
Samsung Electronics Canada Inc.,"Office Supplies, Stationery and Accessories",2021/11/20,25.00
Vitalité Économique,Advertising,2021/12/15,395.00
Accent Bleu,Gifts given as a matter of protocol,2022/03/22,124.00
Justice pour le Québec,Advertising,2022/03/29,500.00
"Buropro Citation ","Office Supplies, Stationery and Accessories",2022/03/31,10.27
Ass. des Marchands Galeries Temis,Office Rental and Related Fees,2022/04/01,505.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/04/01,191.84
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/04/01,84.00
Tidan Inc - Le Séjour,Office Rental and Related Fees,2022/04/01,2803.76
"ASSOCIATION DES AMIS DE LA FORÊT DU LAC ANAIS INC. ",Advertising,2022/04/02,80.00
La maison fleurie,Office Plants and Flowers,2022/04/04,58.00
Postes Canada,"Postage, Parcel Post and Courier Services",2022/04/06,271.75
Canada Post – Postes Canada,Postage and Parcel Post,2022/04/08,420.20
Purolator,"Postage, Parcel Post and Courier Services",2022/04/08,45.71
Les Presses de l'Université Laval,"Printed Matter, Books, Newspapers and Subscriptions",2022/04/10,223.79
Accès Serrurier Inc.,Repair of Machinery and Office Furniture,2022/04/13,169.40
J.A St-Pierre & Fils,"Office Supplies, Stationery and Accessories",2022/04/14,5.97
"Librairie Alphabet ","Printed Matter, Books, Newspapers and Subscriptions",2022/04/14,38.36
Métronomie Ltée,Equipment Rental (non-hospitality related),2022/04/14,150.00
Vidéotron,Constituency Office Internet,2022/04/15,101.94
"Bureau en gros ",Appliances,2022/04/20,219.99
Cogeco Connexion Inc.,Constituency Office Internet,2022/04/22,109.95
"Fondation Maison Marie-Élisabeth ",Advertising,2022/04/25,100.00
Choeur de Rimouski,Advertising,2022/04/26,300.00
"Canadian Tire #320 ","Office Supplies, Stationery and Accessories",2022/04/27,46.78
Hootsuite Inc.,Computer Software and Licences,2022/04/30,754.37
Ass. des Marchands Galeries Temis,Office Rental and Related Fees,2022/05/01,980.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/05/01,91.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/05/01,191.84
Tidan Inc - Le Séjour,Office Rental and Related Fees,2022/05/01,2803.76
DesignGo Tendance EIM,Advertising,2022/05/03,480.00
"Corporation des Loisirs de Saint-Blandine ",Advertising,2022/05/08,250.00
IGA,"Office Supplies, Stationery and Accessories",2022/05/09,7.49
"Videotron ",Constituency Office Internet,2022/05/13,101.94
Chevaliers de Colomb Conseil 7383,Advertising,2022/05/14,200.00
Aristodanse,Advertising,2022/05/17,100.00
CARREFOUR 50 + DU QUÉBEC,Advertising,2022/05/19,500.00
House of Commons / Chambre des communes,Framing Done at the House of Commons,2022/05/19,104.80
"SD Électronique ",Repair of Computer Equipment and Peripherals,2022/05/20,80.00
Cogeco Connexion Inc.,Constituency Office Internet,2022/05/22,109.95
Centre prévention suicide du KRTB,Advertising,2022/05/24,250.00
Ville de Rimouski,Public Meeting Room Rentals,2022/05/24,79.15
Mouvement Patriote du Bas-du-Fleuve,Advertising,2022/05/26,250.00
Acti-Familles,Advertising,2022/05/28,250.00
IGA,"Office Supplies, Stationery and Accessories",2022/05/30,10.29
Alarmes 911 Rimouski Inc.,Repair of Office Equipment,2022/05/31,84.95
Ass. des Marchands Galeries Temis,Office Rental and Related Fees,2022/06/01,980.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/06/01,191.84
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/06/01,120.16
Tidan Inc - Le Séjour,Office Rental and Related Fees,2022/06/01,2803.76
Festival Le Tremplin,Advertising,2022/06/06,500.00
L’Ensemble Vocal Diapason,Advertising,2022/06/06,200.00
Rassemblement pour un pays souverain,Advertising,2022/06/06,200.00
Fondation de l'École de musique du Bas-Saint-Laurent,Advertising,2022/06/07,250.00
Centre des femmes du Témiscouata,Advertising,2022/06/13,500.00
"Registraire des entreprises ","Printed Matter, Books, Newspapers and Subscriptions",2022/06/15,119.00
"Registraire des entreprises ","Printed Matter, Books, Newspapers and Subscriptions",2022/06/15,400.20
"Cabaret de la diversité ",Advertising,2022/06/21,500.00
InfoDimanche Inc.,Advertising,2022/06/22,561.00
Ass. des Marchands Galeries Temis,Office Rental and Related Fees,2022/07/01,980.00
Tidan Inc - Le Séjour,Office Rental and Related Fees,2022/07/01,2700.67
Tidan Inc - Le Séjour,Office Rental Related Fees,2022/07/01,103.09
