Supplier,Description,Date,Total
BC Hydro,Public Utilities,2022/01/14,403.31
Urban Earth Wellness,Promotional Items,2022/03/18,750.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/04/01,58.38
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/04/01,2.00
NETFORE SYSTEMS INC.,Computer Software and Licences,2022/04/01,4000.00
Nicholas Bodie,Office Rental and Related Fees,2022/04/01,1607.82
Re/Max Check Realty,Office Rental and Related Fees,2022/04/01,1903.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/04/01,264.25
Southcott Communications,Advertising,2022/04/01,150.00
Amazon,"Office Supplies, Stationery and Accessories",2022/04/02,165.44
Amazon,"Office Supplies, Stationery and Accessories",2022/04/02,112.49
XYTMY,"Office Supplies, Stationery and Accessories",2022/04/02,32.99
BC HYDRO,Public Utilities,2022/04/04,480.06
Westland Insurance,Constituency Office Insurance,2022/04/14,1180.00
Grand & Toy,Other Consumable Supplies From Stores,2022/04/30,16.80
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/05/01,58.38
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/05/01,2.00
Nicholas Bodie,Office Rental and Related Fees,2022/05/01,1607.82
Re/Max Check Realty,Office Rental and Related Fees,2022/05/01,1903.00
Rogers Wireless – Rogers sans-fil,Voice and data overage fees for mobile devices,2022/05/01,0.45
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/05/01,435.50
Canada Post – Postes Canada,Postage and Parcel Post,2022/05/16,306.83
House of Commons / Chambre des communes,Framing Done at the House of Commons,2022/05/19,175.90
Canada Post – Postes Canada,Courier Services,2022/05/30,20.53
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/06/01,58.38
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/06/01,2.00
Nicholas Bodie,Office Rental and Related Fees,2022/06/01,1607.82
Re/Max Check Realty,Office Rental and Related Fees,2022/06/01,1903.00
Indigo,External Language Training,2022/06/13,56.22
Nicholas Bodie,Office Rental and Related Fees,2022/07/01,1227.50
Nicholas Bodie,Office Rental Related Fees,2022/07/01,380.32
Re/Max Check Realty,Office Rental Related Fees,2022/07/01,550.83
Re/Max Check Realty,Office Rental and Related Fees,2022/07/01,1352.17
