Supplier,Description,Date,Total
Telus,Repair of Telecommunication Equipment,2022/01/10,87.03
Williams Lake and District Chamber of Commerce,Advertising,2022/03/24,336.00
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2022/03/26,248.06
London Drugs,"Video Communication, Broadcasting Equipment and Televisions",2022/03/28,134.37
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/04/01,340.48
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/04/01,280.34
Bell Mobility – Bell Mobilité,Voice and data roaming fees for mobile devices,2022/04/01,25.00
Dollarama,"Office Supplies, Stationery and Accessories",2022/04/01,26.33
MAXIMIZER SERVICES INC,Computer Software and Licences,2022/04/01,2003.04
NOVAK BROS. CONTRACTING LTD. c/o Majestic Management,Constituency Office Rental and Related Fees,2022/04/01,173.25
Walmart,"Video Communication, Broadcasting Equipment and Televisions",2022/04/06,959.84
Walmart Prince George,"Office Supplies, Stationery and Accessories",2022/04/06,44.22
Staples,"Office Supplies, Stationery and Accessories",2022/04/07,77.24
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2022/04/19,1665.00
Meridian OneCap,Constituency Office Rental and Related Fees,2022/04/26,205.56
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2022/04/26,165.73
Shaw cablesystems G.P./Shaw Direct,Constituency Office Cable,2022/04/26,188.91
Black Press Group Ltd.,Advertising,2022/04/30,510.50
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/04/30,16.20
Bell Mobility – Bell Mobilité,Voice and data roaming fees for mobile devices,2022/05/01,25.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/05/01,384.08
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/05/01,423.82
"Majestic Management ""In Trust""",Constituency Office Rental and Related Fees,2022/05/01,173.25
"Amazon.com.ca, Inc",Gifts given as a matter of protocol,2022/05/04,29.85
Canadiana Canada's Flag & Banner Company,Gifts given as a matter of protocol,2022/05/04,69.49
HYPERTEC SYSTEMS INC.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2022/05/24,451.30
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2022/05/26,258.31
Canada Computers,Computer Equipment,2022/05/31,32.75
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/06/01,473.65
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/06/01,362.48
CANADIAN SPRINGS,Spring Water,2022/06/01,245.53
NOVAK BROS. CONTRACTING LTD. c/o Majestic Management,Constituency Office Rental and Related Fees,2022/06/01,173.25
