Supplier,Description,Date,Total
A Voz de Portugal,Advertising,2022/01/29,40.00
Weekly the Jang Montreal,Advertising,2022/03/22,54.55
WEEKLY NAWA-I-PAKISTAN CANADA,Advertising,2022/03/23,64.00
ACE HOLDINGS LTD.,Office Rental and Related Fees,2022/04/01,2564.59
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/04/01,8.40
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/04/01,177.38
Club de curling VMR,Advertising,2022/04/01,350.00
Communauté Sépharade Unifiée du Québec,Advertising,2022/04/01,500.00
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/04/01,137.99
"Jewish Standard, The",Advertising,2022/04/01,575.00
Zoom,Computer Software and Licences,2022/04/01,106.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/04/02,141.86
"Benkoula, Réda",Advertising,2022/04/05,36.71
Journal El Chasqui Latino Inc,Advertising,2022/04/07,25.00
Voice of Community Publisher Co.,Advertising,2022/04/07,382.57
Il Cittadino Canadese,Advertising,2022/04/12,60.00
MAGHREB CANADA EXPRESS,Advertising,2022/04/12,29.95
Publications Le Phare,Advertising,2022/04/13,700.00
STELE MÉDIAS INC.,Advertising,2022/04/13,575.00
Métro Média,Advertising,2022/04/16,62.50
"SUBURBAN, THE",Advertising,2022/04/19,100.00
El Shaimaa Saliem,Cleaning Products,2022/04/21,3.49
Zigzag Roman-Canadian Inc.,Advertising,2022/04/21,19.75
"NORTH AMERICAN FILIPINO STAR,",Advertising,2022/04/25,376.00
Newsfirst Multimédia (9030-2944 Québec Inc.),Advertising,2022/04/26,78.00
Canada Post – Postes Canada,Courier Services,2022/04/27,22.70
Canada Post – Postes Canada,Courier Services,2022/04/27,9.55
"publications Arméniennes (1991) Inc. Horizon, Les",Advertising,2022/04/28,35.00
ACE HOLDINGS LTD.,Office Rental and Related Fees,2022/05/01,2564.59
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/05/01,129.61
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/05/01,177.38
GROUPE HOM,Advertising,2022/05/02,125.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/05/02,146.12
HEC Montreal,Professional Development and Training for Members' Employees,2022/05/03,489.87
Il Cittadino Canadese,Advertising,2022/05/04,60.00
Distribution T. Nasati,Spring Water,2022/05/05,45.00
Voice of Community Publisher Co.,Advertising,2022/05/05,329.00
IGA Van Horne,"Office Supplies, Stationery and Accessories",2022/05/06,7.98
Weekly the Jang Montreal,Advertising,2022/05/06,50.00
Métro Média,Advertising,2022/05/07,62.50
"Knights of Rizal, Eastern Canada Region",Advertising,2022/05/09,250.00
Canada Post,"Postage, Parcel Post and Courier Services",2022/05/11,11.44
Publications Le Phare,Advertising,2022/05/11,375.00
STELE MÉDIAS INC.,Advertising,2022/05/11,470.00
Vidéotron s.e.n.c,Constituency Office Internet,2022/05/13,110.19
Le Guide S.E.N.C.,Advertising,2022/05/16,125.00
"Tribune Canadienne Grecque 1990 Ltée, La",Advertising,2022/05/16,35.00
English Montreal School Board – Commission Scolaire English-Montréal,Advertising,2022/05/26,140.00
"NORTH AMERICAN FILIPINO STAR,",Advertising,2022/05/26,376.00
Canada Post – Postes Canada,Courier Services,2022/05/30,10.49
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/05/31,206.20
Grand & Toy,Bulk Paper Purchases,2022/05/31,344.50
Meta,Advertising,2022/05/31,42.63
ACE HOLDINGS LTD.,Office Rental and Related Fees,2022/06/01,2564.59
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/06/01,177.38
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/06/01,48.30
Voice of Community Publisher Co.,Advertising,2022/06/01,329.00
Baroque Picture Frames Inc.,"Framing, Outside Supplier",2022/06/08,110.00
Canada Post – Postes Canada,Postage and Parcel Post,2022/06/08,207.90
Métro Média,Advertising,2022/06/11,503.00
Association des Enseignants Immigrants du Québec,Advertising,2022/06/13,150.00
Playmas Montreal Cultural Association,Advertising,2022/06/13,125.00
ACE HOLDINGS LTD.,Office Rental and Related Fees,2022/07/01,2564.59
