Supplier,Description,Date,Total
hydro One Napanee,Public Utilities,2022/03/21,82.53
Bell Canada,Monthly Phone Service,2022/03/28,459.77
1883653 Ontario Inc.,Office Rental and Related Fees,2022/04/01,1662.92
Bell,Constituency Office Cable,2022/04/01,15.94
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/04/01,190.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/04/01,88.26
Municipality of Centre Hastings,Office Rental and Related Fees,2022/04/01,600.00
Bell,Constituency Office Internet,2022/04/02,84.95
Insyt Marketing,Advertising,2022/04/05,179.00
"Enbridge Gas, Napanee",Public Utilities,2022/04/07,75.00
Municipality of Centre Hastings,Public Meeting Room Rentals,2022/04/08,70.00
Bell Canada,Monthly Phone Service,2022/04/10,685.76
Municipality of Hastings Highlands,Public Meeting Room Rentals,2022/04/12,75.00
QUINTE BROADCASTING COMPANY LTD.,Advertising,2022/04/12,900.00
TD Petty Cash Chequing Acct.,Banking Fees and Cheque Orders,2022/04/18,69.38
Bell Canada,Constituency Office Internet,2022/04/19,59.95
Hydro One,Public Utilities,2022/04/20,75.00
Staples,"Office Supplies, Stationery and Accessories",2022/04/22,9.98
Staples,"Office Supplies, Stationery and Accessories",2022/04/28,86.99
Canada Post – Postes Canada,Postage and Parcel Post,2022/04/29,223.10
TD Petty Cash Chequing Acct.,Banking Fees and Cheque Orders,2022/04/29,3.95
1883653 Ontario Inc.,Office Rental and Related Fees,2022/05/01,1662.92
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/05/01,190.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/05/01,69.00
Bell TV,Constituency Office Cable,2022/05/01,15.94
Municipality of Centre Hastings,Office Rental and Related Fees,2022/05/01,600.00
Bell Canada,Constituency Office Internet,2022/05/02,84.95
PRINTERS PLUS,Other Chemical Products,2022/05/02,400.00
Municipality of Hastings Highlands,Public Meeting Room Rentals,2022/05/06,75.00
Enbridge Gas,Public Utilities,2022/05/09,75.00
Long & McQuade Musical Instruments,Repair of Office Equipment,2022/05/09,47.99
KKP Belleville,"Office Supplies, Stationery and Accessories",2022/05/11,225.05
"Napanee Bell Canada,Internet",Constituency Office Internet,2022/05/18,59.95
House of Commons / Chambre des communes,Framing Done at the House of Commons,2022/05/19,119.42
KKP Belleville,Advertising,2022/05/25,168.87
Grand & Toy,Cleaning Products,2022/05/31,30.52
Grand & Toy,Digital Communication Equipment,2022/05/31,0.30
Grand & Toy,Bulk Paper Purchases,2022/05/31,113.60
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/05/31,52.86
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/05/31,17.60
Grand & Toy,Cleaning Products,2022/05/31,55.40
Grand & Toy,Digital Communication Equipment,2022/05/31,19.38
1883653 Ontario Inc.,Office Rental and Related Fees,2022/06/01,1662.92
"Bell Canada, Madoc TV",Constituency Office Cable,2022/06/01,15.94
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/06/01,190.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/06/01,29.00
Municipality of Centre Hastings,Office Rental and Related Fees,2022/06/01,600.00
"Bell Canada, Madoc Internet",Constituency Office Internet,2022/06/02,84.95
TD Petty Cash Acct.,Banking Fees and Cheque Orders,2022/06/02,7.45
1883653 Ontario Inc.,Office Rental and Related Fees,2022/07/01,1279.17
1883653 Ontario Inc.,Office Rental Related Fees,2022/07/01,383.75
Municipality of Centre Hastings,Office Rental and Related Fees,2022/07/01,600.00
