Supplier,Description,Date,Total
AXION,Constituency Office Cable,2022/03/10,45.50
Développement Économique Nouvelle-Beauce,Advertising,2022/03/15,400.00
COGECO,Constituency Office Cable,2022/03/29,66.94
COMMUNICATIONS IMAGO INC,Promotional Items,2022/03/29,1147.50
9241-9282 Quebec Inc.,Office Rental and Related Fees,2022/04/01,2886.48
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/04/01,191.38
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/04/01,28.00
Développement F.I. Sciences Inc.,Computer Software and Licences,2022/04/01,1485.00
Promenades St-Georges Inc.,Office Rental and Related Fees,2022/04/01,690.08
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2022/04/05,96.50
COPIE EXTRA,"Office Supplies, Stationery and Accessories",2022/04/11,12.60
IGA EXTRA ST-GEORGES DE BEAUCE,Spring Water,2022/04/13,29.53
Tournoi de Ringuette Desjardins de Ste-Marie,Advertising,2022/04/17,250.00
Fondation des Condors,Advertising,2022/04/19,175.00
Canada Post – Postes Canada,Courier Services,2022/04/27,9.30
Canada Post – Postes Canada,Courier Services,2022/04/27,10.45
COGECO,Constituency Office Cable,2022/04/29,66.94
9241-9282 Quebec Inc.,Office Rental and Related Fees,2022/05/01,2886.48
AXION,Constituency Office Cable,2022/05/01,45.50
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/05/01,191.38
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/05/01,10.00
Promenades St-Georges Inc.,Office Rental and Related Fees,2022/05/01,690.08
Fondation Le Crépuscule,Advertising,2022/05/02,400.00
Néomédia inc.,Advertising,2022/05/02,385.00
Icimédias Inc.,Advertising,2022/05/04,433.58
Icimédias Inc.,Advertising,2022/05/04,463.78
"CCINB, La",Advertising,2022/05/10,350.00
IGA EXTRA ST-GEORGES,"Office Supplies, Stationery and Accessories",2022/05/17,75.33
IGA EXTRA ST-GEORGES,Spring Water,2022/05/17,13.58
Icimédias Inc.,Advertising,2022/05/18,514.78
Icimédias Inc.,Advertising,2022/05/18,514.90
House of Commons / Chambre des communes,Special Purchases of Consumable Supplies,2022/05/19,43.39
House of Commons / Chambre des communes,Framing Done at the House of Commons,2022/05/19,104.80
Arsenal Media Inc.,Advertising,2022/05/29,360.00
Arsenal Media Inc.,Advertising,2022/05/29,340.00
Arsenal Media Inc.,Advertising,2022/05/29,200.00
Arsenal Media Inc.,Advertising,2022/05/29,300.00
COGECO,Constituency Office Cable,2022/05/29,66.94
Canada Post – Postes Canada,Courier Services,2022/05/30,13.26
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/05/31,42.93
Grand & Toy,Cleaning Products,2022/05/31,216.77
9241-9282 Quebec Inc.,Office Rental and Related Fees,2022/06/01,2886.48
AXION,Constituency Office Cable,2022/06/01,45.50
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/06/01,191.38
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/06/01,22.00
Promenades St-Georges Inc.,Office Rental and Related Fees,2022/06/01,690.08
COPIE EXTRA,"Office Supplies, Stationery and Accessories",2022/06/02,20.50
Néomédia inc.,Advertising,2022/06/13,385.00
Icimédias Inc.,Advertising,2022/06/15,463.78
Icimédias Inc.,Advertising,2022/06/15,433.58
9241-9282 Quebec Inc.,Office Rental and Related Fees,2022/07/01,2886.48
Promenades St-Georges Inc.,Office Rental and Related Fees,2022/07/01,690.08
