Supplier,Description,Date,Total
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/04/01,185.38
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/04/01,41.20
"CARREFOUR DES AFFAIRES S.E.N.C., LE",Office Rental and Related Fees,2022/04/01,3056.40
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/04/01,137.99
Vidéotron s.e.n.c,Constituency Office Internet,2022/04/01,121.95
Vidéotron s.e.n.c,Constituency Office Cable,2022/04/01,96.78
Gatineau 34,Advertising,2022/04/02,250.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/04/02,141.86
Fondation du Cégep de l'Outaouais,Advertising,2022/04/07,500.00
École polyvalente Le Carrefour,Advertising,2022/04/12,500.00
CÉGEP ANDRÉ-LAURENDEAU,Professional Development and Training for Members' Employees,2022/04/13,75.00
Baseball Québec – Région Outaouais,Advertising,2022/04/15,250.00
Bell Canada,Employees’ Primary Residence Internet (COVID-19),2022/04/16,125.95
MCGILL UNIVERSITY,Professional Development and Training for Members' Employees,2022/04/25,346.95
MCGILL UNIVERSITY,Other Training and Conferences,2022/04/25,107.00
NOVA envirocom,"Postage, Parcel Post and Courier Services",2022/04/25,46.26
NOVA envirocom,"Office Supplies, Stationery and Accessories",2022/04/25,561.88
NOVA envirocom,"Office Supplies, Stationery and Accessories",2022/04/26,306.36
NOVA envirocom,"Postage, Parcel Post and Courier Services",2022/04/26,27.56
Lave Partout ENR.,Janitorial Services and Maintenance,2022/04/28,200.00
Vidéotron s.e.n.c,Constituency Office Internet,2022/04/29,121.95
Vidéotron s.e.n.c,Constituency Office Cable,2022/04/29,96.78
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/04/30,31.84
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/05/01,145.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/05/01,185.38
"CARREFOUR DES AFFAIRES S.E.N.C., LE",Office Rental and Related Fees,2022/05/01,3056.40
Nettoyeur St-Louis,Janitorial Services and Maintenance,2022/05/02,64.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/05/02,146.11
Légion Royale Canadienne Pointe-Gatineau,Advertising,2022/05/04,500.00
Ambassadeurs de Gatineau M13 BB,Advertising,2022/05/05,150.00
cn2i - Coopérative Nationale de l'information Indépendante,Advertising,2022/05/06,298.75
Imprimerie Photocopie Grégoire,External Printing Costs,2022/05/12,257.50
"Plume de l'Outaouais, La",Advertising,2022/05/14,200.00
Bell Canada,Members’ Primary Residence Internet,2022/05/16,125.95
"CARREFOUR DES AFFAIRES S.E.N.C., LE",Constituency Office Rental and Related Fees,2022/05/17,947.49
Club de Plongeon Gatineau,Advertising,2022/05/17,250.00
House of Commons / Chambre des communes,Framing Done at the House of Commons,2022/05/19,250.17
Club Rotary de Hull,Advertising,2022/05/23,200.00
HYPERTEC SYSTEMS INC.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2022/05/25,133.60
ORCHESTRE SYMPHONIQUE DE GATINEAU,Advertising,2022/05/25,250.00
Vidéotron s.e.n.c,Constituency Office Cable,2022/05/27,96.78
Vidéotron s.e.n.c,Constituency Office Internet,2022/05/27,121.95
Canada Post – Postes Canada,Courier Services,2022/05/30,14.22
Lave Partout ENR.,Janitorial Services and Maintenance,2022/05/30,250.00
House of Commons / Chambre des communes,"Printed Matter such as: Printed Envelopes, Maps, Printed Forms, Transparencies, Labels",2022/05/31,69.76
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/06/01,54.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/06/01,185.38
"CARREFOUR DES AFFAIRES S.E.N.C., LE",Office Rental and Related Fees,2022/06/01,3056.40
Canada Post – Postes Canada,Postage and Parcel Post,2022/06/08,473.48
Independent Grocer,Rapid Antigen Tests (COVID-19),2022/06/08,40.00
House of Commons / Chambre des communes,Office Accessories Produced by the House,2022/06/13,20.00
Publicité MBM Advertising Inc.,Promotional Items,2022/06/13,855.50
Bell,Members’ Primary Residence Internet,2022/06/16,125.95
Metro,"Office Supplies, Stationery and Accessories",2022/06/16,17.78
Au Centre du Party,"Office Supplies, Stationery and Accessories",2022/06/17,18.00
Dollarama,"Office Supplies, Stationery and Accessories",2022/06/18,21.00
VILLE DE GATINEAU,Public Meeting Room Rentals,2022/06/18,91.41
"CARREFOUR DES AFFAIRES S.E.N.C., LE",Office Rental and Related Fees,2022/07/01,2037.60
"CARREFOUR DES AFFAIRES S.E.N.C., LE",Office Rental Related Fees,2022/07/01,1018.80
