Supplier,Description,Date,Total
Alberta Jewish News,Advertising,2022/03/31,357.50
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/04/01,96.95
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/04/01,12.00
CITY OF EDMONTON,Advertising,2022/04/01,3718.75
NETFORE SYSTEMS INC.,Computer Software and Licences,2022/04/01,4000.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/04/01,246.75
TRADE CENTRE SOUTH LTD.,Office Rental and Related Fees,2022/04/01,2232.75
Peace Hills Insurance,Constituency Office Insurance,2022/04/05,1125.00
Windsor Park Community League,Advertising,2022/04/11,15.00
AUMA,Advertising,2022/04/15,200.00
South East Edmonton Seniors Association,Advertising,2022/04/15,40.00
South East Edmonton Seniors Association,Advertising,2022/04/15,40.00
Liberty Security Systems Inc.,Protection and Alarm Monitoring (Member's Office Budget),2022/04/21,39.33
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2022/04/21,201.00
Middle East Strategy Forum 2022 (MESF 2022),Other Training and Conferences,2022/04/22,176.00
TRADE CENTRE SOUTH LTD.,Public Utilities,2022/04/22,408.01
Canada Post – Postes Canada,Courier Services,2022/04/27,13.52
McKernan District Community League,Advertising,2022/04/29,40.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/05/01,2.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/05/01,96.95
Executive Mat Service Ltd.,Janitorial Services and Maintenance,2022/05/01,35.83
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/05/01,202.50
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/05/01,-8.00
TRADE CENTRE SOUTH LTD.,Office Rental and Related Fees,2022/05/01,2232.75
Executive Mat Service Ltd.,Janitorial Services and Maintenance,2022/05/02,48.23
House of Commons / Chambre des communes,Framing Done at the House of Commons,2022/05/19,135.94
Liberty Security Systems Inc.,Protection and Alarm Monitoring (Member's Office Budget),2022/05/21,39.99
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2022/05/21,201.00
Belgravia Community League,Advertising,2022/05/24,75.00
TRADE CENTRE SOUTH LTD.,Public Utilities,2022/05/31,618.18
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/06/01,96.95
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/06/01,2.00
Executive Mat Service Ltd,Janitorial Services and Maintenance,2022/06/01,35.83
TRADE CENTRE SOUTH LTD.,Office Rental and Related Fees,2022/06/01,2232.75
Calder Publications,Advertising,2022/06/07,204.00
Canada Post – Postes Canada,Postage and Parcel Post,2022/06/08,474.42
McKernan District Community League,Advertising,2022/06/10,40.00
Calder Publications,Advertising,2022/06/13,176.00
Alberta Native News,Advertising,2022/06/15,409.75
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2022/06/21,201.00
TRADE CENTRE SOUTH LTD.,Office Rental and Related Fees,2022/07/01,1545.75
TRADE CENTRE SOUTH LTD.,Office Rental Related Fees,2022/07/01,687.00
