Supplier,Description,Date,Total
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/04/01,88.92
Immeubles Jean Cournoyer Inc,Office Rental and Related Fees,2022/04/01,775.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/04/01,98.00
SYNDICAT DES ENSEIGNANTS (LES),Office Rental and Related Fees,2022/04/01,521.85
Festival Country de Sainte-Anne-de-Sorel,Advertising,2022/04/02,500.00
Club de Fers Pointe aux Pins,Advertising,2022/04/04,500.00
"2 Rives, Les",Advertising,2022/04/05,396.00
Culture Centre-du-Québec,Advertising,2022/04/06,500.00
Fédération de l'UPA de la Montérégie,Advertising,2022/04/11,200.00
"Annonceur, L'",Advertising,2022/04/14,285.00
Service de traiteur mobile B.R. Enr.,Advertising,2022/04/19,500.00
"Napperon de la recherche 2013, Le",Advertising,2022/04/20,250.00
Canada Post – Postes Canada,Courier Services,2022/04/27,9.30
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/05/01,64.49
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/05/01,88.92
Immeubles Jean Cournoyer Inc,Office Rental and Related Fees,2022/05/01,775.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2022/05/01,123.25
SYNDICAT DES ENSEIGNANTS (LES),Office Rental and Related Fees,2022/05/01,521.85
Maison de la Musique de Sorel-Tracy,Advertising,2022/05/16,450.00
Chevalier de Colomb Conseil 1326 Nicolet,Advertising,2022/05/17,500.00
MUNICIPALITÉ DE DESCHAILLONS-SUR-SAINT-LAURENT,Advertising,2022/05/19,500.00
"Napperon de la recherche 2013, Le",Advertising,2022/05/25,250.00
Canada Post – Postes Canada,Courier Services,2022/05/30,25.82
"Événements Festifs, Les",Advertising,2022/05/30,500.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/06/01,88.92
CLUB DE GOLF SOREL-TRACY ''LES DUNES'' INC.,Advertising,2022/06/01,500.00
Immeubles Jean Cournoyer Inc,Office Rental and Related Fees,2022/06/01,775.00
SYNDICAT DES ENSEIGNANTS (LES),Office Rental and Related Fees,2022/06/01,521.85
AGENCE CAZA,Professional Communication Services,2022/06/03,1500.00
Rassemblement pour un pays souverain,Advertising,2022/06/05,200.00
ARCC Richelieu/Yamaska (10),Advertising,2022/06/06,500.00
FESTIVAL WESTERN DE ST-ROBERT,Advertising,2022/06/06,500.00
Coopérative artisanale de Deschaillons,Advertising,2022/06/07,300.00
Coopérative nationale de l'information indépendante,Advertising,2022/06/11,645.00
Fondation pastorale Nicolet Inc.,Advertising,2022/06/15,300.00
Immeubles Jean Cournoyer Inc,Office Rental and Related Fees,2022/07/01,775.00
SYNDICAT DES ENSEIGNANTS (LES),Office Rental and Related Fees,2022/07/01,521.85
